from,to,value
Imm.PVM.0,Imm.DAM.0,5
Imm.PVM.0,Imm.Interferon.0,6
Imm.PVM.0,Imm.M0Like.1,4
Imm.PVM.0,Imm.M0Like.2,6
Imm.PVM.0,Neu.Epend.0,14
MeV.EndoUnknow.4,Imm.DAM.0,3
MeV.EndoUnknow.4,Imm.Interferon.0,3
MeV.EndoUnknow.4,Imm.M0Like.1,4
MeV.EndoUnknow.4,Imm.M0Like.2,3
MeV.EndoUnknow.4,Imm.MHCII.0,4
MeV.EndoUnknow.4,Neu.Epend.0,11
MeV.Endothelial.0,Imm.M0Like.1,4
MeV.Endothelial.0,Imm.M0Like.2,3
MeV.Endothelial.0,Neu.Epend.0,3
MeV.Endothelial.1,Imm.DAM.0,5
MeV.Endothelial.1,Imm.Interferon.0,9
MeV.Endothelial.1,Imm.M0Like.1,5
MeV.Endothelial.1,Imm.M0Like.2,3
MeV.Endothelial.1,Neu.Epend.0,8
MeV.Endothelial.2,Imm.M0Like.1,3
MeV.Endothelial.2,Imm.M0Like.2,2
MeV.Endothelial.2,Neu.Epend.0,3
MeV.Endothelial.3,Imm.DAM.0,11
MeV.Endothelial.3,Imm.M0Like.1,5
MeV.Endothelial.3,Imm.M0Like.2,4
MeV.Endothelial.3,Neu.Epend.0,3
MeV.Epithelial.0,Imm.DAM.0,10
MeV.Epithelial.0,Imm.Interferon.0,3
MeV.Epithelial.0,Imm.M0Like.1,5
MeV.Epithelial.0,Imm.M0Like.2,6
MeV.Epithelial.0,Neu.Epend.0,8
MeV.Fib.0,Imm.DAM.0,8
MeV.Fib.0,Imm.Interferon.0,8
MeV.Fib.0,Imm.M0Like.1,10
MeV.Fib.0,Imm.M0Like.2,9
MeV.Fib.0,Neu.Epend.0,10
MeV.Fib.1,Imm.DAM.0,13
MeV.Fib.1,Imm.Interferon.0,8
MeV.Fib.1,Imm.M0Like.1,6
MeV.Fib.1,Imm.M0Like.2,4
MeV.Fib.1,Neu.Epend.0,5
MeV.Fib.2,Imm.DAM.0,7
MeV.Fib.2,Neu.Epend.0,9
MeV.Fib.4,Imm.DAM.0,15
MeV.Fib.4,Imm.M0Like.2,5
MeV.Fib.4,Neu.Epend.0,6
MeV.Fib.5,Neu.Epend.0,10
MeV.FibCollagen.0,Imm.DAM.0,13
MeV.FibCollagen.0,Imm.Interferon.0,6
MeV.FibCollagen.0,Imm.M0Like.1,10
MeV.FibCollagen.0,Imm.M0Like.2,4
MeV.FibCollagen.0,Neu.Epend.0,6
MeV.FibCollagen.1,Neu.Epend.0,10
MeV.FibCollagen.3,Imm.DAM.0,9
MeV.FibCollagen.3,Neu.Epend.0,11
MeV.FibLaminin.0,Imm.DAM.0,6
MeV.FibLaminin.0,Imm.Interferon.0,7
MeV.FibLaminin.0,Imm.M0Like.2,5
MeV.FibLaminin.0,Imm.MHCII.0,1
MeV.FibLaminin.0,Neu.Epend.0,10
MeV.FibUnknown.6,Imm.DAM.0,7
MeV.FibUnknown.6,Imm.M0Like.2,10
MeV.FibUnknown.6,Neu.Epend.0,19
MeV.LowQuality.0,Imm.DAM.0,8
MeV.LowQuality.0,Imm.Interferon.0,11
MeV.LowQuality.0,Imm.M0Like.1,7
MeV.LowQuality.0,Imm.M0Like.2,5
MeV.LowQuality.0,Neu.Epend.0,9
MeV.Pericytes.0,Neu.Epend.0,9
MeV.VLMC.0,Imm.DAM.0,13
MeV.VLMC.0,Imm.Interferon.0,6
MeV.VLMC.0,Imm.M0Like.2,4
MeV.VLMC.0,Neu.Epend.0,3
Neu.Epend.0,Imm.DAM.0,13
Neu.Epend.0,Imm.Interferon.0,6
Neu.Epend.0,Imm.M0Like.2,2
Neu.Epend.0,Neu.Epend.0,7
Imm.PVM.0,Imm.DAM.1,5
MeV.EndoUnknow.4,Imm.DAM.1,3
MeV.Endothelial.0,Imm.DAM.0,9
MeV.Endothelial.0,Imm.DAM.1,9
MeV.Endothelial.1,Imm.DAM.1,6
MeV.Endothelial.2,Imm.DAM.0,8
MeV.Endothelial.2,Imm.DAM.1,6
MeV.Endothelial.3,Imm.DAM.1,7
MeV.Epithelial.0,Imm.DAM.1,7
MeV.Fib.0,Imm.DAM.1,7
MeV.Fib.1,Imm.DAM.1,11
MeV.Fib.2,Imm.M0Like.1,6
MeV.Fib.4,Imm.DAM.1,6
MeV.Fib.4,Imm.M0Like.1,5
MeV.FibCollagen.0,Imm.DAM.1,11
MeV.FibLaminin.0,Imm.M0Like.1,3
MeV.LowQuality.0,Imm.DAM.1,7
