from,to,value
MeV.VLMC.1,MeV.VLMC.1,37
Imm.M0Like.0,Neu.CSFcN.0,37
MeV.VLMC.1,MeV.FibCollagen.1,36
MeV.VLMC.1,MeV.Epithelial.0,35
MeV.VLMC.1,MeV.FibCollagen.3,35
MeV.VLMC.1,Neu.CSFcN.0,35
Imm.Interferon.0,Neu.CSFcN.0,35
MeV.VLMC.1,MeV.VLMC.0,34
MeV.FibCollagen.3,MeV.Epithelial.0,34
Neu.CSFcN.0,MeV.FibCollagen.3,34
MeV.Fib.3,MeV.VLMC.1,33
MeV.FibLaminin.0,Neu.CSFcN.0,33
MeV.Fib.3,Neu.CSFcN.0,33
MeV.FibCollagen.3,Neu.Epend.0,31
MeV.Fib.3,MeV.Epithelial.0,31
MeV.VLMC.1,MeV.FibCollagen.0,31
MeV.Fib.3,MeV.FibCollagen.1,31
MeV.Fib.0,Neu.CSFcN.0,31
MeV.FibCollagen.1,MeV.Epithelial.0,31
MeV.Fib.3,MeV.VLMC.0,30
MeV.VLMC.0,MeV.FibCollagen.1,29
MeV.FibCollagen.3,MeV.VLMC.0,28
MeV.FibCollagen.0,MeV.FibCollagen.1,28
MeV.Fib.3,MeV.FibLaminin.0,28
Imm.M0Like.2,Neu.CSFcN.0,28
MeV.Fib.3,Neu.Epend.0,27
MeV.Fib.3,Imm.DAM.1,27
MeV.FibCollagen.0,MeV.VLMC.0,27
MeV.FibCollagen.3,MeV.VLMC.1,27
MeV.FibLaminin.0,MeV.Epithelial.0,27
MeV.FibProlif.0,MeV.Epithelial.0,27
MeV.FibCollagen.3,MeV.FibCollagen.1,27
MeV.FibLaminin.0,MeV.Fib.0,27
MeV.Fib.3,MeV.FibProlif.0,27
Imm.Interferon.0,Neu.Epend.0,27
MeV.Fib.3,MeV.FibCollagen.3,27
MeV.FibCollagen.0,MeV.Epithelial.0,26
MeV.Fib.3,MeV.Fib.0,26
Imm.DAM.1,Neu.CSFcN.0,26
MeV.ImmuneDoublets.0,Neu.CSFcN.0,26
Imm.M0Like.0,Neu.Epend.0,25
MeV.FibCollagen.1,Neu.Epend.0,25
MeV.FibCollagen.1,MeV.VLMC.1,25
MeV.LowQuality.0,Neu.CSFcN.0,25
MeV.Fib.3,MeV.FibCollagen.0,25
MeV.VLMC.0,MeV.Epithelial.0,25
