cluster,group
Imm.M0Like.0,Imm_Resting
Imm.M0Like.1,Imm_Resting
Imm.M0Like.2,Imm_Resting
Imm.MHCII.0,Imm_Other
Imm.PVM.0,Imm_Other
Imm.Interferon.0,Imm_Injury
Imm.DAM.0,Imm_Injury
Imm.DAM.1,Imm_Injury
Neu.CSFcN.0,Neu
Neu.Epend.0,Neu
MeV.Endothelial.0,MeV_Vascular
MeV.Endothelial.1,MeV_Vascular
MeV.Endothelial.2,MeV_Vascular
MeV.Endothelial.3,MeV_Vascular
MeV.Pericytes.0,MeV_Vascular
MeV.SMC.0,MeV_Vascular
MeV.Epithelial.0,MeV_Epithelial
MeV.Fib.0,MeV_Fibroblast
MeV.Fib.1,MeV_Fibroblast
MeV.Fib.2,MeV_Fibroblast
MeV.Fib.3,MeV_Fibroblast
MeV.Fib.4,MeV_Fibroblast
MeV.Fib.5,MeV_Fibroblast
MeV.FibCollagen.0,MeV_Fib_Col
MeV.FibCollagen.1,MeV_Fib_Col
MeV.FibCollagen.2,MeV_Fib_Col
MeV.FibCollagen.3,MeV_Fib_Col
MeV.FibLaminin.0,MeV_Fib_Lam
MeV.VLMC.0,VLMC
MeV.VLMC.1,VLMC
Imm.Proliferative.0,Prolifs
MeV.FibProlif.0,Prolifs
