from,to,value
Imm.M0Like.0,Imm.M0Like.0,17
Imm.M0Like.0,Imm.M0Like.1,6
Imm.M0Like.0,Imm.M0Like.2,7
Imm.M0Like.0,Imm.MHCII.0,7
Imm.M0Like.0,Imm.PVM.0,8
Imm.M0Like.0,Imm.Interferon.0,6
Imm.M0Like.0,Imm.DAM.0,4
Imm.M0Like.0,Imm.DAM.1,8
Imm.M0Like.0,Neu.CSFcN.0,37
Imm.M0Like.0,Neu.Epend.0,25
Imm.M0Like.0,MeV.Endothelial.0,5
Imm.M0Like.0,MeV.Endothelial.1,9
Imm.M0Like.0,MeV.Endothelial.2,4
Imm.M0Like.0,MeV.Endothelial.3,6
Imm.M0Like.0,MeV.Pericytes.0,11
Imm.M0Like.0,MeV.SMC.0,8
Imm.M0Like.0,MeV.Epithelial.0,12
Imm.M0Like.0,MeV.Fib.0,12
Imm.M0Like.0,MeV.Fib.1,10
Imm.M0Like.0,MeV.Fib.2,9
Imm.M0Like.0,MeV.Fib.3,8
Imm.M0Like.0,MeV.Fib.4,9
Imm.M0Like.0,MeV.Fib.5,3
Imm.M0Like.0,MeV.FibCollagen.0,3
Imm.M0Like.0,MeV.FibCollagen.1,10
Imm.M0Like.0,MeV.FibCollagen.2,4
Imm.M0Like.0,MeV.FibCollagen.3,14
Imm.M0Like.0,MeV.FibLaminin.0,10
Imm.M0Like.0,MeV.VLMC.0,12
Imm.M0Like.0,MeV.VLMC.1,13
Imm.M0Like.0,Imm.Proliferative.0,3
Imm.M0Like.0,MeV.FibProlif.0,6
Imm.M0Like.1,Imm.M0Like.0,8
Imm.M0Like.1,Imm.M0Like.1,7
Imm.M0Like.1,Imm.M0Like.2,7
Imm.M0Like.1,Imm.MHCII.0,2
Imm.M0Like.1,Imm.PVM.0,7
Imm.M0Like.1,Imm.Interferon.0,7
Imm.M0Like.1,Imm.DAM.0,4
Imm.M0Like.1,Imm.DAM.1,11
Imm.M0Like.1,Neu.CSFcN.0,18
Imm.M0Like.1,Neu.Epend.0,14
Imm.M0Like.1,MeV.Endothelial.0,2
Imm.M0Like.1,MeV.Endothelial.1,2
Imm.M0Like.1,MeV.Endothelial.2,2
