gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	Imm.DAM.0	Imm.DAM.1	Imm.Interferon.0	Imm.M0Like.0	Imm.M0Like.1	Imm.M0Like.2	Imm.MHCII.0	Imm.NA	Imm.PVM.0	Imm.Proliferative.0	MeV.ECM.0	MeV.ECM.1	MeV.ECM.2	MeV.EndoUnknowed.4	MeV.Endothelial.0	MeV.Endothelial.1	MeV.Endothelial.2	MeV.Endothelial.3	MeV.EpithelialECad.0	MeV.Fib.0	MeV.Fib.1	MeV.Fib.2	MeV.Fib.3	MeV.Fib.4	MeV.Fib.5	MeV.Fib.6	MeV.FibCD34.7	MeV.FibProlif.0	MeV.FibUnknown.8	MeV.ImmuneDoublets.0	MeV.LowQuality.0	MeV.NA	MeV.Pericytes.0	MeV.SMC.0	MeV.VLMC.0	MeV.VLMC.1	Neu.CSFcN.0	Neu.Epend.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	UBASH3B	0.6024	0.7556	0.6677	0.7129	0.7978	0.8077	0.7845	0.7378	0.6456	0.5037	0.1377	0.0785	0.0318	0.0239	0.0577	0.1417	0.089	0.0471	0.0218	0.0589	0.033	0.0367	0.0625	0.1462	0.3875	0.358	0.0673	0.1282	0.0752	0.5532	0.0911	0.0963	0.0764	0.0766	0.1869	0.2404	0.1382	0.0918
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	UBASH3B	0.6024	0.7556	0.6677	0.7129	0.7978	0.8077	0.7845	0.7378	0.6456	0.5037	0.1377	0.0785	0.0318	0.0239	0.0577	0.1417	0.089	0.0471	0.0218	0.0589	0.033	0.0367	0.0625	0.1462	0.3875	0.358	0.0673	0.1282	0.0752	0.5532	0.0911	0.0963	0.0764	0.0766	0.1869	0.2404	0.1382	0.0918
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	UBASH3B	0.6024	0.7556	0.6677	0.7129	0.7978	0.8077	0.7845	0.7378	0.6456	0.5037	0.1377	0.0785	0.0318	0.0239	0.0577	0.1417	0.089	0.0471	0.0218	0.0589	0.033	0.0367	0.0625	0.1462	0.3875	0.358	0.0673	0.1282	0.0752	0.5532	0.0911	0.0963	0.0764	0.0766	0.1869	0.2404	0.1382	0.0918
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	SULT1A1	0.0	0.0032	0.0	0.0058	0.0052	0.0099	0.0	0.0	0.0195	0.0	0.013	0.0	0.0183	0.0649	0.0197	0.0	0.015	0.0358	0.1138	0.016	0.027	0.0303	0.0138	0.0	0.0317	0.0739	0.0098	0.0167	0.0086	0.0	0.0248	0.0507	0.0062	0.0187	0.0493	0.0101	0.0032	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	SULT1A1	0.0	0.0032	0.0	0.0058	0.0052	0.0099	0.0	0.0	0.0195	0.0	0.013	0.0	0.0183	0.0649	0.0197	0.0	0.015	0.0358	0.1138	0.016	0.027	0.0303	0.0138	0.0	0.0317	0.0739	0.0098	0.0167	0.0086	0.0	0.0248	0.0507	0.0062	0.0187	0.0493	0.0101	0.0032	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	SULT1A1	0.0	0.0032	0.0	0.0058	0.0052	0.0099	0.0	0.0	0.0195	0.0	0.013	0.0	0.0183	0.0649	0.0197	0.0	0.015	0.0358	0.1138	0.016	0.027	0.0303	0.0138	0.0	0.0317	0.0739	0.0098	0.0167	0.0086	0.0	0.0248	0.0507	0.0062	0.0187	0.0493	0.0101	0.0032	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0FF565F1C	SULT2A1	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS04A65DD62	SULT2A1	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SULT2A1	Q06520	True	ST2A1_HUMAN	DHEAsulfate_bySULT2A1	CPI-CS0006C277B	SULT2A1	0.0	0.0	0.0	0.0	0.0009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CYP21A2	P08686	True	CP21A_HUMAN	Desoxycorticosterone_byCYP21A2	CPI-CS012A5546C	CYP21A2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
