gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Imm.DAM.0	Imm.DAM.1	Imm.Interferon.0	Imm.M0Like.0	Imm.M0Like.1	Imm.M0Like.2	Imm.MHCII.0	Imm.PVM.0	Imm.Proliferative.0	MeV.ECM.0	MeV.ECM.1	MeV.ECM.2	MeV.Endothelial.0	MeV.Endothelial.1	MeV.Endothelial.2	MeV.Endothelial.3	MeV.EpithelialECad.0	MeV.Fib.0	MeV.Fib.1	MeV.Fib.2	MeV.Fib.3	MeV.Fib.4	MeV.Fib.5	MeV.Fib.6	MeV.FibCD34.7	MeV.FibProlif.0	MeV.FibUnknown.8	MeV.ImmuneDoublets.0	MeV.LowQuality.0	MeV.Pericytes.0	MeV.SMC.0	MeV.VLMC.0	MeV.VLMC.1	Neu.CSFcN.0	Neu.Epend.0
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS09B8977D7	0.6332	0.7257	0.908	0.7722	0.7414	0.7672	0.7656	0.7479	1.1273	0.3521	0.1278	0.0365	0.0663	0.3241	0.1029	0.055	0.005	0.0491	0.0605	0.0379	0.1227	0.2183	0.5137	0.4678	0.2033	0.2017	0.1059	0.2517	0.1184	0.1589	0.1853	0.1372	0.207	0.2641	0.0604
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS05760BB78	0.6332	0.7257	0.908	0.7722	0.7414	0.7672	0.7656	0.7479	1.1273	0.3521	0.1278	0.0365	0.0663	0.3241	0.1029	0.055	0.005	0.0491	0.0605	0.0379	0.1227	0.2183	0.5137	0.4678	0.2033	0.2017	0.1059	0.2517	0.1184	0.1589	0.1853	0.1372	0.207	0.2641	0.0604
UBASH3B	Q8TF42	True	UBS3B_HUMAN	Dehydroepiandrosterone_bySTS	CPI-CS0259A0EB4	0.6332	0.7257	0.908	0.7722	0.7414	0.7672	0.7656	0.7479	1.1273	0.3521	0.1278	0.0365	0.0663	0.3241	0.1029	0.055	0.005	0.0491	0.0605	0.0379	0.1227	0.2183	0.5137	0.4678	0.2033	0.2017	0.1059	0.2517	0.1184	0.1589	0.1853	0.1372	0.207	0.2641	0.0604
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS099F73A95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0098	0.0008	0.0	0.0	0.0	0.0594	0.0095	0.0062	0.0246	0.0374	0.0	0.0242	0.1077	0.0	0.0	0.0	0.0	0.0055	0.0	0.0303	0.0344	0.0159	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0D89E7C19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0098	0.0008	0.0	0.0	0.0	0.0594	0.0095	0.0062	0.0246	0.0374	0.0	0.0242	0.1077	0.0	0.0	0.0	0.0	0.0055	0.0	0.0303	0.0344	0.0159	0.0	0.0
SULT1A1	P50225	True	ST1A1_HUMAN	DHEAsulfate_bySULT2B	CPI-CS0412B081A	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0098	0.0008	0.0	0.0	0.0	0.0594	0.0095	0.0062	0.0246	0.0374	0.0	0.0242	0.1077	0.0	0.0	0.0	0.0	0.0055	0.0	0.0303	0.0344	0.0159	0.0	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS086D3E39F	0.0	0.0	0.0	0.0124	0.0	0.0174	0.0	0.0	0.0	0.0	0.0	0.004	0.0043	0.0	0.0015	0.0	0.0114	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0007	0.0	0.0264	0.0
DHCR7	Q9UBM7	True	DHCR7_HUMAN	Desmosterol_byDHCR7	CPI-CS0DC57DE37	0.0	0.0	0.0	0.0124	0.0	0.0174	0.0	0.0	0.0	0.0	0.0	0.004	0.0043	0.0	0.0015	0.0	0.0114	0.0	0.0	0.0	0.0073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0026	0.0007	0.0	0.0264	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS0A5B6BD7A	0.0	0.0	0.1227	0.0	0.0116	0.0171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0412	0.0184	0.0	0.0134	0.0	0.0	0.0	0.0	0.0644	0.0	0.0	0.0	0.0	0.0374	0.0	0.0	0.0	0.0
PTGR1	Q14914	True	PTGR1_HUMAN	12oxoLeukotrieneB4_byPTGR1	CPI-CS04A56D5BE	0.0	0.0	0.1227	0.0	0.0116	0.0171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0412	0.0184	0.0	0.0134	0.0	0.0	0.0	0.0	0.0644	0.0	0.0	0.0	0.0	0.0374	0.0	0.0	0.0	0.0
