	central	rostral	caudal	total in cluster
Imm.M0_like.0	0.07345971563981042	0.31990521327014215	0.6066350710900474	422.0
Imm.M0_like.1	0.06043956043956044	0.6730769230769231	0.2664835164835165	364.0
Imm.M0_like.2	0.07174887892376682	0.5336322869955157	0.39461883408071746	223.0
Imm.Interferon.0	0.02564102564102564	0.6923076923076923	0.28205128205128205	39.0
Imm.DAM.0	0.0	0.5769230769230769	0.4230769230769231	52.0
Imm.MHCII.0	0.045454545454545456	0.4090909090909091	0.5454545454545454	44.0
Imm.Proliferative.0	0.1111111111111111	0.3333333333333333	0.5555555555555556	18.0
Imm.PVM.0	0.21487603305785125	0.30578512396694213	0.4793388429752066	121.0
Imm.DAM.1	0.03731343283582089	0.6194029850746269	0.34328358208955223	134.0
frac sample in total	0.07410021171489062	0.4940014114326041	0.4318983768525053	1.0
total in sample	105.0	700.0	612.0	1417.0
