	rostral	caudal	total in cluster
Imm.M0_like.0	0.3452685421994885	0.6547314578005116	391.0
Imm.M0_like.1	0.716374269005848	0.28362573099415206	342.0
Imm.M0_like.2	0.5748792270531401	0.4251207729468599	207.0
Imm.Interferon.0	0.7105263157894737	0.2894736842105263	38.0
Imm.DAM.0	0.5769230769230769	0.4230769230769231	52.0
Imm.MHCII.0	0.42857142857142855	0.5714285714285714	42.0
Imm.Proliferative.0	0.375	0.625	16.0
Imm.PVM.0	0.3894736842105263	0.6105263157894737	95.0
Imm.DAM.1	0.6434108527131783	0.35658914728682173	129.0
frac sample in total	0.5335365853658537	0.46646341463414637	1.0
total in sample	700.0	612.0	1312.0
