	uninjured_0_central	sham_15_rostral	sham_15_caudal	injured_15_rostral	injured_15_caudal	injured_60_rostral	injured_60_caudal	total in cluster
Imm.M0_like.0	0.07345971563981042	0.0995260663507109	0.18009478672985782	0.16113744075829384	0.26066350710900477	0.05924170616113744	0.16587677725118483	422.0
Imm.M0_like.1	0.06043956043956044	0.22802197802197802	0.08241758241758242	0.36538461538461536	0.09340659340659341	0.07967032967032966	0.09065934065934066	364.0
Imm.M0_like.2	0.07174887892376682	0.15695067264573992	0.15246636771300448	0.28699551569506726	0.12556053811659193	0.08968609865470852	0.11659192825112108	223.0
Imm.Interferon.0	0.02564102564102564	0.02564102564102564	0.02564102564102564	0.6153846153846154	0.1282051282051282	0.05128205128205128	0.1282051282051282	39.0
Imm.DAM.0	0.0	0.019230769230769232	0.0	0.5	0.34615384615384615	0.057692307692307696	0.07692307692307693	52.0
Imm.MHCII.0	0.045454545454545456	0.13636363636363635	0.09090909090909091	0.22727272727272727	0.2727272727272727	0.045454545454545456	0.18181818181818182	44.0
Imm.Proliferative.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.16666666666666666	0.2222222222222222	0.05555555555555555	0.2222222222222222	18.0
Imm.PVM.0	0.21487603305785125	0.14049586776859505	0.06611570247933884	0.1322314049586777	0.2727272727272727	0.03305785123966942	0.14049586776859505	121.0
Imm.DAM.1	0.03731343283582089	0.022388059701492536	0.04477611940298507	0.4626865671641791	0.1417910447761194	0.13432835820895522	0.15671641791044777	134.0
frac sample in total	0.07410021171489062	0.1340860973888497	0.11362032462949895	0.2865208186309104	0.18560338743824983	0.07339449541284404	0.13267466478475654	1.0
total in sample	105.0	190.0	161.0	406.0	263.0	104.0	188.0	1417.0
