	uninjured_central	sham_rostral	sham_caudal	injured_rostral	injured_caudal	total in cluster
Imm.M0_like.0	0.07345971563981042	0.0995260663507109	0.18009478672985782	0.22037914691943128	0.4265402843601896	422.0
Imm.M0_like.1	0.06043956043956044	0.22802197802197802	0.08241758241758242	0.44505494505494503	0.18406593406593408	364.0
Imm.M0_like.2	0.07174887892376682	0.15695067264573992	0.15246636771300448	0.37668161434977576	0.242152466367713	223.0
Imm.Interferon.0	0.02564102564102564	0.02564102564102564	0.02564102564102564	0.6666666666666666	0.2564102564102564	39.0
Imm.DAM.0	0.0	0.019230769230769232	0.0	0.5576923076923077	0.4230769230769231	52.0
Imm.MHCII.0	0.045454545454545456	0.13636363636363635	0.09090909090909091	0.2727272727272727	0.45454545454545453	44.0
Imm.Proliferative.0	0.1111111111111111	0.1111111111111111	0.1111111111111111	0.2222222222222222	0.4444444444444444	18.0
Imm.PVM.0	0.21487603305785125	0.14049586776859505	0.06611570247933884	0.1652892561983471	0.4132231404958678	121.0
Imm.DAM.1	0.03731343283582089	0.022388059701492536	0.04477611940298507	0.5970149253731343	0.29850746268656714	134.0
frac sample in total	0.07410021171489062	0.1340860973888497	0.11362032462949895	0.35991531404375443	0.31827805222300637	1.0
total in sample	105.0	190.0	161.0	510.0	451.0	1417.0
