	sham_rostral	sham_caudal	injured_rostral	injured_caudal	total in cluster
Imm.M0_like.0	0.10741687979539642	0.19437340153452684	0.23785166240409208	0.46035805626598464	391.0
Imm.M0_like.1	0.24269005847953215	0.08771929824561403	0.47368421052631576	0.195906432748538	342.0
Imm.M0_like.2	0.16908212560386474	0.1642512077294686	0.4057971014492754	0.2608695652173913	207.0
Imm.Interferon.0	0.02631578947368421	0.02631578947368421	0.6842105263157895	0.2631578947368421	38.0
Imm.DAM.0	0.019230769230769232	0.0	0.5576923076923077	0.4230769230769231	52.0
Imm.MHCII.0	0.14285714285714285	0.09523809523809523	0.2857142857142857	0.47619047619047616	42.0
Imm.Proliferative.0	0.125	0.125	0.25	0.5	16.0
Imm.PVM.0	0.17894736842105263	0.08421052631578947	0.21052631578947367	0.5263157894736842	95.0
Imm.DAM.1	0.023255813953488372	0.046511627906976744	0.6201550387596899	0.31007751937984496	129.0
frac sample in total	0.1448170731707317	0.12271341463414634	0.38871951219512196	0.34375	1.0
total in sample	190.0	161.0	510.0	451.0	1312.0
