	uninjured_0	sham_15	injured_15	injured_60	total in cluster
Imm.M0_like.0	0.07345971563981042	0.2796208530805687	0.4218009478672986	0.22511848341232227	0.0
Imm.M0_like.1	0.06043956043956044	0.31043956043956045	0.45879120879120877	0.17032967032967034	0.0
Imm.M0_like.2	0.07174887892376682	0.3094170403587444	0.4125560538116592	0.2062780269058296	0.0
Imm.Interferon.0	0.02564102564102564	0.05128205128205128	0.7435897435897436	0.1794871794871795	0.0
Imm.DAM.0	0.0	0.019230769230769232	0.8461538461538461	0.1346153846153846	0.0
Imm.MHCII.0	0.045454545454545456	0.22727272727272727	0.5	0.22727272727272727	0.0
Imm.Proliferative.0	0.1111111111111111	0.2222222222222222	0.3888888888888889	0.2777777777777778	0.0
Imm.PVM.0	0.21487603305785125	0.2066115702479339	0.4049586776859504	0.17355371900826447	0.0
Imm.DAM.1	0.03731343283582089	0.06716417910447761	0.6044776119402985	0.291044776119403	0.0
frac sample in total	0.07410021171489062	0.24770642201834864	0.4721242060691602	0.20606916019760058	1.0
total in sample	105.0	351.0	669.0	292.0	1417.0
