	no_sci	sci	total in cluster
Imm.M0_like.0	0.35308056872037913	0.6469194312796208	0.0
Imm.M0_like.1	0.3708791208791209	0.6291208791208791	0.0
Imm.M0_like.2	0.3811659192825112	0.6188340807174888	0.0
Imm.Interferon.0	0.07692307692307693	0.9230769230769231	0.0
Imm.DAM.0	0.019230769230769232	0.9807692307692307	0.0
Imm.MHCII.0	0.2727272727272727	0.7272727272727273	0.0
Imm.Proliferative.0	0.3333333333333333	0.6666666666666666	0.0
Imm.PVM.0	0.4214876033057851	0.5785123966942148	0.0
Imm.DAM.1	0.1044776119402985	0.8955223880597015	0.0
frac sample in total	0.32180663373323926	0.6781933662667607	1.0
total in sample	456.0	961.0	1417.0
