	uninjured	sham	injured	total in cluster
Imm.M0Like.0	0.07345971563981042	0.2796208530805687	0.6469194312796208	0.0
Imm.M0Like.1	0.06043956043956044	0.31043956043956045	0.6291208791208791	0.0
Imm.M0Like.2	0.07174887892376682	0.3094170403587444	0.6188340807174888	0.0
Imm.Interferon.0	0.02564102564102564	0.05128205128205128	0.9230769230769231	0.0
Imm.DAM.0	0.0	0.019230769230769232	0.9807692307692307	0.0
Imm.MHCII.0	0.045454545454545456	0.22727272727272727	0.7272727272727273	0.0
Imm.Proliferative.0	0.1111111111111111	0.2222222222222222	0.6666666666666666	0.0
Imm.PVM.0	0.21487603305785125	0.2066115702479339	0.5785123966942148	0.0
Imm.DAM.1	0.03731343283582089	0.06716417910447761	0.8955223880597015	0.0
Imm.NA	0.0	0.0	1.0	0.0
frac sample in total	0.07394366197183098	0.2471830985915493	0.6788732394366197	1.0
total in sample	105.0	351.0	964.0	1420.0
