	uninjured_0	sham_15	injured_15	injured_60	total in cluster
MeV.Endothelial.0	0.2078853046594982	0.1827956989247312	0.34767025089605735	0.2616487455197133	0.0
MeV.1.4.11	0.2556818181818182	0.30113636363636365	0.3068181818181818	0.13636363636363635	0.0
MeV.1.4.13	0.19047619047619047	0.16666666666666666	0.5238095238095238	0.11904761904761904	0.0
MeV.Endothelial.3	0.10434782608695652	0.5826086956521739	0.21739130434782608	0.09565217391304348	0.0
MeV.1.4.2	0.18	0.288	0.396	0.136	0.0
MeV.Endothelial.4	0.0	0.0	1.0	0.0	0.0
MeV.1.4.21	0.13043478260869565	0.08695652173913043	0.5217391304347826	0.2608695652173913	0.0
MeV.1.4.4	0.2549019607843137	0.2901960784313726	0.33725490196078434	0.11764705882352941	0.0
MeV.Endothelial.2	0.1991869918699187	0.34959349593495936	0.2804878048780488	0.17073170731707318	0.0
MeV.1.4.6	0.15283842794759825	0.2794759825327511	0.38427947598253276	0.18340611353711792	0.0
MeV.1.4.7	0.1951219512195122	0.3170731707317073	0.3463414634146341	0.14146341463414633	0.0
MeV.Low_Quality.0	0.17647058823529413	0.23529411764705882	0.4068627450980392	0.18137254901960784	0.0
MeV.2.1	0.2	0.2714285714285714	0.3464285714285714	0.18214285714285713	0.0
MeV.2.8	0.2878787878787879	0.25252525252525254	0.30303030303030304	0.15656565656565657	0.0
MeV.3.17	0.17777777777777778	0.3	0.34444444444444444	0.17777777777777778	0.0
MeV.Proliferative_Fibr.0	0.14285714285714285	0.14285714285714285	0.42857142857142855	0.2857142857142857	0.0
MeV.Pericytes.0	0.24338624338624337	0.3333333333333333	0.2804232804232804	0.14285714285714285	0.0
MeV.VLMC.1	0.14285714285714285	0.2767857142857143	0.4642857142857143	0.11607142857142858	0.0
MeV.Endothelial.1	0.3409090909090909	0.18181818181818182	0.2840909090909091	0.19318181818181818	0.0
MeV.4.26	0.2361111111111111	0.2916666666666667	0.3472222222222222	0.125	0.0
MeV.Fib_CD34.0	0.35185185185185186	0.3148148148148148	0.25925925925925924	0.07407407407407407	0.0
MeV.SMC.0	0.24489795918367346	0.14285714285714285	0.30612244897959184	0.30612244897959184	0.0
MeV.4.34	0.3	0.125	0.35	0.225	0.0
MeV.VLMC.0	0.1536231884057971	0.336231884057971	0.36231884057971014	0.14782608695652175	0.0
frac sample in total	0.2037953795379538	0.28272827282728275	0.35203520352035206	0.16144114411441143	1.0
total in sample	741.0	1028.0	1280.0	587.0	3636.0
