	uninjured	sham	injured	total in cluster
MeV.Endothelial.0	0.2078853046594982	0.1827956989247312	0.6093189964157706	0.0
MeV.1.4.11	0.2556818181818182	0.30113636363636365	0.4431818181818182	0.0
MeV.1.4.12	0.0425531914893617	0.0851063829787234	0.8723404255319149	0.0
MeV.1.4.13	0.19047619047619047	0.16666666666666666	0.6428571428571429	0.0
MeV.Endothelial.3	0.10434782608695652	0.5826086956521739	0.3130434782608696	0.0
MeV.1.4.2	0.18	0.288	0.532	0.0
MeV.Endothelial_Injury.4	0.0	0.0	1.0	0.0
MeV.Immune_doublets.0	0.13043478260869565	0.08695652173913043	0.782608695652174	0.0
MeV.1.4.4	0.2549019607843137	0.2901960784313726	0.4549019607843137	0.0
MeV.Endothelial.2	0.1991869918699187	0.34959349593495936	0.45121951219512196	0.0
MeV.1.4.6	0.15283842794759825	0.2794759825327511	0.5676855895196506	0.0
MeV.1.4.7	0.1951219512195122	0.3170731707317073	0.4878048780487805	0.0
MeV.Low_Quality.0	0.17647058823529413	0.23529411764705882	0.5882352941176471	0.0
MeV.2.1	0.2	0.2714285714285714	0.5285714285714286	0.0
MeV.2.8	0.2878787878787879	0.25252525252525254	0.4595959595959596	0.0
MeV.3.17	0.17777777777777778	0.3	0.5222222222222223	0.0
MeV.Proliferative_Fibr.0	0.14285714285714285	0.14285714285714285	0.7142857142857143	0.0
MeV.Pericytes.0	0.24338624338624337	0.3333333333333333	0.42328042328042326	0.0
MeV.VLMC.1	0.14285714285714285	0.2767857142857143	0.5803571428571429	0.0
MeV.Endothelial.1	0.3409090909090909	0.18181818181818182	0.4772727272727273	0.0
MeV.Epithelial_ECad.0	0.2361111111111111	0.2916666666666667	0.4722222222222222	0.0
MeV.Fib_CD34.0	0.35185185185185186	0.3148148148148148	0.3333333333333333	0.0
MeV.SMC.0	0.24489795918367346	0.14285714285714285	0.6122448979591837	0.0
MeV.4.34	0.3	0.125	0.575	0.0
MeV.VLMC.0	0.1536231884057971	0.336231884057971	0.5101449275362319	0.0
MeV.NA	0.46153846153846156	0.23076923076923078	0.3076923076923077	0.0
frac sample in total	0.20265151515151514	0.2800324675324675	0.5173160173160173	1.0
total in sample	749.0	1035.0	1912.0	3696.0
