	no_sci	sci	total in cluster
MeV.Endothelial.0	0.3906810035842294	0.6093189964157706	0.0
MeV.Fib.5	0.5568181818181818	0.4431818181818182	0.0
MeV.FibCollagen.1	0.1276595744680851	0.8723404255319149	0.0
MeV.Fib.4	0.35714285714285715	0.6428571428571429	0.0
MeV.Endothelial.1	0.6869565217391305	0.3130434782608696	0.0
MeV.FibUnknown.6	0.468	0.532	0.0
MeV.EndoUnknow.4	0.0	1.0	0.0
MeV.ImmuneDoublets.0	0.21739130434782608	0.782608695652174	0.0
MeV.FibCollagen.3	0.5450980392156862	0.4549019607843137	0.0
MeV.Endothelial.2	0.5487804878048781	0.45121951219512196	0.0
MeV.Fib.2	0.43231441048034935	0.5676855895196506	0.0
MeV.Fib.1	0.5121951219512195	0.4878048780487805	0.0
MeV.LowQuality.0	0.4117647058823529	0.5882352941176471	0.0
MeV.Fib.0	0.4714285714285714	0.5285714285714286	0.0
MeV.FibCollagen.0	0.5404040404040404	0.4595959595959596	0.0
MeV.FibLaminin.0	0.4777777777777778	0.5222222222222223	0.0
MeV.FibProlif.0	0.2857142857142857	0.7142857142857143	0.0
MeV.Pericytes.0	0.5767195767195767	0.42328042328042326	0.0
MeV.VLMC.1	0.41964285714285715	0.5803571428571429	0.0
MeV.Endothelial.3	0.5227272727272727	0.4772727272727273	0.0
MeV.Epithelial.0	0.5277777777777778	0.4722222222222222	0.0
MeV.FibCollagen.2	0.6666666666666666	0.3333333333333333	0.0
MeV.SMC.0	0.3877551020408163	0.6122448979591837	0.0
MeV.Fib.3	0.425	0.575	0.0
MeV.VLMC.0	0.48985507246376814	0.5101449275362319	0.0
MeV.NA	0.6923076923076923	0.3076923076923077	0.0
frac sample in total	0.48268398268398266	0.5173160173160173	1.0
total in sample	1784.0	1912.0	3696.0
