leiden_fusion	sci	no_sci
MeV.Endothelial.0	170	109
MeV.Fib.5	78	98
MeV.FibCollagen.1	41	6
MeV.Fib.4	54	30
MeV.Endothelial.1	36	79
MeV.FibUnknown.6	133	117
MeV.EndoUnknow.4	32	0
MeV.ImmuneDoublets.0	18	5
MeV.FibCollagen.3	116	139
MeV.Endothelial.2	111	135
MeV.Fib.2	130	99
MeV.Fib.1	100	105
MeV.LowQuality.0	120	84
MeV.Fib.0	148	132
MeV.FibCollagen.0	91	107
MeV.FibLaminin.0	47	43
MeV.FibProlif.0	15	6
MeV.Pericytes.0	80	109
MeV.VLMC.1	65	47
MeV.Endothelial.3	42	46
MeV.Epithelial.0	34	38
MeV.FibCollagen.2	18	36
MeV.SMC.0	30	19
MeV.Fib.3	23	17
MeV.VLMC.0	176	169
MeV.NA	4	9
