	control	injured	total_cells	control_pct	injured_pct
MeV.Endothelial.0	109	170	279	39.07	60.93
MeV.Endothelial.1	79	36	115	68.7	31.3
MeV.Endothelial.2	135	111	246	54.88	45.12
MeV.Endothelial.3	46	42	88	52.27	47.73
MeV.Epithelial.0	38	34	72	52.78	47.22
MeV.SMC.0	19	30	49	38.78	61.22
MeV.Pericytes.0	109	80	189	57.67	42.33
MeV.VLMC.0	169	176	345	48.99	51.01
MeV.VLMC.1	47	65	112	41.96	58.04
MeV.FibCollagen.0	107	91	198	54.04	45.96
MeV.FibCollagen.1	6	41	47	12.77	87.23
MeV.FibCollagen.2	36	18	54	66.67	33.33
MeV.FibCollagen.3	139	116	255	54.51	45.49
MeV.FibLaminin.0	43	47	90	47.78	52.22
MeV.Fib.0	132	148	280	47.14	52.86
MeV.Fib.1	105	100	205	51.22	48.78
MeV.Fib.2	99	130	229	43.23	56.77
MeV.Fib.5	98	78	176	55.68	44.32
MeV.Fib.3	17	23	40	42.5	57.5
MeV.Fib.4	30	54	84	35.71	64.29
MeV.FibProlif.0	6	15	21	28.57	71.43
TOTAL	1569	1605	3174	49.43	50.57
