Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,T cell receptor signaling pathway Homo sapiens hsa04660,0.6768248391978358,2.0928565051066945,0.0,0.0,0.0,30/102,8.95%,CARD11;GRAP2;VAV3;PTPRC;FYN;AKT3;MAP3K8;PAK1;NFKB1;MAP3K14;FOS;SOS2;CBLB;MALT1;PTPN6;NFKBIA;CBL;IKBKB;ZAP70;NFKBIE;CDC42;PPP3CA;MAPK14;GRB2;PDPK1;PAK2;MAPK12;SOS1;NFKBIB;RHOA
prerank,Chemokine signaling pathway Homo sapiens hsa04062,0.6197149870040956,2.0079385374499434,0.0,0.003935604128773689,0.008,53/164,13.81%,CCR2;FGR;VAV3;GRK5;TIAM1;HCK;LYN;RAP1A;DOCK2;AKT3;XCR1;CCR1;PAK1;NFKB1;JAK2;STAT3;CRK;RASGRP2;SOS2;CCR9;CXCL10;STAT5B;NFKBIA;RAC2;IKBKB;CDC42;BCAR1;STAT1;CXCL16;GRB2;PTK2B;PLCB1;RAC1;PXN;GNG10;GNB1;SOS1;NFKBIB;RHOA;BRAF;GRK6;PIK3CA;ADCY7;FOXO3;GNAI1;CXCR6;ADCY5;AKT1;STAT2;GNG2;NCF1;GNAI2;ROCK1
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.7194145322489711,1.912205061232206,0.0,0.0088551092897408,0.025,6/32,3.51%,ITGB7;ITGA4;TNFSF13B;CD40;MAP3K14;CCR9
prerank,Primary immunodeficiency Homo sapiens hsa05340,0.7030964258860042,1.9046671692176345,0.0,0.007871208257547379,0.03,7/36,6.29%,CIITA;PTPRC;CD40;ZAP70;IL2RG;RFX5;TAP1
prerank,B cell receptor signaling pathway Homo sapiens hsa04662,0.6372790187449312,1.8634736170024786,0.0,0.015348856102217388,0.071,24/72,8.68%,CARD11;VAV3;DAPP1;LYN;PLCG2;LILRB3;AKT3;SYK;NFKB1;CD79B;FOS;SOS2;MALT1;PTPN6;NFKBIA;RAC2;IKBKB;NFKBIE;PPP3CA;CD72;GRB2;RAC1;SOS1;NFKBIB
prerank,Antigen processing and presentation Homo sapiens hsa04612,0.687104830971235,1.8608489839336482,0.0,0.0132826639346112,0.073,9/43,6.29%,CD74;CIITA;KLRD1;CREB1;PSME3;HSPA1A;PSME2;RFX5;TAP1
prerank,Measles Homo sapiens hsa05162,0.5915201990719542,1.8349330153657974,0.0,0.01630464567634814,0.101,47/108,17.21%,IL1B;IFNGR1;FYN;AKT3;OAS2;STAT5A;NFKB1;MSN;JAK2;STAT3;HSPA1A;CBLB;STAT5B;NFKBIA;EIF2AK2;EIF2AK1;CCND3;BBC3;STAT1;IL2RG;IFIH1;IRAK4;CCND1;IFNAR1;IL6;NFKBIB;TACR1;CSNK2A2;CSNK2A1;IRF7;PIK3CA;FCGR2B;MAP3K7;RCHY1;TLR2;EIF2AK3;CCND2;AKT1;STAT2;TYK2;MYD88;RELA;TBK1;IFNAR2;RAB9B;PIK3R2;EIF3H
prerank,Malaria Homo sapiens hsa05144,0.6589454011445649,1.8294982644454936,0.0,0.01561942888607058,0.11,17/42,16.52%,ITGAL;IL1B;PECAM1;CD40;CD36;KLRK1;ITGB2;IL6;HGF;ICAM1;TLR2;GYPC;TGFB1;IL18;MYD88;THBS1;THBS2
prerank,Influenza A Homo sapiens hsa05164,0.5674024499903371,1.8252084023080932,0.0,0.014211903798349431,0.112,51/132,17.10%,CIITA;IL1B;XPO1;IFNGR1;AKT3;OAS2;NFKB1;JAK2;HSPA1A;CXCL10;NFKBIA;EIF2AK2;EIF2AK1;IKBKB;ATF2;IL33;NLRX1;STAT1;IFIH1;MAPK14;IRAK4;NUP98;TRIM25;MAPK12;IFNAR1;TLR3;IL6;NFKBIB;ICAM1;IRF7;FDPS;PIK3CA;NLRP3;AGFG1;MAP2K3;EIF2AK3;MAPK8;AKT1;STAT2;TYK2;DNAJC3;IL18;MYD88;MAPK1;CREBBP;RELA;TBK1;KPNA2;IFNAR2;MAP2K4;PIK3R2
prerank,Glycosaminoglycan degradation Homo sapiens hsa00531,-0.6323438239753044,-1.8069192346252303,0.0028653295128939827,0.10562325603392557,0.09,4/19,4.45%,HEXB;GALNS;GNS;ARSB
