Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,T cell receptor signaling pathway Homo sapiens hsa04660,0.6764700708624939,2.083672754570584,0.0,0.0009872958912261404,0.001,30/102,8.98%,CARD11;GRAP2;VAV3;PTPRC;FYN;AKT3;MAP3K8;PAK1;NFKB1;MAP3K14;FOS;SOS2;CBLB;MALT1;PTPN6;NFKBIA;CBL;IKBKB;ZAP70;CDC42;NFKBIE;PPP3CA;MAPK14;GRB2;PDPK1;PAK2;MAPK12;SOS1;NFKBIB;RHOA
prerank,Chemokine signaling pathway Homo sapiens hsa04062,0.6196064031202776,2.005131158197009,0.0,0.003455535619291491,0.007,53/164,13.83%,CCR2;FGR;VAV3;GRK5;TIAM1;HCK;LYN;RAP1A;DOCK2;AKT3;XCR1;CCR1;PAK1;NFKB1;JAK2;STAT3;CRK;RASGRP2;SOS2;CCR9;CXCL10;STAT5B;NFKBIA;RAC2;IKBKB;CDC42;BCAR1;STAT1;CXCL16;GRB2;PTK2B;PLCB1;RAC1;PXN;GNG10;GNB1;SOS1;NFKBIB;RHOA;BRAF;GRK6;PIK3CA;ADCY7;FOXO3;GNAI1;ADCY5;CXCR6;STAT2;AKT1;GNG2;NCF1;GNAI2;ROCK1
prerank,Primary immunodeficiency Homo sapiens hsa05340,0.7033960527882062,1.9074818987559685,0.0,0.010860254803487545,0.029,7/36,6.24%,CIITA;PTPRC;CD40;ZAP70;IL2RG;RFX5;TAP1
prerank,Antigen processing and presentation Homo sapiens hsa04612,0.6876232084576612,1.8897919264458685,0.0,0.01308167055874636,0.045,9/43,6.24%,CD74;CIITA;KLRD1;CREB1;PSME3;HSPA1A;PSME2;RFX5;TAP1
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.7196498696906903,1.8823997514828448,0.0014124293785310734,0.012834846585939827,0.053,6/32,3.51%,ITGB7;ITGA4;TNFSF13B;CD40;MAP3K14;CCR9
prerank,B cell receptor signaling pathway Homo sapiens hsa04662,0.6367150573488535,1.8750557371150418,0.0,0.011847550694713686,0.059,24/72,8.72%,CARD11;VAV3;DAPP1;LYN;PLCG2;LILRB3;AKT3;SYK;NFKB1;CD79B;FOS;SOS2;MALT1;PTPN6;NFKBIA;RAC2;IKBKB;NFKBIE;PPP3CA;GRB2;CD72;RAC1;SOS1;NFKBIB
prerank,Measles Homo sapiens hsa05162,0.5919820549825198,1.839010372287484,0.0,0.017207156961369877,0.1,47/108,17.18%,IL1B;IFNGR1;FYN;AKT3;OAS2;STAT5A;MSN;NFKB1;JAK2;STAT3;HSPA1A;CBLB;STAT5B;NFKBIA;EIF2AK2;EIF2AK1;CCND3;BBC3;STAT1;IL2RG;IFIH1;IRAK4;CCND1;IFNAR1;IL6;NFKBIB;TACR1;CSNK2A2;CSNK2A1;IRF7;PIK3CA;FCGR2B;RCHY1;MAP3K7;TLR2;CCND2;EIF2AK3;STAT2;AKT1;TYK2;RELA;MYD88;TBK1;IFNAR2;RAB9B;PIK3R2;EIF3H
prerank,Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,0.5982517099147393,1.828057081955141,0.0,0.017277678096457458,0.117,22/90,9.50%,ITGAL;VAV3;KLRD1;IFNGR1;PLCG2;FYN;SYK;PAK1;SOS2;PTPN6;RAC2;ZAP70;KLRK1;PPP3CA;ITGB2;GRB2;PTK2B;IFNAR1;RAC1;SOS1;ICAM1;BRAF
prerank,Malaria Homo sapiens hsa05144,0.6685906212550965,1.8183532603525323,0.0,0.018319823759418385,0.139,17/42,15.60%,ITGAL;IL1B;PECAM1;CD40;CD36;KLRK1;ITGB2;IL6;HGF;ICAM1;TLR2;GYPC;TGFB1;IL18;MYD88;THBS1;THBS2
prerank,Glycosaminoglycan degradation Homo sapiens hsa00531,-0.6308033163640333,-1.8013809574681146,0.0,0.09296951663448451,0.085,4/19,4.52%,HEXB;GALNS;GNS;ARSB
prerank,Shigellosis Homo sapiens hsa05131,0.610702189325561,1.7842607272924682,0.0012578616352201257,0.02468239728065351,0.201,27/62,15.68%,CD44;NFKB1;WASF2;CRK;MAD2L2;NFKBIA;IKBKB;CDC42;DIAPH1;ELMO2;MAPK14;FBXW11;ATG5;MAPK12;RAC1;ARPC1B;NFKBIB;ARPC2;ARPC4;MAPK8;HCLS1;ROCK1;RELA;MAPK1;RHOG;ELMO1;ITGA5
