Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cyclic-nucleotide-mediated signaling (GO:0019935),-0.6635431469623749,-2.2626909034735654,0.0,0.003957456108579916,0.004,14/35,6.57%,PDE7B;RIMS2;AKAP6;PDE4D;CD36;HTR2C;ADGRG6;APOE;PDE9A;PDE7A;ADCY2;RAPGEF2;GUCY1B1;HTR2B
prerank,glutamate receptor signaling pathway (GO:0007215),-0.6482897282549549,-2.2346353768959615,0.0,0.002968092081434937,0.006,17/37,10.33%,GRIK2;GRM7;GRID2;GRIA4;PLCB1;GRM8;GRIN2A;GRM5;GRM1;APP;GRIN2B;GRIA2;HOMER1;GRIA3;GRIK1;GRIK4;GRIN3A
prerank,regulation of cation channel activity (GO:2001257),-0.5361188133361442,-2.17861146346183,0.0,0.0059361841628698744,0.018,29/89,10.06%,DLG2;FGF14;NLGN1;DMD;AHNAK;ANK3;GRIA4;ANK2;LRRC7;SHISA9;GRIN2A;PDE4D;FGF12;APP;GRIA1;SHISA6;GRIN2B;CACNG2;GRIA2;DAPK1;HOMER1;DLG3;NETO1;CALM1;GSG1L;GRIA3;FGF11;OPRM1;ACTN2
prerank,regulation of MHC class II biosynthetic process (GO:0045346),-0.8771559928119352,-2.149059202710586,0.0,0.009151617251091055,0.036,6/11,7.92%,TMEM106A;CIITA;PF4;SIRT1;TAF7;JAK2
prerank,regulation of NMDA receptor activity (GO:2000310),-0.6522920077342421,-2.1327281906405906,0.00234192037470726,0.009300021855162802,0.046,16/32,10.60%,DLG2;NLGN1;GRIA4;LRRC7;GRIN2A;CCR2;APP;GRIA1;GRIN2B;GRIA2;DAPK1;DLG3;GRIA3;OPRM1;ACTN2;CCL2
prerank,regulation of synapse assembly (GO:0051963),-0.5788279756598421,-2.1095823975426775,0.0,0.013191520361933053,0.076,14/46,6.51%,NRXN1;NLGN1;PDLIM5;GRID2;LRFN5;GPC6;PTPRD;BDNF;APP;SLITRK1;IL1RAPL1;CLSTN2;IL1RAPL2;SYNDIG1
prerank,central nervous system neuron development (GO:0021954),-0.7643297134668035,-2.0729768982959937,0.0,0.020211293697390286,0.133,8/15,10.61%,B4GALT5;ARHGAP35;B4GALT6;NTRK2;RAPGEF2;MAP2;ATP7A;HSP90AB1
prerank,regulation of neurotransmitter receptor activity (GO:0099601),-0.5521841702029071,-2.0656968591096745,0.0,0.020281962556472067,0.151,21/57,12.57%,DLG2;NLGN1;GRIA4;LRRC7;SHISA9;GRIN2A;APP;GRIA1;SHISA6;GRIN2B;CACNG2;GRIA2;DAPK1;DLG3;NETO1;GSG1L;GRIA3;OPRM1;ACTN2;DLGAP1;DLGAP2
prerank,neuron cell-cell adhesion (GO:0007158),-0.7527557261849009,-2.0288695137125994,0.0,0.03165964886863933,0.234,9/14,18.96%,NRXN1;NLGN1;NRXN3;ASTN2;NCAM2;RET;ASTN1;CNTN4;NRXN2
prerank,regulation of axonogenesis (GO:0050770),-0.5454280340422093,-2.0120915787431985,0.0,0.037397960226080204,0.295,22/51,16.13%,LRRC4C;ROBO1;ARHGAP35;SLIT2;LINGO1;SLITRK1;PLXNC1;NTRK2;RTN4;PLXND1;ARHGDIA;PLXNA2;PAK3;GSK3B;CHN1;PLXNA1;THY1;TIAM1;PAK1;PLXNB2;PLXNB1;BRSK1
prerank,"synaptic transmission, glutamatergic (GO:0035249)",-0.6989639769148045,-2.005127185901789,0.0022222222222222222,0.037056179925793756,0.316,10/18,9.99%,GRIK2;GRID2;CDH8;NAPB;GRIA2;UNC13C;NAPA;GRIK1;GRIK4;UNC13B
prerank,positive regulation of synapse assembly (GO:0051965),-0.6281413829620159,-2.001416252877832,0.0,0.036359127997577984,0.332,9/27,6.51%,NRXN1;NLGN1;GRID2;PTPRD;BDNF;IL1RAPL1;CLSTN2;SEMA4A;SYNDIG1
prerank,chemical synaptic transmission (GO:0007268),-0.41392642133289576,-1.9995858788870362,0.0,0.034551636024909266,0.341,93/284,16.40%,DLG2;NRXN1;GRIK2;GRM7;NLGN1;PDE7B;KCND2;GRID2;GRIA4;PTPRN2;SYN3;RIT2;DTNA;CACNA1E;GRIN2A;SYN1;CDH8;GRM5;GABRB1;GPR176;SYN2;GRM1;SYT1;HTR2C;NAPB;GRIA1;SHISA6;APOE;HRH1;KIF1B;GRIN2B;SNPH;GABBR2;SDCBP;KCNQ3;CAMK4;NOVA1;GRIA2;SYT10;GABRA3;APBA2;UNC13C;ERC2;SLC5A7;HOMER1;GLRA1;NAPA;SLC1A6;CHAT;GABRG1;HTR2B;GABRA2;GABRG3;CALM1;GIPC1;SLC12A4;HSPA8;RIMS1;LRP6;HTR1D;CHRM3;SNAP25;GRIA3;CHRM2;GRIK1;GABRB3;GRIK4;SLC12A5;GRIN2D;UNC13B;RAB3A;HCRTR2;CHRNA4;UNC119;GABRG2;DLGAP1;SYPL1;SLC1A1;DLGAP2;SNCA;HTR4;KCNMB4;PTCHD1;HTR6;PLP1;GLRA2;ERC1;PDLIM4;KCNIP2;CRHBP;BRSK1;GABRA5;GABRQ
prerank,modulation of excitatory postsynaptic potential (GO:0098815),-0.6257206668857378,-1.994052777630863,0.0,0.034627740950074266,0.362,10/26,7.99%,NRXN1;NLGN1;RIMS2;LRRK2;APP;SLC8A3;PRKCZ;SHANK3;MTMR2;RIMS1
prerank,cAMP-mediated signaling (GO:0019933),-0.636809189796741,-1.9794346978252613,0.0,0.03884902746589284,0.418,8/24,3.38%,PDE7B;RIMS2;AKAP6;PDE4D;ADGRG6;PDE7A;ADCY2;RAPGEF2
prerank,nerve growth factor signaling pathway (GO:0038180),-0.8191905096809371,-1.9785055175078397,0.0,0.03685381001115046,0.422,4/10,3.38%,MAGI2;BDNF;KIDINS220;RAPGEF2
prerank,cellular response to copper ion (GO:0071280),0.7323718940492447,1.9714499113215884,0.0,0.4011863058475055,0.301,9/16,10.42%,MT1B;MT1G;MT1E;MT1A;MT1F;MT1H;MT1M;MT1X;MT2A
prerank,cGMP-mediated signaling (GO:0019934),-0.7692719131476059,-1.9706328902178303,0.0,0.03742123937966009,0.448,7/13,6.57%,CD36;HTR2C;KCNC2;APOE;PDE9A;GUCY1B1;HTR2B
prerank,receptor clustering (GO:0043113),-0.6099478893743062,-1.9663637892448385,0.006741573033707865,0.03737597435881032,0.462,13/27,14.30%,MAGI2;DLG2;NRXN1;NLGN1;ITGA4;LRRC7;ITGAL;ITGB7;DLG3;DNAJA3;THY1;ITGB1BP1;AGRN
prerank,positive regulation of calcium ion transmembrane transporter activity (GO:1901021),-0.6583107446925565,-1.965644903854312,0.0,0.035565033186316874,0.464,7/22,7.98%,AKAP6;ANK2;HTT;RYR2;CALM1;VMP1;PKD2
