Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,clathrin adaptor activity (GO:0035615),-0.7627511222673731,-2.1587577314470656,0.0,0.00338928530799738,0.003,6/15,5.83%,DAB2;HIP1;AP2A2;AP2B1;HIP1R;LDLRAP1
prerank,lipoprotein particle binding (GO:0071813),-0.6277494693963632,-1.9275884157997552,0.0,0.13952557851255878,0.203,8/20,10.39%,MSR1;CD36;THBS1;HSPD1;PLTP;LDLR;LPL;STAB2
prerank,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",-0.6571365293902709,-1.902771192761276,0.0,0.09320534596992794,0.259,5/16,4.12%,ATP6V0D1;ATP6V0D2;ATP6V1B2;ATP6V0A1;ATP6V0B
prerank,"proton-transporting ATPase activity, rotational mechanism (GO:0046961)",-0.6571365293902709,-1.902771192761276,0.0,0.09320534596992794,0.259,5/16,4.12%,ATP6V0D1;ATP6V0D2;ATP6V1B2;ATP6V0A1;ATP6V0B
prerank,phosphatidylinositol-4-phosphate binding (GO:0070273),-0.5713934006419981,-1.8620047955514996,0.0,0.11704331930284284,0.374,6/24,5.60%,OSBPL8;GOLPH3L;SESTD1;OSBP;PLA2G4E;PLEKHA3
prerank,death domain binding (GO:0070513),-0.7240452733111908,-1.8588588499712353,0.0,0.10111367835525517,0.389,6/11,13.53%,BCL2;BCL2L1;MCL1;BAX;RIPK1;RACK1
prerank,low-density lipoprotein particle binding (GO:0030169),-0.6304464979813135,-1.8433705108020146,0.0,0.100710192009065,0.438,6/16,10.39%,MSR1;CD36;THBS1;PLTP;LDLR;STAB2
prerank,hyaluronic acid binding (GO:0005540),-0.7327882322605908,-1.805423358215403,0.0091324200913242,0.13430043032939618,0.579,5/10,11.26%,LYVE1;CD44;IMPG2;STAB2;CHODL
prerank,voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008),0.6962509079161474,1.7969105431131214,0.005244755244755245,0.875164821053066,0.571,5/14,3.78%,KCNJ3;KCNH2;KCNA5;KCNE2;KCNJ8
prerank,high voltage-gated calcium channel activity (GO:0008331),0.7465802915482862,1.7628434837626847,0.0,0.6487494238429276,0.707,6/10,16.42%,CACNB4;CACNB2;CACNA1S;CACNA1D;CACNA1B;CACNA1A
prerank,phosphatidylinositol phosphate binding (GO:1901981),-0.3919051551490563,-1.7445244725486033,0.0,0.21791849239568337,0.786,21/100,8.39%,IQGAP1;IQGAP2;OSBPL8;DENND1A;HIP1;KIF16B;GOLPH3L;SNX24;SESTD1;DENND1B;OSBP;PLA2G4E;SH3PXD2B;GBF1;ZFYVE16;HIP1R;PLEKHA3;ARAP1;CYTH3;GAB2;RACGAP1
prerank,nucleotide diphosphatase activity (GO:0004551),0.6573067086464823,1.7372655119463305,0.008680555555555556,0.5726615284539422,0.799,6/14,12.53%,NUDT12;FHIT;NUDT17;NUDT10;NUDT3;ENPP4
prerank,voltage-gated calcium channel activity (GO:0005245),0.5300966362360932,1.7362941645943641,0.0,0.4345789409717047,0.804,16/37,17.26%,CACNB4;CACNG5;CACNG2;CACNB2;CACNA1S;CACNA2D3;PKD2;CACNA1G;CACNA2D2;CACNG7;CACNA1D;CACNA1B;CACNA2D1;CACNA1A;OPRM1;CACNG3
prerank,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase activity (GO:0008532)",0.6679649650880441,1.6908213516876776,0.01592920353982301,0.5574439493761452,0.925,5/12,10.08%,B3GNT9;B3GNT6;B4GAT1;B3GALT2;B3GALNT1
prerank,"phosphatidylinositol-3,4,5-trisphosphate binding (GO:0005547)",-0.4773516553768528,-1.6863966903612533,0.005420054200542005,0.3272919845756136,0.914,11/34,8.39%,IQGAP1;IQGAP2;KIF16B;PLA2G4E;GBF1;ZFYVE16;HIP1R;ARAP1;CYTH3;GAB2;RACGAP1
prerank,protein tyrosine kinase binding (GO:1990782),-0.40704918624944536,-1.6836736773015792,0.003663003663003663,0.3043167384120071,0.915,35/71,30.36%,NEDD9;CBLB;GAS6;ITGAX;CASS4;CRK;PTPN1;PCNA;NCK1;BLNK;BANK1;SOCS5;CBL;CEACAM1;RACK1;SHC1;ELMO2;SQSTM1;CD247;PITPNM3;ACVR1;DUSP3;NOX4;ANGPT1;RNF41;BMPR2;PHYHIP;PIK3R2;PTPN14;HSP90AA1;SHC4;DUSP22;ANGPT4;LRP4;CD4
prerank,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282),0.6877822304181407,1.678239816129565,0.014388489208633094,0.5227577266198709,0.944,4/11,3.78%,KCNJ3;KCNH2;KCNE2;KCNJ8
prerank,sequence-specific mRNA binding (GO:1990825),-0.672953903934191,-1.667902179848741,0.02097902097902098,0.3209464893045296,0.944,6/10,20.95%,ETF1;SHFL;LARP6;SSB;TYMS;DHFR
