Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,transmitter-gated ion channel activity (GO:0022824),-0.7190867616346138,-2.476791604831198,0.0,0.0,0.0,17/29,18.40%,GRIA4;GABRB2;GABRB3;GRIK2;GLRA3;GRIK3;GRIK4;GABRG3;GRID2;GABRA2;GRID1;GABRA1;GABRB1;GLRA2;GABRE;GRIA2;GABRG2
prerank,glutamate receptor activity (GO:0008066),-0.749339020187089,-2.262424825474178,0.0,0.0032200173451600992,0.006,10/19,5.58%,GRIA4;GRM7;GRIK2;GRIK3;GRIK4;GRM1;GRID2;GRM5;GRID1;GRM3
prerank,ligand-gated anion channel activity (GO:0099095),-0.6984412152422435,-2.1417429884909343,0.0,0.00858671292042693,0.021,11/17,18.40%,GABRB2;GABRB3;GLRA3;GABRG3;GABRA2;GABRA1;GABRB1;GLRA2;GLRA1;GABRE;GABRG2
prerank,neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential (GO:0099529),-0.6837463077613894,-2.078464835602911,0.0,0.012611734601877055,0.041,10/19,18.40%,GRIK2;GRIK3;GRIK4;GABRG3;GRID2;GABRA2;GRID1;GABRA1;GABRE;GABRG2
prerank,GABA-gated chloride ion channel activity (GO:0022851),-0.6861622941830512,-1.9035629048464517,0.0037735849056603774,0.08157377274405585,0.299,8/12,18.40%,GABRB2;GABRB3;GABRG3;GABRA2;GABRA1;GABRB1;GABRE;GABRG2
prerank,protein phosphatase inhibitor activity (GO:0004864),0.7127562476454439,1.8309704585895155,0.0,0.09949855623880628,0.089,9/26,12.13%,LGALS3;MGAT5;PPP1R14A;PPP1R9B;CABIN1;SAG;PPP1R14B;BOD1L1;PPME1
prerank,neutral amino acid transmembrane transporter activity (GO:0015175),0.6879622269829111,1.8131017364101634,0.0,0.06994452963322026,0.124,17/32,19.43%,MFSD12;SLC3A2;SLC38A1;SLC6A6;SLC38A6;SLC6A19;SLC6A14;SLC36A4;SLC36A3;SLC6A7;SFXN1;SLC1A5;SLC7A8;SFXN2;SLC43A2;SLC38A7;SLC38A2
prerank,inhibitory extracellular ligand-gated ion channel activity (GO:0005237),-0.6380859876005862,-1.8085208992375668,0.00819672131147541,0.14597411964725782,0.526,8/13,18.40%,GLRA3;GABRG3;GABRA2;GABRA1;GLRA2;GLRA1;GABRE;GABRG2
prerank,voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282),-0.6703181185041618,-1.7967753004283429,0.014336917562724014,0.13784740920471092,0.568,7/11,26.36%,KCND3;KCNJ3;KCNH2;KCNQ1;KCNE3;KCNE4;KCNJ5
prerank,serotonin receptor activity (GO:0099589),-0.5259868358672491,-1.7817688515809362,0.005319148936170213,0.10819258279737932,0.614,6/22,8.20%,CHRM2;HTR2A;HTR2C;CHRM3;HRH2;HTR1F
prerank,G protein-coupled amine receptor activity (GO:0008227),-0.5259868358672491,-1.7817688515809362,0.005319148936170213,0.10819258279737932,0.614,6/22,8.20%,CHRM2;HTR2A;HTR2C;CHRM3;HRH2;HTR1F
prerank,G protein-coupled serotonin receptor activity (GO:0004993),-0.5259868358672491,-1.7817688515809362,0.005319148936170213,0.10819258279737932,0.614,6/22,8.20%,CHRM2;HTR2A;HTR2C;CHRM3;HRH2;HTR1F
prerank,ionotropic glutamate receptor activity (GO:0004970),-0.5746077614165843,-1.7730669794571994,0.013513513513513514,0.10626057239028329,0.639,7/17,4.46%,GRIA4;GRIK2;GRIK3;GRIN2A;GRIA3;GRIK4;GRIN2B
prerank,amino acid transmembrane transporter activity (GO:0015171),0.6362324565778026,1.7583065627145904,0.0,0.12314177752327508,0.298,21/47,20.39%,SLC3A2;SLC38A1;SLC6A6;SLC38A6;SLC7A1;PDPN;SLC7A11;SLC6A19;SLC6A14;SLC36A4;SLC36A3;SLC7A6;SLC1A5;SLC38A11;SLC7A8;SLC43A2;SLC38A7;SLC38A10;SLC16A2;SLC38A2;SLC25A44
prerank,phosphatase inhibitor activity (GO:0019212),0.7174576558756269,1.753839720556643,0.0,0.10417794378469074,0.324,7/20,12.13%,LGALS3;MGAT5;PPP1R9B;CABIN1;SAG;BOD1L1;PPME1
prerank,transmembrane-ephrin receptor activity (GO:0005005),-0.5705546911345626,-1.7500178801503865,0.014285714285714285,0.10609544329565967,0.693,8/17,17.93%,EPHA6;EPHA4;EPHB1;EPHA5;EFNA3;EPHA2;EPHB6;EPHB4
prerank,ephrin receptor activity (GO:0005003),-0.5705546911345626,-1.7500178801503865,0.014285714285714285,0.10609544329565967,0.693,8/17,17.93%,EPHA6;EPHA4;EPHB1;EPHA5;EFNA3;EPHA2;EPHB6;EPHB4
prerank,outward rectifier potassium channel activity (GO:0015271),-0.6605207426480556,-1.7456847492987064,0.031007751937984496,0.1025038854875965,0.707,6/11,20.80%,KCND2;KCND3;KCND1;KCNK2;KCNQ1;KCNIP2
prerank,"ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)",0.7612063610551615,1.7344706075469871,0.0,0.10278233697276029,0.44,8/16,4.99%,TCIRG1;ATP6V1C1;ATP6V0D2;ATP6V1A;ATP6V0A1;ATP6V1B2;ATP6V0D1;ATP6V0B
prerank,"proton-transporting ATPase activity, rotational mechanism (GO:0046961)",0.7612063610551615,1.7344706075469871,0.0,0.10278233697276029,0.44,8/16,4.99%,TCIRG1;ATP6V1C1;ATP6V0D2;ATP6V1A;ATP6V0A1;ATP6V1B2;ATP6V0D1;ATP6V0B
prerank,death domain binding (GO:0070513),0.8016286593300913,1.7085595094290058,0.002699055330634278,0.1293340497644455,0.566,7/11,10.27%,BCL2;BCL2L1;MCL1;DAPL1;RACK1;BAX;DAP
prerank,NAD-retinol dehydrogenase activity (GO:0004745),0.7442016160771036,1.6963966024317036,0.0012919896640826874,0.13508652994303277,0.631,5/14,22.05%,RDH12;DHRS3;DHRS9;AKR1A1;RDH10
prerank,monocarboxylate:sodium symporter activity (GO:0140161),-0.6564147627416519,-1.6845060735575963,0.03571428571428571,0.14683279093930052,0.837,8/10,34.39%,SLC6A11;SLC6A1;SLC10A1;SLC10A6;SLC10A3;SLC6A12;SLC6A13;SLC10A2
prerank,cation transmembrane transporter activity (GO:0008324),0.6014770619036564,1.6819709349277734,0.0010869565217391304,0.14930256403710868,0.712,20/48,22.42%,MFSD12;SLC3A2;SLC38A1;SLC6A6;SLC38A6;SLC7A1;SLC6A14;SLC36A4;SLC36A3;SLC6A7;SLC22A3;SFXN1;SLC1A5;SLC8B1;SLC7A8;SFXN2;SLC38A7;SLC38A2;SLC7A2;SLC39A1
prerank,pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678),0.6852475919776652,1.6811271336810858,0.0035714285714285713,0.13624406265175157,0.716,8/22,4.99%,TCIRG1;ATP6V1C1;ATP6V0D2;ATP6V1A;ATP6V0A1;ATP6V1B2;ATP6V0D1;ATP6V0B
prerank,receptor antagonist activity (GO:0048019),0.7240717875667334,1.673791657202084,0.0025348542458808617,0.13953082864091826,0.757,4/17,11.65%,DKK2;WFIKKN1;LRPAP1;CCL5
prerank,GABA receptor activity (GO:0016917),-0.5180734054363062,-1.673296058432408,0.017142857142857144,0.14845621635081874,0.858,10/21,18.40%,GABRB2;GABRB3;GABRG3;GABRA2;GABBR1;GABRA1;GABRB1;GABRR2;GABRE;GABRG2
prerank,translation initiation factor activity (GO:0003743),0.628041159671365,1.6648919122342811,0.0,0.1459640536242554,0.796,25/36,27.67%,EIF3L;EIF4A1;EIF1;AGO2;EIF3A;EIF4G1;EIF4G2;EIF2S1;EIF2A;EIF4G3;EIF5B;EIF3M;EIF4E2;EIF2B2;EIF3E;EIF2S2;EIF4A2;EIF3B;EIF2B4;EIF3H;EIF3I;EIF3G;EIF1B;EIF4E;EIF2D
prerank,cyclin-dependent protein kinase activity (GO:0097472),0.6742824197945029,1.658079215117981,0.0025252525252525255,0.13841135793616122,0.821,7/21,12.99%,CDK14;CDK6;CDK8;CDK5;CDK13;CDK11B;CDK2
prerank,cyclin-dependent protein serine/threonine kinase activity (GO:0004693),0.6742824197945029,1.658079215117981,0.0025252525252525255,0.13841135793616122,0.821,7/21,12.99%,CDK14;CDK6;CDK8;CDK5;CDK13;CDK11B;CDK2
prerank,GTPase inhibitor activity (GO:0005095),0.7370777467617357,1.6526672616270788,0.010296010296010296,0.13890392504625432,0.845,6/13,12.48%,IQGAP1;IPO5;RTKN;CPEB2;CDC42SE1;IQGAP2
prerank,wide pore channel activity (GO:0022829),0.6545996147339921,1.643733752686457,0.00849514563106796,0.14850898369306978,0.879,7/23,18.72%,GJB2;PANX3;PANX1;PRF1;GJD2;GJC2;GJB6
prerank,phosphotyrosine residue binding (GO:0001784),0.6057757466952504,1.6332022885828095,0.0034129692832764505,0.16109841953633167,0.901,10/37,8.41%,BCAR3;LCK;STAP1;SH3BP2;ABL2;FGR;NCK2;GRB2;CRKL;SAMSN1
prerank,semaphorin receptor activity (GO:0017154),0.7692372767940834,1.6317883855644333,0.004087193460490463,0.15554174743162127,0.908,5/11,10.12%,PLXNC1;NRP2;PLXNA2;NRP1;PLXND1
prerank,cholesterol transfer activity (GO:0120020),0.6880796459319772,1.6285757536212957,0.0076824583866837385,0.15414758087439867,0.918,7/16,19.48%,ABCG1;ABCA1;APOA2;OSBPL2;GRAMD1B;NPC2;STARD4
