Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,platelet dense granule (GO:0042827),0.7310397791437205,1.7749419458004634,0.0013404825737265416,0.3002625524046131,0.245,4/20,6.77%,LGALS3BP;LAMP2;ITPR1;CDC37L1
prerank,glial cell projection (GO:0097386),-0.5890958130833328,-1.6202549246072728,0.02456140350877193,1.0,0.663,6/14,9.47%,GRM3;SLC1A2;ATP1B2;KCNJ10;PINK1;SLC4A8
prerank,muscle myosin complex (GO:0005859),0.7081880383758262,1.6097098044805194,0.024113475177304965,1.0,0.891,3/13,14.63%,MYL9;MYL1;MYH2
prerank,platelet dense granule lumen (GO:0031089),0.7167014579762976,1.6062120899362586,0.022988505747126436,0.9259630450432648,0.899,2/13,6.77%,LGALS3BP;CDC37L1
prerank,cytoplasmic stress granule (GO:0010494),0.5245692074039147,1.5310769452905435,0.015267175572519083,1.0,0.992,22/62,20.76%,IGF2BP1;TRIM25;ZFP36;YTHDF1;LARP1;KPNB1;DHX36;HNRNPK;YTHDF2;G3BP2;STAU1;RBFOX1;TIAL1;EIF2S1;DDX19B;CAPRIN1;RBPMS;RC3H2;DDX19A;OGFOD1;DDX3X;G3BP1
prerank,multivesicular body (GO:0005771),0.5476042097786685,1.4932059617786806,0.025240384615384616,1.0,0.999,14/42,17.68%,CHMP4A;CHMP4B;BST2;CHMP1B;CRHBP;NSG2;TMEM9;CTSH;CST7;CHMP3;SORL1;NAPSA;RAB11A;CHMP5
prerank,transport vesicle membrane (GO:0030658),0.5454460375593662,1.4903154208016407,0.03248259860788863,1.0,0.999,15/41,19.77%,CA4;B2M;SLC18A2;TGFA;SEC16A;GOSR2;CNIH3;SEC24D;SEC23A;TMED10;VAMP2;VTI1B;SEC24A;CNIH1;RAB1A
prerank,asymmetric synapse (GO:0032279),-0.31004958200018967,-1.4869737697474925,0.0,1.0,0.929,35/128,10.36%,ADD1;PDLIM5;CDH2;GRIN2A;SEMA4C;RPS14;GRIN2B;DNAJC6;LRRC7;ADGRL1;ARHGAP44;DLG4;SHISA9;SPOCK1;GRIN1;RPLP0;ARHGEF9;SRCIN1;HOMER1;HOMER3;RPL8;KCND2;FXR2;RGS14;KCND1;SLC8A3;SHISA6;CACNG8;CABP1;TSC2;SHANK3;SLC4A8;NSF;NSMF;KCND3
prerank,cis-Golgi network (GO:0005801),0.5410278745227508,1.4755928226899295,0.038238702201622246,1.0,0.999,20/40,23.17%,TRAPPC3;AZIN2;GOLGA5;GOLGA8B;GPR108;TMED5;LRPAP1;TMED10;KDELR1;SCFD1;AKAP9;HOOK3;GOLIM4;RETREG1;GBF1;GOSR1;SLC35C2;MAP6D1;TRAPPC6A;RAB29
prerank,coated vesicle membrane (GO:0030662),0.5411504100081691,1.4653231615485989,0.04637336504161712,1.0,0.999,12/37,15.43%,B2M;TGFA;SEC16A;GOSR2;CNIH3;SEC24D;DENND1A;SEC23A;TMED10;KDELR1;VTI1B;SEC24A
prerank,CD40 receptor complex (GO:0035631),0.6788923783603829,1.4631875728186745,0.05625879043600562,1.0,0.999,6/11,11.40%,BIRC2;CD40;RNF31;TRAF3;DIABLO;TRAF5
prerank,anchored component of plasma membrane (GO:0046658),0.531560186152546,1.4558966265755158,0.052256532066508314,1.0,0.999,7/37,11.48%,NOD2;NOD1;CA4;THY1;PRNP;RGMB;GAS1
prerank,integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556),0.6821102384974917,1.4468362268979118,0.0849194729136164,0.9677941010403286,0.999,6/10,24.83%,SPPL2A;TAPBP;SPPL3;HM13;BCAP31;SPPL2B
prerank,lumenal side of endoplasmic reticulum membrane (GO:0098553),0.6821102384974917,1.4468362268979118,0.0849194729136164,0.9677941010403286,0.999,6/10,24.83%,SPPL2A;TAPBP;SPPL3;HM13;BCAP31;SPPL2B
prerank,MLL3/4 complex (GO:0044666),0.6718403827025359,1.4359871979494925,0.08746355685131195,0.966323962304511,1.0,4/10,12.62%,DPY30;RBBP5;WDR5;PAXIP1
prerank,MLL1 complex (GO:0071339),0.5628269580846157,1.434044369316352,0.07365792759051186,0.8505596883248875,1.0,15/26,24.50%,SENP3;RBBP5;KMT2A;LAS1L;WDR5;MAX;KAT8;INO80C;PELP1;E2F6;RUVBL2;CHD8;TAF7;TAF4;MGA
prerank,MLL1/2 complex (GO:0044665),0.5628269580846157,1.434044369316352,0.07365792759051186,0.8505596883248875,1.0,15/26,24.50%,SENP3;RBBP5;KMT2A;LAS1L;WDR5;MAX;KAT8;INO80C;PELP1;E2F6;RUVBL2;CHD8;TAF7;TAF4;MGA
prerank,postsynaptic density (GO:0014069),-0.29435738995182287,-1.4328031833762735,0.0,1.0,0.968,35/135,10.36%,ADD1;PDLIM5;CDH2;GRIN2A;SEMA4C;RPS14;GRIN2B;DNAJC6;LRRC7;ADGRL1;ARHGAP44;DLG4;CACNG7;SHISA9;SPOCK1;GRIN1;RPLP0;ARHGEF9;SRCIN1;HOMER1;HOMER3;RPL8;KCND2;FXR2;RGS14;KCND1;SLC8A3;SHISA6;CACNG8;CABP1;TSC2;SHANK3;NSF;NSMF;KCND3
prerank,Golgi cisterna membrane (GO:0032580),0.660400079926613,1.4230788262378902,0.08925869894099848,0.8645788486512429,1.0,6/10,12.20%,RAB21;GOLGA8B;TMEM115;NSG2;ST3GAL1;TMEM87A
prerank,Golgi stack (GO:0005795),0.5439065102370604,1.4132491619785972,0.06467661691542288,0.8754316711933846,1.0,12/29,18.68%,GOLGA7;GOLGA5;TMBIM4;LPCAT2;PLK3;STX16;COG2;RAB14;SORL1;AKAP9;OCRL;GOLPH3L
prerank,microbody lumen (GO:0031907),0.4986844343201694,1.4018034865894147,0.06568516421291053,0.8466880433159462,1.0,11/47,12.36%,AGXT;ACOXL;GRHPR;PEX7;LONP2;ECI2;HMGCL;IDH1;DHRS4;GNPAT;EPHX2
prerank,peroxisomal matrix (GO:0005782),0.4986844343201694,1.4018034865894147,0.06568516421291053,0.8466880433159462,1.0,11/47,12.36%,AGXT;ACOXL;GRHPR;PEX7;LONP2;ECI2;HMGCL;IDH1;DHRS4;GNPAT;EPHX2
prerank,cytoplasmic side of plasma membrane (GO:0009898),0.485286486465928,1.3899594234425692,0.060674157303370786,0.873432449218695,1.0,16/52,18.19%,CHMP4A;CHMP4B;BIRC2;RAB21;ANK1;RNF31;PTPN7;LDLRAP1;TRAF3;DIABLO;TRAF5;MAP2K2;DLG1;MIEN1;PTPRC;MYH9
prerank,intrinsic component of mitochondrial membrane (GO:0098573),-0.518854226206434,-1.3801834973590628,0.10493827160493827,1.0,0.986,10/12,36.38%,MFN1;SLC25A4;COX11;ABCB10;TMEM70;MFF;MFN2;SLC8B1;OXA1L;MICU1
prerank,anchored component of external side of plasma membrane (GO:0031362),0.5995329442217832,1.3750490743398507,0.1074964639321075,0.9188139366526786,1.0,3/16,9.48%,CA4;THY1;PRNP
prerank,Golgi cisterna (GO:0031985),0.4998876300510821,1.3660750777225017,0.1038961038961039,0.932689506758222,1.0,18/36,22.09%,YIPF2;ATL1;RAB21;GOLGA5;GOLGA8B;TMEM115;B4GALT1;STX16;SORL1;TMEM87A;TMEM59;LLGL1;GOSR1;GOLPH3L;HID1;GCC1;XYLT1;GOLT1A
prerank,brush border membrane (GO:0031526),0.5080387174952474,1.3573925388788883,0.10869565217391304,0.9442772720326454,1.0,4/36,7.56%,CA4;LRP2;SLC11A2;B4GALT1
prerank,integral component of postsynaptic specialization membrane (GO:0099060),-0.4778801407542227,-1.347404091887112,0.14545454545454545,1.0,0.993,6/15,21.98%,CDH2;ADAM22;LRFN5;GSG1L;SLITRK3;LRRTM1
prerank,intermediate filament cytoskeleton (GO:0045111),0.45539072589423096,1.338581148375467,0.0728476821192053,1.0,1.0,15/71,14.26%,DDX60;MMP14;SMG7;PKN2;MDN1;ADCY5;NOL9;PFDN5;NEFM;CLK3;BFSP1;PRKCE;NCKIPSD;STN1;CTNS
prerank,spanning component of plasma membrane (GO:0044214),0.6021195992183338,1.3373311600338462,0.15428571428571428,0.9818032833166296,1.0,4/13,15.96%,TM2D3;SLC15A2;BMPR2;SLC24A3
prerank,intermediate filament (GO:0005882),-0.3580859958744506,-1.3354718234894918,0.07272727272727272,1.0,0.994,9/37,14.66%,DST;MACF1;CLIP1;MICAL1;TCHP;PLEC;BFSP2;SYNM;SLC1A4
prerank,lipid droplet (GO:0005811),0.454814563655758,1.3350425637597998,0.07516339869281045,0.958211630485179,1.0,26/69,26.25%,RSAD2;AUP1;PNPLA2;CYB5R3;RAB5C;LPCAT2;SCCPDH;FAF2;LDAH;IRAK1;VPS13A;PLIN4;CLDN11;SET;TSC1;OSBPL2;BCAP31;PNPLA3;ZFYVE1;VCP;ACSL3;BSCL2;ANXA2;RDH10;ABHD5;FIG4
prerank,TIM23 mitochondrial import inner membrane translocase complex (GO:0005744),-0.4865309625991696,-1.3252404269202926,0.14006514657980457,1.0,0.995,7/12,21.82%,DNAJC15;TIMM21;GRPEL1;PAM16;TIMM17A;GRPEL2;ROMO1
prerank,Set1C/COMPASS complex (GO:0048188),0.6038116960250148,1.320905386864501,0.140117994100295,1.0,1.0,3/12,9.82%,DPY30;RBBP5;WDR5
prerank,U5 snRNP (GO:0005682),0.5631412941724026,1.3168706851560943,0.14285714285714285,0.9921361572168639,1.0,7/17,17.66%,TXNL4B;TXNL4A;PRPF18;SNRPD2;SNRPD1;SNRPG;DDX23
prerank,cornified envelope (GO:0001533),-0.3945454065351991,-1.3120121586453124,0.07766990291262135,1.0,0.996,16/25,50.59%,ANXA1;JUP;DSG2;TCHH;PPL;DSP;EVPL;TGM1;DSG3;KRT10;HRNR;PKP3;SPRR1A;PKP1;DSC2;PKP4
