Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,double-stranded RNA binding (GO:0003725),0.7061382161606047,2.054969501464271,0.0,0.0010228970142116215,0.001,18/70,5.02%,DDX60;OAS3;ZBP1;OASL;EIF2AK2;OAS2;IFIH1;DHX58;ACTN1;ADAR;DHX33;AGO2;ZFR2;TARBP2;ILF3;DHX36;HSP90AB1;TLR8
prerank,adenylyltransferase activity (GO:0070566),0.7933475125318188,1.965691688930476,0.0,0.006137382085269729,0.011,4/21,0.82%,OAS3;OASL;OAS2;TENT4A
prerank,CXCR chemokine receptor binding (GO:0045236),0.8535860962009952,1.8847693664895406,0.0,0.03955201788284937,0.09,2/11,0.33%,CXCL10;CXCL9
prerank,NAD+ ADP-ribosyltransferase activity (GO:0003950),0.7390474363820746,1.876044571985671,0.0012755102040816326,0.03452277422964222,0.103,6/25,4.18%,PARP14;PARP10;PARP9;PARP11;ZC3HAV1;ART4
prerank,glutamate receptor binding (GO:0035254),-0.6179756808574383,-1.8592015585233892,0.0,0.41264784037590113,0.337,10/17,22.37%,DLG4;HOMER1;HOMER3;SHISA6;SHANK3;NSF;GNAS;SHISA7;CAMK2A;SHANK1
prerank,pentosyltransferase activity (GO:0016763),0.6769397356019828,1.844492009047284,0.001201923076923077,0.04725784205657692,0.176,6/36,4.18%,PARP14;PARP10;PARP9;PARP11;ZC3HAV1;ART4
prerank,chemokine activity (GO:0008009),0.7041171379749693,1.8405844947922323,0.0,0.04159781191127261,0.187,6/31,5.24%,CXCL10;CXCL9;CCL7;CXCL16;CCL5;CX3CL1
prerank,CARD domain binding (GO:0050700),0.8069883854452755,1.8123099588353357,0.0,0.06166607714247204,0.304,4/14,1.44%,IRGM;CASP4;NOD2;NOD1
prerank,single-stranded RNA binding (GO:0003727),0.6564868260070187,1.806262055615659,0.0011904761904761906,0.060095199584932764,0.326,14/43,12.66%,DDX60;IFIH1;DHX58;POLR2G;AGO2;ZFR2;ILF3;TLR8;SRA1;DHX9;EIF4H;LONP1;HNRNPA1;DDX11
prerank,channel activity (GO:0015267),0.6424729997621544,1.7677894128862897,0.0,0.101835080525957,0.531,11/41,12.88%,TRPM5;AQP11;PANX2;ASIC4;AQP4;TMEM120B;PDPN;TMEM266;PANX1;KCNK3;TRPV4
prerank,chemokine receptor binding (GO:0042379),0.658130095548398,1.7621444079103141,0.0,0.09922101037852729,0.56,6/35,5.24%,CXCL10;CXCL9;CCL7;CXCL16;CCL5;CX3CL1
prerank,water transmembrane transporter activity (GO:0005372),0.8190643686554024,1.7567091846901488,0.004310344827586207,0.09875605719024927,0.599,3/11,9.06%,AQP11;AQP4;PDPN
