Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,phagocytic vesicle membrane (GO:0030670),-0.6269847184183274,-2.3029230734756245,0.0,0.0,0.0,20/39,20.04%,CYBB;ATP6V0D1;PIP4P2;PIK3C3;ATP6V0D2;PIK3R4;ATP6V0A1;ATP7A;RAB7A;ATP6V0B;TAPBP;SNAP23;CYBA;SLC11A1;B2M;RAB31;CLEC4E;APPL2;ATP6V0A4;HVCN1
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.630188000810453,-2.2664371816016184,0.0,0.0,0.0,15/36,10.03%,EIF2A;RPS26;RPS23;RPS24;RPS16;DHX29;RPS29;RPS14;RPS20;RPS12;RPS13;RPS7;RPS5;UBA52;RPS10
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.5254891896034533,-2.0455919394426663,0.0,0.007047730144843007,0.016,27/53,20.04%,RPL39;RPL5;RPL28;RPL35A;RPL18A;RPL27;RPL21;RPL30;RPL6;RPL37A;RPL10;RPL15;RPL14;MRPL1;RPL9;RPL32;RPL36;RPL23A;RPL31;RPL3;RPL41;RPL8;FXR2;RPL37;RPL36A;RPL26;RPL11
prerank,small ribosomal subunit (GO:0015935),-0.5410297049602634,-2.012337895858908,0.0,0.008084161048496389,0.025,15/41,10.03%,EIF2A;RPS26;RPS23;RPS24;RPS16;DHX29;RPS29;RPS14;RPS20;RPS12;RPS13;RPS7;RPS5;UBA52;RPS10
prerank,large ribosomal subunit (GO:0015934),-0.48462618717123634,-1.9230683585840485,0.0,0.022386907518913077,0.08,28/57,20.04%,RPL39;RPL5;RPL28;RPL35A;RPL18A;RPL27;RPL21;RPL30;RPL6;RPL37A;RPL10;RPL15;RPL14;MRPL1;RPL9;RPL32;RPL36;RPL23A;MRPL17;RPL31;RPL3;RPL41;RPL8;FXR2;RPL37;RPL36A;RPL26;RPL11
prerank,autolysosome (GO:0044754),-0.759058861157962,-1.8781817297648258,0.0,0.03088564092887082,0.13,8/10,19.78%,PIK3C3;LAMP2;LRRK2;CLN3;FTL;MAP1LC3A;SQSTM1;PLEKHM1
prerank,polysomal ribosome (GO:0042788),-0.5222376591583637,-1.759736032586421,0.008086253369272238,0.10926942955659953,0.411,16/29,20.04%,RPS26;RPL39;RPS23;RPS29;RPL18A;RPL30;RPL6;RPL32;RPL36;RPL31;LARP1;RPL41;RPL8;LARP4B;RPL36A;RPL11
prerank,vacuolar proton-transporting V-type ATPase complex (GO:0016471),-0.5642154678076998,-1.7496176553483396,0.014778325123152709,0.10167387164839689,0.43,4/18,2.78%,ATP6V0D1;ATP6V0D2;ATP6V1B2;ATP6V0A1
prerank,endocytic vesicle membrane (GO:0030666),-0.3670682353643882,-1.695525405501505,0.0,0.14482394493716608,0.584,38/136,13.36%,CYBB;ATP6V0D1;CD163;CD74;APOE;PIP4P2;PIK3C3;AP2A2;ATP6V0D2;MSR1;PIK3R4;ATP6V0A1;ATP7A;CD36;RAB7A;ATP6V0B;M6PR;AP2B1;CHRM2;TAPBP;TFRC;LDLRAP1;CAV1;LDLR;UBC;SLC2A8;CACNG4;SNAP23;UBA52;CAMK2D;STAB2;DNM2;IGF2R;CYBA;SLC11A1;FZD2;B2M;LRP1
prerank,dendrite membrane (GO:0032590),0.5484621493671228,1.6952604195584713,0.00967741935483871,1.0,0.624,9/28,8.06%,MPP2;LAMP5;GABRG1;THY1;KCNC1;GABRG2;SGCE;GRIA1;GABRA2
