Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,regulation of immune response (GO:0050776),0.669007065588668,2.1357921226677927,0.0,0.0,0.0,40/135,9.75%,ITGB7;JAML;ITGA4;FGR;ITGAL;SLAMF7;CD300E;KLRD1;FOXP1;CD300C;CD226;LYN;TREML4;PTPN22;SAMHD1;LILRB1;CD40;SYK;BCL6;PLSCR1;CD300A;DHX58;PILRA;SELL;CD300LG;KLRK1;BIRC3;SPN;ITGB2;IRF4;CD276;DENND1B;TIRAP;AHR;TRAF3;SPPL2A;CLEC2D;ICAM1;CD300LD;IRF7
prerank,positive regulation of immune effector process (GO:0002699),0.7965985985061433,2.0559271902048275,0.0,0.005967180507210343,0.012,6/27,3.26%,CCR2;PTPRC;IL1B;LILRB1;DHX58;ANKRD17
prerank,regulation of T cell mediated cytotoxicity (GO:0001914),0.8785928745121503,2.0461836800853677,0.0,0.00563567047903199,0.017,4/16,1.36%,PTPRC;KLRD1;CYRIB;LILRB1
prerank,interferon-gamma-mediated signaling pathway (GO:0060333),0.7136034990731118,2.0155724341341994,0.0,0.009696668324216808,0.037,17/45,10.86%,CIITA;CD44;SP100;HCK;IFNGR1;OAS2;JAK2;TRIM26;TRIM62;IRF2;STAT1;IRF4;OASL;TRIM25;ICAM1;IRF7;B2M
prerank,positive regulation of antigen receptor-mediated signaling pathway (GO:0050857),0.8254951189818878,1.9885465950648016,0.0,0.01790154152163103,0.078,8/21,2.87%,CARD11;PTPRC;FOXP1;TESPA1;CD226;STAP1;NFAM1;PRKCH
prerank,regulation of B cell proliferation (GO:0030888),0.7042518304993282,1.974273173328317,0.0,0.022211171887949608,0.114,12/44,8.29%,CD74;VAV3;PTPRC;LYN;TNFSF13B;CD40;CD300A;RC3H1;TIRAP;AHR;IKZF3;EPHB2
prerank,regulation of dendritic spine development (GO:0060998),-0.699480606677897,-1.972233667977386,0.0,0.33599749415672076,0.243,6/19,4.57%,TANC2;APOE;MEF2C;NLGN1;CAMK1;KIF1A
prerank,leukocyte cell-cell adhesion (GO:0007159),0.7998212003606251,1.9670755084887925,0.0,0.021879661859771256,0.128,11/24,9.18%,ITGA4;ITGAL;PECAM1;SYK;MSN;CD177;OLR1;ITGB2;F11R;EZR;ICAM1
prerank,innate immune response (GO:0045087),0.5917333385511232,1.9663574856203803,0.0,0.019269020387866733,0.129,49/217,10.86%,CD74;CIITA;FGR;CD300E;KLRD1;IFNLR1;SP100;CYBB;ALPK1;HCK;LYN;KYNU;PLCG2;FYN;PPARG;CD40;SYK;PTX3;TRIM26;MSRB1;DHX58;REL;ANKRD17;SLA;CXCL10;CORO1A;MALT1;POLR3A;SLPI;IKBKB;ZAP70;TRIM62;STYK1;IFIH1;IRAK4;CXCL16;PTK2B;TRIM25;TLR3;CAPZA1;NRROS;IRF7;NCF2;MBL2;CYLD;RNASE6;SETD2;TRIM14;B2M
prerank,immune response-regulating cell surface receptor signaling pathway (GO:0002768),0.9294206956291814,1.9596381619894843,0.0,0.021216641803414555,0.156,5/10,1.74%,BTLA;FGR;LYN;LILRB1;CD40
