Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,desmosome (GO:0030057),-0.7287745311312103,-1.8881648134052818,0.0,0.10707195764936922,0.073,7/15,15.54%,PKP4;KLHL24;JUP;KAZN;JAM3;UBA1;PKP2
prerank,pigment granule (GO:0048770),-0.6266892204370358,-1.8277789087137521,0.0,0.09916323350481354,0.127,8/24,12.13%,HPS4;MFSD12;RAB9A;ITGB3;RAB32;TMEM33;MREG;MYO5A
prerank,actin-based cell projection (GO:0098858),0.6120153367074772,1.8138148423266303,0.0,0.22328669708277069,0.187,15/80,5.26%,LRRK2;MYO1G;CD44;IQGAP2;LCP1;UTRN;MSN;SHTN1;MYO1E;MYO1C;RIPOR2;CLIC4;CDC42;PPP1R9B;SPN
prerank,lamellar body (GO:0042599),0.8206766347944691,1.7707327107497666,0.008488964346349746,0.23339432534577678,0.345,4/12,7.57%,NAPSA;ABCA3;SFTPA1;SFTPA2
prerank,cytoplasmic side of plasma membrane (GO:0009898),0.5925339543931878,1.6833636969235823,0.007782101167315175,0.4811843636721986,0.714,15/52,7.93%,PTPRC;TRAF1;PTPN22;GM2A;RGS2;RASA3;PTPN7;MYH9;IKBKB;CHMP4A;CHMP4B;PPP3CA;PTEN;TRAF3;EZR
prerank,melanosome (GO:0042470),-0.5317798939409892,-1.655785556817382,0.020958083832335328,0.4315324353747305,0.587,8/28,12.13%,HPS4;MFSD12;RAB9A;ITGB3;RAB32;TMEM33;MREG;MYO5A
prerank,proton-transporting V-type ATPase complex (GO:0033176),-0.6366358703152837,-1.6289668741822771,0.021108179419525065,0.41764147117211353,0.67,6/14,12.44%,ATP6V0D2;TCIRG1;ATP6AP1;ATP6V1D;ATP6V0D1;ATP6V0A1
prerank,microvillus (GO:0005902),0.5835037350359711,1.6249834195029311,0.006418485237483954,0.6733058736107005,0.902,8/54,5.26%,LRRK2;MYO1G;CD44;MSN;MYO1E;MYO1C;CLIC4;SPN
prerank,secretory granule membrane (GO:0030667),0.486051505846868,1.624933386740317,0.0,0.53937979912587,0.902,54/247,11.13%,ATP8B4;ITPR1;ITGAL;CD44;PTPRC;IQGAP2;IQGAP1;STK10;CYBB;PHACTR2;CD47;FPR1;PECAM1;RAP1A;LILRB3;MCEMP1;ITGAX;CLEC12A;SLC44A2;ADGRE5;NFAM1;CD36;CD300A;RAB3D;SELL;CD177;TBC1D10C;OLR1;ABCA3;CD93;DIAPH1;RAB7A;PRCP;ITGB2;GLIPR1;RAB6A;AP2A2;CYSTM1;SVIP;NBEAL2;TMED10;PSAP;RAC1;TMEM179B;TSPAN14;RHOA;CPNE1;SLC15A4;MAGT1;STOM;RAB44;TMC6;CCDC136;CYB5R1
prerank,neuromuscular junction (GO:0031594),-0.48725161237345227,-1.6030087434948344,0.013559322033898305,0.41660725339936394,0.751,11/37,12.00%,SYNGR1;SERPINE2;DLG2;DLG4;PSEN2;SPOCK1;CDK5R1;FCHSD2;SNTA1;CDK5;SLC5A7
prerank,cell cortex region (GO:0099738),-0.6772674645120771,-1.602299720035246,0.018823529411764704,0.3496061647490768,0.755,5/11,10.24%,EPB41L2;NUMA1;ANLN;CTSZ;MYL12B
prerank,triglyceride-rich plasma lipoprotein particle (GO:0034385),-0.6719197298475932,-1.582479713932379,0.02610966057441253,0.3050942429611288,0.804,4/11,18.66%,APOE;APOC4;APOC1;PCYOX1
prerank,very-low-density lipoprotein particle (GO:0034361),-0.6719197298475932,-1.582479713932379,0.02610966057441253,0.3050942429611288,0.804,4/11,18.66%,APOE;APOC4;APOC1;PCYOX1
prerank,multivesicular body (GO:0005771),0.5788739745133686,1.574465939780725,0.030095759233926128,0.7326499031851681,0.976,8/42,7.57%,NAPSA;LRRK2;SORL1;CHMP4A;CHMP4B;TSG101;SFTPA1;SFTPA2
