Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,positive regulation of mRNA metabolic process (GO:1903313),-0.7930916204420804,-1.944128403004297,0.0,0.21548988022137514,0.182,11/13,17.66%,CNOT1;CNOT7;PRR5L;PNPT1;MOV10;GTPBP1;NUDT21;CNOT8;ZC3HAV1;UPF1;ZC3H12A
prerank,focal adhesion assembly (GO:0048041),-0.6477369521836734,-1.9252369885283422,0.0,0.14518174133558748,0.247,12/21,16.50%,PIP5K1A;PTPRK;SORBS1;TAOK2;TESK2;ARHGEF7;PEAK1;FERMT2;BCR;RCC2;ACTN1;WHAMM
prerank,membrane repolarization (GO:0086009),-0.7432896414445904,-1.9191238552028314,0.0,0.10409256925947782,0.261,6/15,8.30%,ATP1B3;ATP1B1;ATP1A1;ATP1A2;KCNJ2;KCND3
prerank,regulation of systemic arterial blood pressure by hormone (GO:0001990),0.9377256212139868,1.8721090328264018,0.0,0.2329552630914189,0.168,1/14,0.07%,ACE2
prerank,cellular potassium ion homeostasis (GO:0030007),-0.7594287738256376,-1.864476073271302,0.0,0.16481323466083989,0.46,9/13,23.20%,ATP1B3;ATP1B1;ATP1A1;ATP1A2;KCNJ2;ATP1A3;KCNMA1;SLC12A2;ATP1B2
prerank,blood circulation (GO:0008015),0.7617043411155904,1.799958770631977,0.0011210762331838565,0.9287558515355253,0.712,5/49,4.50%,CXCL12;ACE2;ITGB1BP1;SGCG;MYOF
prerank,neuromuscular junction development (GO:0007528),0.8026766989830145,1.7637916733919214,0.0025412960609911056,1.0,0.923,6/24,7.47%,MUSK;LRRK2;DVL1;PPFIBP2;DCTN1;NEDD4
prerank,regulation of multicellular organism growth (GO:0040014),-0.6684767458762159,-1.7552477788493623,0.0033333333333333335,0.5064012185202316,0.887,10/15,28.09%,APP;GHR;IGF1;PTCH1;PPIB;STAT5B;BBS2;STAT5A;SOD1;MBD5
prerank,sterol transport (GO:0015918),0.8415110272258347,1.7506558677577844,0.0013333333333333333,1.0,0.956,4/19,2.58%,LCAT;CD36;LDLRAP1;OSBP
prerank,development of primary male sexual characteristics (GO:0046546),0.7636565740663377,1.7462075951041118,0.0012165450121654502,1.0,0.966,9/34,11.11%,WNT4;WNT2B;CSDE1;TGFB2;AR;KITLG;MAMLD1;LHFPL2;NR5A1
prerank,neuromuscular process controlling balance (GO:0050885),-0.7114361540854426,-1.7452647556842698,0.0030120481927710845,0.4749603927760677,0.913,7/12,19.47%,PCDH15;NRXN1;CLN3;CDH23;TPP1;MYO7A;TIFAB
prerank,negative regulation of lipid biosynthetic process (GO:0051055),0.8164493170773953,1.7443192998623922,0.002554278416347382,1.0,0.969,4/20,1.78%,BMP5;WNT4;BRCA1;FBXW7
prerank,negative regulation of signaling receptor activity (GO:2000272),0.7847101185294595,1.7394667581589116,0.0025220680958385876,0.992687183135802,0.979,7/25,11.44%,ACE2;TSG101;SOCS4;EPHB2;PPARG;SOCS5;CBL
prerank,regulation of insulin-like growth factor receptor signaling pathway (GO:0043567),0.8575267798391956,1.7359671173361018,0.006858710562414266,0.9279895513279878,0.982,3/16,2.53%,BMP5;IGFBP3;IGFBP2
prerank,positive regulation of calcium ion import (GO:0090280),0.9016551352155343,1.7236400877347278,0.0014367816091954023,1.0,0.99,2/12,5.17%,CXCL12;PDGFB
prerank,epidermis development (GO:0008544),0.7286539469861499,1.7214063566928457,0.0010976948408342481,0.9668665151903936,0.99,2/56,2.36%,POU2F3;FLOT2
prerank,pharyngeal system development (GO:0060037),0.8523923815508581,1.720313769442961,0.007122507122507123,0.8960603760139227,0.993,4/15,4.03%,ISL1;BMP5;TGFB2;BMPR1A
prerank,male gonad development (GO:0008584),0.7501517321575404,1.7150288667202211,0.0035971223021582736,0.8988701434415604,0.995,7/34,6.88%,WNT4;WNT2B;CSDE1;TGFB2;AR;KITLG;MAMLD1
prerank,chemokine-mediated signaling pathway (GO:0070098),0.7363747050434056,1.7128458822459716,0.003444316877152698,0.8620287873099469,0.996,4/42,7.28%,CXCL12;CX3CL1;RBM15;CCL25
prerank,negative regulation of sequestering of calcium ion (GO:0051283),-0.5750831483039796,-1.7109703649119503,0.004366812227074236,0.598858377782284,0.966,8/24,10.71%,PLCG2;RYR2;PTPRC;ITPR2;ITPR1;IBTK;ERO1A;FGF2
prerank,positive regulation of positive chemotaxis (GO:0050927),0.843786313845734,1.7075168824511417,0.004285714285714286,0.8708819406234027,0.997,3/15,3.19%,CXCL12;IL16;VEGFC
prerank,positive regulation of smoothened signaling pathway (GO:0045880),0.7975936169289177,1.7041031553778085,0.008951406649616368,0.8590055037561064,0.997,1/21,0.03%,EVC
prerank,sensory perception of chemical stimulus (GO:0007606),0.8231561005317672,1.700429941881299,0.01092896174863388,0.8538500062487286,0.997,4/15,3.53%,C5AR1;CD36;ADCY3;BBS4
prerank,mesonephric tubule development (GO:0072164),-0.6538091285248622,-1.6882870258198293,0.006493506493506494,0.6732917391026969,0.986,5/15,9.42%,SLIT2;SALL1;FGFR2;PKD1;NPNT
prerank,fibroblast growth factor receptor signaling pathway (GO:0008543),0.6931073715359092,1.68734406935072,0.0010626992561105207,0.9691443801210345,0.998,19/72,14.08%,FGF22;FGF18;POLR2D;HNRNPM;FGF1;GRB2;POLR2A;MAPK1;SPRED2;FLRT2;GALNT3;KIF16B;SETX;CBL;GTF2F2;FRS2;SPRED1;HNRNPH1;SHOC2
prerank,negative regulation of proteolysis involved in cellular protein catabolic process (GO:1903051),-0.5466323137291922,-1.6864956142999967,0.0,0.6094386584226933,0.987,16/25,28.94%,CSNK2A1;TAF1;CSNK2A2;RPL5;PML;EPHA4;RPL11;RPL23;PSME3IP1;RPS7;SGTA;PSMF1;GABARAPL2;TRIM39;PRKCG;PDCL3
prerank,negative regulation by host of viral transcription (GO:0043922),0.8724271129831691,1.6859142215090785,0.0106544901065449,0.934886253195826,0.998,4/12,4.24%,POU2F3;TFAP4;TARDBP;JUN
prerank,postsynaptic membrane organization (GO:0001941),0.8168193676315909,1.6837758872864554,0.009296148738379814,0.9123543383215635,0.999,1/17,0.01%,MUSK
prerank,positive regulation of calcium ion transport (GO:0051928),0.7388695960475905,1.6803906920138039,0.003472222222222222,0.906533145516936,1.0,4/36,5.17%,CXCL12;WFS1;CACNA1D;PDGFB
prerank,modulation by host of symbiont process (GO:0051851),0.7530565504690786,1.679836512030138,0.011083743842364532,0.8694953021526206,1.0,8/31,7.41%,POU2F3;SMARCA4;SP1;TFAP4;TARDBP;JUN;EP300;RRP1B
prerank,high-density lipoprotein particle remodeling (GO:0034375),0.8318893406398685,1.6773451957658168,0.0070921985815602835,0.8582097900052491,1.0,1/15,0.08%,LCAT
prerank,regulation of blood circulation (GO:1903522),0.7343762888900393,1.6772055828070862,0.010428736964078795,0.8223622864890058,1.0,3/34,8.39%,ACE2;TPM1;CAMK2D
prerank,calcium ion transmembrane import into cytosol (GO:0097553),-0.489761510983983,-1.6746136248761962,0.0,0.6162462718703647,0.991,10/41,10.71%,PLCG2;RYR2;CACNA2D1;PTPRC;GRIN2B;ITPR2;ITPR1;IBTK;ERO1A;FGF2
prerank,motor neuron axon guidance (GO:0008045),-0.6354437319318711,-1.6739379597440422,0.014598540145985401,0.5639592627981597,0.991,10/15,28.73%,SLIT2;RAC1;TMEFF1;CHN1;EPHA4;SEMA3A;SLIT1;RHOH;RHOG;RAC2
prerank,neuron fate commitment (GO:0048663),0.8438479175161242,1.6715324884575404,0.008571428571428572,0.8559147595857048,1.0,1/14,0.09%,ISL1
prerank,positive regulation of osteoclast differentiation (GO:0045672),-0.6672984467453877,-1.6679367624128256,0.0033222591362126247,0.5505188147604693,0.995,4/14,12.90%,CSF1;TYROBP;ATP6AP1;TRAF6
prerank,vascular process in circulatory system (GO:0003018),0.8435806658388885,1.6669931091265242,0.01272984441301273,0.8356602006813466,1.0,2/13,3.16%,ACE2;ITGB1BP1
prerank,regulation of tube diameter (GO:0035296),0.8435806658388885,1.6669931091265242,0.01272984441301273,0.8356602006813466,1.0,2/13,3.16%,ACE2;ITGB1BP1
prerank,cholesterol homeostasis (GO:0042632),0.6906210807140867,1.6657613184474587,0.002129925452609159,0.8175760979678535,1.0,11/64,9.50%,LCAT;RORA;INSIG1;LDLRAP1;EHD1;SOAT1;HDAC9;LRP5;TTC39B;IL18;ABCG1
prerank,positive regulation of monocyte chemotaxis (GO:0090026),0.8138746693305412,1.664969001133645,0.01226158038147139,0.7967697634086985,1.0,2/17,1.05%,CXCL12;PLA2G7
prerank,regulation of intrinsic apoptotic signaling pathway in response to DNA damage (GO:1902229),0.8172917789676137,1.6648427469431533,0.011019283746556474,0.7703871419777626,1.0,1/16,0.05%,CXCL12
prerank,fat-soluble vitamin metabolic process (GO:0006775),0.7688542118589332,1.6633724628238724,0.006377551020408163,0.7592161878412149,1.0,2/22,4.00%,ALDH1A2;VKORC1L1
prerank,regulation of transmembrane transport (GO:0034762),0.7396835231209468,1.6621071913808347,0.008464328899637243,0.7475794110695477,1.0,4/31,7.47%,ACE2;KCNJ6;PRKCB;NEDD4
prerank,regulation of cytoplasmic translation (GO:2000765),-0.6568713421204062,-1.6610262594251162,0.018726591760299626,0.5439925431272981,0.997,5/14,6.15%,CPEB3;DHX9;PKM;CPEB4;FMR1
prerank,cellular response to fibroblast growth factor stimulus (GO:0044344),0.6764843476128845,1.6580838523600137,0.0020768431983385254,0.7633307942333541,1.0,22/87,14.08%,FGF22;FGF18;POLR2D;HNRNPM;FGF1;GRB2;ITGB1BP1;POLR2A;MAPK1;SPRED2;FLRT2;GALNT3;KIF16B;CD44;SETX;CBL;GTF2F2;FRS2;ZFP36L1;SPRED1;HNRNPH1;SHOC2
prerank,negative regulation of leukocyte apoptotic process (GO:2000107),0.8569123775870024,1.6527396419442681,0.010574018126888218,0.7915029699187974,1.0,3/11,6.15%,CXCL12;GAS6;AXL
prerank,mesenchyme morphogenesis (GO:0072132),0.7822043873907325,1.6501302371140123,0.015047879616963064,0.7948786976304336,1.0,4/17,6.38%,ISL1;TGFB2;BMPR1A;ACVR1
prerank,cholesterol transport (GO:0030301),0.7003882614799558,1.6492476525577493,0.003374578177727784,0.7801665922453848,1.0,14/45,14.69%,LCAT;CD36;LDLRAP1;OSBP;VPS4A;SOAT1;CEL;ABCA7;STARD5;ABCG1;RELCH;ABCA1;LIMA1;ABCA5
prerank,blood vessel diameter maintenance (GO:0097746),0.7301434087332322,1.6481312682412104,0.009259259259259259,0.7693086453893764,1.0,2/34,3.16%,ACE2;ITGB1BP1
prerank,antibacterial humoral response (GO:0019731),0.8050814368702581,1.6479674583316468,0.009735744089012517,0.749759168823508,1.0,3/16,4.23%,ANG;RNASE6;PLA2G6
prerank,endocardial cushion morphogenesis (GO:0003203),0.7780678361791941,1.646338961577803,0.013850415512465374,0.7451664544454737,1.0,4/18,6.38%,ISL1;TGFB2;BMPR1A;ACVR1
prerank,positive regulation of vascular endothelial growth factor production (GO:0010575),0.7510683353469261,1.6461882063704312,0.010025062656641603,0.7272647439741102,1.0,3/24,0.58%,ISL1;BRCA1;RORA
prerank,sterol homeostasis (GO:0055092),0.6808876112069415,1.6457531550566162,0.0021253985122210413,0.7132466898357117,1.0,16/65,15.44%,LCAT;RORA;INSIG1;LDLRAP1;EHD1;SOAT1;HDAC9;LRP5;TTC39B;IL18;ABCG1;ABCA1;ABCD1;LIMA1;ABCA5;GRAMD1B
prerank,reverse cholesterol transport (GO:0043691),0.825898282611367,1.645470275699444,0.010071942446043165,0.6981430996476359,1.0,1/13,0.08%,LCAT
prerank,regulation of steroid biosynthetic process (GO:0050810),0.8463447418249852,1.6443688601566133,0.01188707280832095,0.6909838442824419,1.0,2/11,0.22%,BMP5;WNT4
prerank,pancreas development (GO:0031016),0.8291542617323253,1.6438465320046831,0.01951951951951952,0.6792627607093423,1.0,1/12,0.09%,ISL1
prerank,receptor clustering (GO:0043113),0.7514665759270672,1.6424531887425209,0.006097560975609756,0.6738333158280296,1.0,6/27,7.48%,MUSK;DVL1;ITGB1BP1;FLNA;ITGA4;DLG1
prerank,gonad development (GO:0008406),0.7055586602723387,1.6402951612825662,0.00922722029988466,0.6758200200697938,1.0,7/41,6.88%,WNT4;WNT2B;CSDE1;TGFB2;AR;KITLG;MAMLD1
prerank,negative regulation of heart contraction (GO:0045822),-0.701731343329451,-1.6400580563695524,0.0058309037900874635,0.6211639283378865,1.0,7/11,22.21%,PDE4D;PIK3CG;GRK2;ATP1A2;ZC3H12A;SRI;SPTBN4
