Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,gap junction channel activity (GO:0005243),0.8959303688817084,1.9265858625305194,0.0,0.0029658949592625064,0.003,2/22,0.29%,GJC1;GJD3
prerank,wide pore channel activity (GO:0022829),0.8912143945368395,1.9244249672305174,0.0,0.001977263306175004,0.004,2/23,0.29%,GJC1;GJD3
prerank,fibroblast growth factor receptor binding (GO:0005104),0.8817250041719267,1.8889534439886955,0.0,0.003624982727987508,0.01,3/21,2.34%,FGF22;FGF18;FGF1
prerank,CXCR chemokine receptor binding (GO:0045236),0.9512542665943216,1.8212514147860994,0.0,0.0415225294296751,0.128,1/11,0.05%,CXCL12
prerank,cytokine activity (GO:0005125),0.7248322284472066,1.8177606563195716,0.0,0.03776572914794258,0.148,13/131,8.68%,CXCL12;BMP5;WNT4;FAM3C;WNT2B;CX3CL1;IL16;TGFB2;KITLG;IL1A;CCL25;SLURP1;IL18
prerank,growth factor activity (GO:0008083),0.7355820401589886,1.7963498814648151,0.0,0.05585768839944387,0.235,8/74,8.15%,FGF22;FGF18;FGF1;VEGFC;AREG;PDGFB;NRG3;ARTN
prerank,polynucleotide adenylyltransferase activity (GO:0004652),-0.7346061126314927,-1.7939355029010615,0.0031645569620253164,0.36383588702486935,0.276,6/12,13.97%,TENT2;TENT4B;MTPAP;TENT5A;TENT4A;PAPOLG
prerank,chemokine receptor binding (GO:0042379),0.788273144482229,1.772765022791428,0.0023837902264600714,0.08473985597892875,0.373,2/35,1.82%,CXCL12;CX3CL1
prerank,chemokine activity (GO:0008009),0.7955446564282131,1.7699838155411176,0.0012121212121212121,0.07847263746382048,0.392,2/31,1.82%,CXCL12;CX3CL1
prerank,metallocarboxypeptidase activity (GO:0004181),0.7932041367714914,1.711958813153415,0.0012391573729863693,0.22178303417596298,0.791,5/26,5.39%,ACE2;VASH2;CPD;CPE;FOLH1
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),0.8574891217051759,1.7003187941280322,0.004310344827586207,0.239446586377793,0.847,1/13,0.10%,BMP5
prerank,triglyceride lipase activity (GO:0004806),0.7856335651211229,1.6886162765547714,0.014360313315926894,0.26045950278614377,0.889,3/20,6.94%,LCAT;LIPE;CEL
prerank,BMP receptor binding (GO:0070700),0.857489180826139,1.682838645768721,0.0043541364296081275,0.25704422980275055,0.906,1/12,0.10%,BMP5
prerank,carbohydrate:cation symporter activity (GO:0005402),-0.7011496878000083,-1.6747216895224755,0.009036144578313253,0.6963964829014692,0.71,3/11,15.95%,SLC17A5;SLC2A9;SLC5A3
prerank,O-acyltransferase activity (GO:0008374),0.7391904786014071,1.6587671663225583,0.006105006105006105,0.330811360840818,0.963,5/30,8.02%,LCAT;MOGAT3;SOAT1;GPAM;PLA2G4A
prerank,transmembrane receptor protein tyrosine kinase activity (GO:0004714),0.6880600104849803,1.6524705626529101,0.00437636761487965,0.3303442052245239,0.969,8/60,6.15%,MUSK;ROR2;DDR1;DDR2;EPHB2;NRP1;CRIM1;AXL
prerank,intracellular chloride channel activity (GO:0061778),-0.6164809869045986,-1.635852390553886,0.007042253521126761,0.5139572845365633,0.842,5/16,10.85%,ANO6;TTYH2;ANO3;ANO10;TTYH3
prerank,intracellular calcium activated chloride channel activity (GO:0005229),-0.6164809869045986,-1.635852390553886,0.007042253521126761,0.5139572845365633,0.842,5/16,10.85%,ANO6;TTYH2;ANO3;ANO10;TTYH3
prerank,aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),0.7938459863934799,1.633874137221179,0.01747311827956989,0.38886178354775086,0.987,4/15,6.67%,ALDH1A2;ALDH1L1;ALDH1A1;ALDH7A1
prerank,transmembrane receptor protein kinase activity (GO:0019199),0.6679529631692056,1.6191396452951297,0.009750812567713976,0.42776855839529854,0.996,7/60,6.38%,MUSK;ROR2;DDR1;DDR2;EPHB2;AXL;ACVR1
prerank,receptor ligand activity (GO:0048018),0.6426985277969409,1.6186393066512896,0.0,0.4047574297346479,0.996,23/245,8.68%,FGF22;FGF18;BMP5;WNT4;FAM3C;WNT2B;CX3CL1;DAND5;FGF1;IL16;VEGFC;TGFB2;GAS6;AREG;PDGFB;KITLG;SEMA6D;IL1A;NRG3;CCL25;ARTN;SLURP1;IL18
prerank,frizzled binding (GO:0005109),0.7056606936712027,1.617099443972406,0.01800720288115246,0.38864208762484254,0.996,4/34,6.24%,WNT4;WNT2B;DVL1;SDCBP
prerank,DNA polymerase activity (GO:0034061),0.7386870748747095,1.6165194205471707,0.023106546854942234,0.3704246704384173,0.996,6/22,6.74%,POLG;POLE4;POLE2;POLA1;POLD3;POLB
prerank,tropomyosin binding (GO:0005523),0.7891169427283964,1.6111317062649628,0.013831258644536652,0.3725164068833708,0.998,4/16,4.80%,NEBL;TMOD1;S100A6;TMOD3
prerank,DNA-directed DNA polymerase activity (GO:0003887),0.7416002474527782,1.6090285983357244,0.020752269779507133,0.36259242819428295,0.998,6/21,6.74%,POLG;POLE4;POLE2;POLA1;POLD3;POLB
prerank,serine-type peptidase activity (GO:0008236),0.6474479940613314,1.607627173621643,0.001026694045174538,0.3506496722291718,0.998,3/96,1.02%,GZMK;TYSND1;CD5L
prerank,poly(A)-specific ribonuclease activity (GO:0004535),-0.6619408614785582,-1.6064152673924295,0.012269938650306749,0.5373095019272712,0.909,7/12,21.71%,CNOT2;CNOT1;CNOT7;PAN2;CNOT6L;CNOT8;NOCT
prerank,carboxypeptidase activity (GO:0004180),0.7168898026354913,1.5995252550302765,0.00936768149882904,0.3676420229938002,0.999,8/35,11.60%,ACE2;VASH2;CPD;CPE;FOLH1;AGBL3;CTSZ;MINDY2
prerank,sodium channel regulator activity (GO:0017080),0.690058273843051,1.5990699452916588,0.018648018648018648,0.35331223702214615,0.999,6/37,9.16%,SGK3;SGK2;NEDD4;GPD1L;CAMK2D;PTPN3
prerank,aldehyde dehydrogenase (NAD+) activity (GO:0004029),0.7934014600470443,1.5814203217832072,0.01977401129943503,0.4060507925560989,1.0,4/13,6.67%,ALDH1A2;ALDH1L1;ALDH1A1;ALDH7A1
prerank,growth factor receptor binding (GO:0070851),0.6396206859544515,1.5750000542500808,0.0,0.4150731971193528,1.0,18/95,12.68%,FGF22;FGF18;GLMN;FGF1;GRB2;VEGFC;AREG;PDGFB;PTPRJ;SDCBP;IL1RAP;CNOT9;ATXN2;SNX1;FRS2;ERN1;ERAP1;TGFA
prerank,DNA-directed 5'-3' RNA polymerase activity (GO:0003899),0.7123486270971081,1.5744237005236703,0.027227722772277228,0.4020069229350995,1.0,8/27,10.15%,POLR2D;POLR1C;POLR1D;POLR3H;POLR2A;POLR1A;CRCP;POLR3A
prerank,phosphatidate phosphatase activity (GO:0008195),-0.6392016931579101,-1.5645493082830384,0.03939393939393939,0.6456610105942763,0.959,7/13,17.68%,PLPPR1;LPIN2;LPIN1;PLPPR4;PLPP3;PLPPR5;PLPP4
prerank,death receptor activity (GO:0005035),0.8117354635999701,1.5633726035858522,0.03172205438066465,0.429454528446546,1.0,2/11,3.43%,TNFRSF11A;TNFRSF25
prerank,G protein-coupled receptor binding (GO:0001664),0.6160116018744439,1.5547727838408605,0.00101010101010101,0.44631605524901996,1.0,21/132,13.76%,CXCL12;WNT4;S1PR1;WNT2B;DVL1;HOMER2;FLNA;ARHGEF12;REEP2;ARRB2;SDCBP;PSMC5;USP33;CCL25;USP20;GNAQ;TULP3;GNAI3;LRP6;PDCD6IP;BICD1
prerank,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor (GO:0016620)",0.7450178321634312,1.5465557176777114,0.033602150537634407,0.4627784768102598,1.0,5/18,6.51%,ALDH1A2;ALDH6A1;AKR1B1;FAR1;ALDH1A1
prerank,voltage-gated anion channel activity (GO:0008308),-0.6037968758730689,-1.5443669435608502,0.027237354085603113,0.6569300440715099,0.975,9/15,15.85%,ANO6;VDAC2;VDAC1;CLCN4;CLCN6;VDAC3;CLCN3;GPR89B;GPR89A
prerank,solute:anion antiporter activity (GO:0140323),0.7876242043671777,1.5385052822828262,0.03428571428571429,0.4799328305585103,1.0,3/14,6.52%,SLC4A3;SLC7A11;SLC26A11
prerank,ubiquitin-like protein conjugating enzyme binding (GO:0044390),-0.47303670833539313,-1.536943646252221,0.03680981595092025,0.6073922168420186,0.982,17/33,20.11%,PRKN;TCERG1;ARIH2;DCUN1D1;SIAH1;RNF19A;RNF14;RNF185;RNF217;ANKIB1;TRAF6;DCUN1D3;RNF180;RNF144A;AUP1;RPS3;TOLLIP
prerank,cytochrome-c oxidase activity (GO:0004129),-0.6132196887002553,-1.5359689161588161,0.04044117647058824,0.5440742315682303,0.982,10/15,29.65%,CYB5A;COX10;COX7A2L;COX6B1;COX8A;NDUFA4;COX4I1;COX6A1;COX5A;COX15
prerank,5'-3' RNA polymerase activity (GO:0034062),0.6952320547449432,1.5337817695279863,0.038366336633663366,0.4848002468827839,1.0,8/27,10.15%,POLR2D;POLR1C;POLR1D;POLR3H;POLR2A;POLR1A;CRCP;POLR3A
prerank,retinoid binding (GO:0005501),0.7265824208041463,1.532514984256462,0.04046997389033943,0.47502253004107375,1.0,1/22,0.31%,ALDH1A2
