Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,condensed chromosome (GO:0000793),0.8672298618322434,2.025164398994919,0.0,0.0,0.0,22/54,5.09%,MKI67;CENPE;NCAPG;CENPA;RAD51;NCAPD2;AURKB;HMGB2;FANCD2;INCENP;SMC2;SUV39H1;NCAPD3;RCC1;SMARCA5;RGS12;SGO1;SMC6;LIG4;CHAMP1;CTCF;CHEK1
prerank,spindle microtubule (GO:0005876),0.8380153565104828,1.9653164391687306,0.0,0.0,0.0,17/60,3.91%,KIF11;CENPE;PRC1;KIF18B;KIF4A;CDK1;SKA3;BIRC5;AURKB;SKA1;KNTC1;SKA2;KIF18A;PLK1;AURKA;HAUS5;HAUS6
prerank,mitotic spindle (GO:0072686),0.8222970650095214,1.9625192395020767,0.0,0.0,0.0,35/116,5.95%,KIF11;NUSAP1;KIF23;TPX2;KIF18B;CKAP2L;KIFC1;CDK1;KIF22;SKA3;KNSTRN;ECT2;SKA1;TACC3;MAD2L1;FAM83D;RACGAP1;KIF18A;SPAG5;CCSAP;ESPL1;MAPK1;PHLPP2;PYCR3;MAD1L1;NIN;HAUS5;HAUS6;CDC27;EPB41;MAP4;CEP295;HEPACAM2;IKBKG;CLASP1
prerank,spindle (GO:0005819),0.8152764624291632,1.9604400248451976,0.0,0.0,0.0,44/180,4.45%,KIF11;CENPF;NUSAP1;KIF23;TPX2;PRC1;KIF4A;BUB1B;TTK;CKAP2L;KIFC1;CDK1;KIF22;SKA3;BIRC5;KNSTRN;AURKB;ECT2;SKA1;TACC3;MAD2L1;KIF2C;FAM83D;RACGAP1;SKA2;CDC20;KIF20A;INCENP;SPAG5;CCSAP;PLK1;ESPL1;MAPK1;PHLPP2;PYCR3;AURKA;FBXO5;MAD1L1;NIN;CHAMP1;HASPIN;NEDD9;CDC27;EPB41
prerank,chromosome (GO:0005694),0.7769306615308382,1.8723446430309334,0.0,0.004270328486806678,0.023,38/152,7.38%,TOP2A;MKI67;CENPE;NCAPG;RAD51AP1;RAD51;BIRC5;NCAPD2;CDCA2;ESCO2;HMGB2;FANCD2;CENPH;INCENP;SMC2;RAD1;BRCA1;RAD21;TRIP13;POLR1B;BLM;RCC1;SMARCA5;NOL7;TOPBP1;SMC6;LIG4;CHAMP1;DDX18;CTCF;IK;EXOSC8;TEX11;SETX;STAG1;CCDC137;HMGB1;H3-3A
prerank,"condensed chromosome, centromeric region (GO:0000779)",0.9571639060617412,1.8507034407190603,0.0,0.007390953150242327,0.046,6/10,2.94%,CENPE;CENPA;NCAPD2;AURKB;NCAPD3;SGO1
prerank,microtubule (GO:0005874),0.7682202717805411,1.8492922349962186,0.0,0.006452419416878221,0.047,23/171,1.57%,KIF11;CENPE;KIF23;TPX2;KIF15;PRC1;KIF20B;KIF18B;KIF4A;KIF14;KIFC1;CDK1;KIF22;SKA3;BIRC5;AURKB;SKA1;KIF2C;SKA2;KIF18A;KIF20A;PLK1;CDK5RAP2
prerank,acrosomal vesicle (GO:0001669),0.8089209249331889,1.8344686506378538,0.0,0.009649299946149704,0.072,5/39,8.09%,KNL1;DPEP3;VDAC2;ZPBP;PRKACA
prerank,cyclin-dependent protein kinase holoenzyme complex (GO:0000307),0.8417945146883856,1.8303030517014847,0.0,0.009398372524382219,0.08,8/28,2.55%,CCNF;CDK1;CCNB2;CKS2;CCNB1;CCNA2;CCNE1;CCNE2
prerank,neuromuscular junction (GO:0031594),-0.49787142227944053,-1.8079514578086309,0.0,0.4223549488054607,0.162,19/37,19.77%,SYNGR1;SPOCK1;ANK3;SERPINE2;PSEN2;SLC8A3;DLG2;SNTA1;PDZRN3;CDK5R1;TBC1D24;CDK5;UNC13A;SLC5A7;ASCC1;DLG1;DLG4;SYNGR2;TRIP4
prerank,serine/threonine protein kinase complex (GO:1902554),0.7950073177929893,1.7880039512608834,0.002242152466367713,0.022911954765751214,0.199,8/35,2.55%,CCNF;CDK1;CCNB2;CKS2;CCNB1;CCNA2;CCNE1;CCNE2
prerank,microtubule cytoskeleton (GO:0015630),0.727863922351068,1.7679327662366284,0.0,0.03150487100406325,0.287,55/299,7.09%,KIF11;CENPF;CENPE;KIF23;TPX2;KIF15;HMMR;PRC1;KIF20B;KIF18B;BUB1B;KIF14;TTK;CKAP2;KIFC1;KIF22;AURKB;GTSE1;SKA1;KIF2C;CCNB2;FAM83D;RACGAP1;KIF18A;CDC20;CKAP5;KIF20A;INCENP;CCSAP;PLK1;CDK5RAP2;AURKA;FBXO5;MAD1L1;TUBA1C;GAS2L3;CHAMP1;HASPIN;CRHBP;NEDD9;CDC27;TUBB4B;MAP4;TUBGCP4;CCT7;HEPACAM2;CLASP1;DISC1;CSPP1;TUBA1B;JAKMIP1;HDAC6;ANAPC7;CCT2;TCP1
prerank,vacuolar proton-transporting V-type ATPase complex (GO:0016471),-0.6239455684645036,-1.7421333992789154,0.0045871559633027525,0.39035836177474403,0.272,11/18,19.12%,ATP6V1B2;ATP6V1C1;ATP6V0D2;ATP6V0A1;TCIRG1;ATP6V1A;ATP6V1H;ATP6AP2;TMEM199;ATP6V1F;ATP6V1G2
prerank,nuclear chromosome (GO:0000228),0.7380186269296041,1.7400919071502337,0.0,0.04701467420570813,0.42,20/78,7.38%,TOP2A;RAD51;BIRC5;NCAPD2;SMC2;SUV39H1;GINS1;BLM;RCC1;SMCHD1;RGS12;MCM6;TFPT;BRD8;IK;ACTR5;CHEK1;SETX;BRD4;H3-3A
prerank,integral component of vacuolar membrane (GO:0031166),-0.6945764227078961,-1.7054111980442892,0.011320754716981131,0.35409556313993173,0.346,6/11,20.16%,TMEM175;SLC46A3;LAMP2;NPC1;LRRC8A;ATP10B
prerank,anaphase-promoting complex (GO:0005680),0.7869025865122279,1.6724008940549884,0.008717310087173101,0.12457230437844333,0.782,5/19,6.91%,BUB1B;UBE2C;CDC23;CDC27;ANAPC7
prerank,high-density lipoprotein particle (GO:0034364),-0.5978485651014506,-1.6367108243429271,0.03211009174311927,0.4975469283276451,0.548,3/14,5.04%,APOE;PLA2G7;PLTP
prerank,axonal growth cone (GO:0044295),-0.6224734366738761,-1.6275031475104733,0.024475524475524476,0.42875426621160406,0.578,6/13,22.28%,KIF5C;HSP90AA1;MYO9A;FKBP4;L1CAM;FLRT3
prerank,intrinsic component of nuclear inner membrane (GO:0031229),0.8188704294985052,1.5945500631910554,0.029931972789115645,0.26049003769520734,0.974,2/12,1.38%,LBR;P2RX1
prerank,integral component of nuclear inner membrane (GO:0005639),0.8188704294985052,1.5945500631910554,0.029931972789115645,0.26049003769520734,0.974,2/12,1.38%,LBR;P2RX1
prerank,integral component of lysosomal membrane (GO:1905103),-0.6737810045783427,-1.5865294367303497,0.02127659574468085,0.4938139931740615,0.683,5/10,20.16%,TMEM175;SLC46A3;NPC1;LRRC8A;ATP10B
prerank,condensed nuclear chromosome (GO:0000794),0.7481246012408627,1.585552085058125,0.030379746835443037,0.2663309437264405,0.981,10/20,15.46%,RAD51;SUV39H1;RCC1;RGS12;CHEK1;BRD4;NIFK;P3H4;RAD50;KIFAP3
