Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,microtubule motor activity (GO:0003777),0.9238289465822521,2.143391545087936,0.0,0.0,0.0,15/51,1.19%,KIF11;CENPE;KIF23;KIF15;KIF20B;KIF18B;KIF4A;KIF14;KIFC1;KIF22;KIF2C;DNAH8;KIF24;KIF18A;KIF20A
prerank,motor activity (GO:0003774),0.9033373347515348,2.123522722747455,0.0,0.0,0.0,15/60,1.19%,KIF11;CENPE;KIF23;KIF15;KIF20B;KIF18B;KIF4A;KIF14;KIFC1;KIF22;KIF2C;DNAH8;KIF24;KIF18A;KIF20A
prerank,DNA secondary structure binding (GO:0000217),0.8721846021067832,1.9454871230324249,0.0,0.00031205961680245633,0.001,17/31,8.32%,NEIL3;RAD51AP1;GEN1;CLSPN;HMGB2;MEN1;HMGA1;BLM;RAD51B;RAD51C;HMGB3;MSH6;RBBP8;XRCC3;LIN54;HMGB1;RAD18
prerank,four-way junction DNA binding (GO:0000400),0.874696603390278,1.8170043977930674,0.0013054830287206266,0.08800081193829269,0.251,10/17,7.33%,GEN1;HMGB2;MEN1;BLM;RAD51B;RAD51C;HMGB3;MSH6;XRCC3;HMGB1
prerank,microtubule binding (GO:0008017),0.7459002101053123,1.8156231244224157,0.0,0.07208577148136742,0.256,48/222,6.11%,CENPE;NUSAP1;KIF23;TPX2;KIF15;DLGAP5;PRC1;KIF20B;KIF18B;KIF14;KIFC1;KIF22;BIRC5;KNSTRN;GTSE1;SKA1;KIF2C;FAM83D;RACGAP1;SKA2;KIF18A;CKAP5;KIF20A;SPAG5;CCSAP;PLK1;CDK5RAP2;TUBGCP6;UXT;CCDC88A;NDE1;REEP4;CCDC69;CEP44;EZR;SUN2;GAS2L3;CEP57L1;HAUS6;FBXW11;S100A9;ABRAXAS1;MAP4;CEP295;TUBGCP4;S100A8;CLASP1;CCDC88C
prerank,damaged DNA binding (GO:0003684),0.7881348170439693,1.7989161214046976,0.001088139281828074,0.09096537829791602,0.362,18/44,9.43%,NEIL3;POLQ;HMGB2;RAD1;ERCC4;RPA2;XRCC1;SMC6;POLD1;RBBP8;FEN1;PCNA;DCLRE1C;DCLRE1B;HMGB1;RAD18;RPA1;ERCC3
prerank,transforming growth factor beta-activated receptor activity (GO:0005024),-0.6860285122525575,-1.787555424797174,0.012658227848101266,0.8248443879258416,0.433,9/12,17.60%,ACVR1;TGFBR1;BMPR2;LTBP1;BMPR1B;ENG;TGFBR3;ACVRL1;TGFBR2
prerank,single-stranded DNA binding (GO:0003697),0.738144304546284,1.7470680870548165,0.0,0.20702926577580102,0.693,39/93,14.58%,NEIL3;RAD51AP1;RAD51;MCM10;HMGB2;ERCC4;CDC45;RPA2;RADX;POLA1;BLM;BRCA2;RAD51B;DDX11;SMC6;MCM6;NUCKS1;MCM9;PMS2;RBBP8;HMGB1;TDP2;NABP2;RPA1;LONP1;PCBP2;PARK7;RAD23A;RTF1;FAM111A;DHX9;CTC1;TOP3A;TDP1;HNRNPU;REXO4;APTX;RAD52;RPA3
prerank,"DNA binding, bending (GO:0008301)",0.8905349330511797,1.7438297181384335,0.0053475935828877,0.19215070904611248,0.714,4/14,3.80%,TOP2A;HMGB2;LEF1;HMGB3
prerank,BMP binding (GO:0036122),-0.6791834919276558,-1.725320832793807,0.02527075812274368,0.7752493139682752,0.642,3/11,12.54%,BMPR2;ENG;GREM2
