Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Alpha Response,0.8615367465851638,2.5720123315530747,0.0,0.0,0.0,44/90,4.05%,PARP14;IFIT3;DDX60;RSAD2;HERC6;USP18;STAT2;CXCL10;GBP4;SAMD9L;TRAFD1;OASL;EIF2AK2;IRF7;PARP12;IFIH1;LGALS3BP;EPSTI1;HELZ2;PARP9;ISG15;TRIM14;MOV10;IL15;SP110;IFIT2;BST2;UBE2L6;DHX58;IFI35;LAP3;PSME2;PNPT1;TRIM25;B2M;ADAR;NMI;TDRD7;TRIM21;RTP4;GBP2;TMEM140;CD47;MVB12A
prerank,Interferon Gamma Response,0.8105420652920905,2.536388627065302,0.0,0.0,0.0,69/184,3.52%,RNF213;PARP14;IFIT3;DDX60;RSAD2;HERC6;OAS3;USP18;STAT1;ZBP1;STAT2;CXCL10;GBP4;SAMD9L;TRAFD1;OASL;NLRC5;EIF2AK2;IRF7;PARP12;OAS2;CD69;IFIH1;LGALS3BP;SAMHD1;ZNFX1;CD274;EPSTI1;HELZ2;IFIT1;ISG15;CXCL9;TNFSF10;NAMPT;PML;TRIM14;IL15;CASP4;SP110;ISOC1;XAF1;CASP7;IFIT2;PSMB10;BST2;CCL7;UBE2L6;IL15RA;DHX58;IFI35;NOD1;SPPL2A;LAP3;PSME2;SOCS1;PNPT1;TRIM25;B2M;ADAR;CD40;SOD2;STAT3;NMI;ARID5B;LCP2;RBCK1;TDRD7;TRIM21;RTP4
prerank,Inflammatory Response,0.562541072152119,1.7525326363555824,0.0,0.003282764786410751,0.01,44/194,10.24%,CXCL10;EIF2AK2;IRF7;AXL;CD69;CXCL9;TNFSF10;NAMPT;IL15;NOD2;ABCA1;BST2;CCL7;SLAMF1;ICOSLG;TNFSF9;IL15RA;SEMA4D;CD40;CD55;NMI;LCP2;RTP4;MMP14;CYBB;PTGER4;CCL5;TACR1;TAPBP;CX3CL1;GNA15;NFKB1;LY6E;ITGB8;CSF1;IL10RA;SLC11A2;CD48;MET;LYN;P2RX4;PDPN;C3AR1;GCH1
prerank,TNF-alpha Signaling via NF-kB,0.49758569561733995,1.5586090670434227,0.0,0.04456353197552594,0.17,70/192,21.46%,CXCL10;CD69;IFIH1;NAMPT;IFIT2;ABCA1;ICOSLG;TNFSF9;IL15RA;CCNL1;BIRC2;ZFP36;NFKB2;SOD2;RCAN1;SDC4;SAT1;MAP3K8;PTGER4;SLC2A6;BHLHE40;CCL5;PMEPA1;JUNB;TNC;CCND1;CFLAR;NFKB1;BCL6;MAP2K3;CSF1;SPSB1;B4GALT1;DNAJB4;ACKR3;RNF19B;B4GALT5;TNIP1;GCH1;ZC3H12A;PHLDA1;PANX1;SIK1;IER5;KLF10;RELB;REL;PNRC1;BIRC3;IRS2;TNIP2;SLC16A6;TLR2;TIPARP;IL18;IER2;LDLR;FOSL2;PDE4B;TANK;TAP1;RIPK2;IFNGR2;PER1;PLAUR;CCL4;MCL1;GADD45A;LITAF;F3
prerank,IL-6/JAK/STAT3 Signaling,0.5041051132606856,1.4777503557872054,0.016129032258064516,0.08469533148939735,0.353,9/82,3.59%,STAT1;STAT2;CXCL10;CXCL9;CCL7;IL15RA;SOCS1;STAT3;MAP3K8
prerank,Allograft Rejection,0.45138449551003446,1.4067289616368628,0.007142857142857143,0.15593132735451068,0.594,50/184,21.32%,STAT1;IRF7;CXCL9;IL15;PSMB10;CCL7;ICOSLG;CTSS;SOCS1;B2M;CD40;RARS1;LCP2;THY1;GBP2;CD47;CCL5;CCND2;TAPBP;LY86;DEGS1;CSF1;AARS1;ABCE1;NCK1;LYN;SOCS5;ELF4;NPM1;EIF3A;FCGR2B;APBB1;EIF4G3;JAK2;IFNAR2;TLR2;GALNT1;IL18;CSK;TLR3;PTPRC;ACVR2A;TAP1;RIPK2;IFNGR2;IFNGR1;LCK;CCL4;TPD52;IL4R
prerank,Complement,0.4315510089014956,1.3593273208737804,0.018255578093306288,0.22805835937593547,0.782,44/184,15.21%,IRF7;CASP4;CASP7;LAP3;CTSS;CLU;CSRP1;RNF4;CDH13;CD55;LCP2;MMP14;SERPINC1;ACTN2;COL4A2;LAMP2;USP15;CCL5;MT3;CPQ;CTSC;GMFB;CTSH;PSMB9;SIRT6;LYN;KLK1;VCPIP1;TIMP2;NOTCH4;PIM1;USP14;HPCAL4;DYRK2;PSEN1;PRDM4;PREP;CA2;STX4;JAK2;FYN;AKAP10;KIF2A;CALM3
prerank,PI3K/AKT/mTOR  Signaling,0.4279359130648378,1.2843385454560017,0.09176225234619395,0.43591012907551757,0.957,21/104,12.51%,STAT2;PITX2;NOD1;TRIB3;CXCR4;ACTR2;PLA2G12A;DUSP3;MKNK1;GNA14;CAB39;ACTR3;MAP2K3;CSNK2B;SMAD2;NCK1;ATF1;PRKAG1;IRAK4;PTPN11;AKT1S1
prerank,Myc Targets V2,0.4435607677664508,1.2745424941799892,0.13747228381374724,0.4192090632246529,0.968,15/57,13.98%,SORD;MYBBP1A;DDX18;MCM4;TCOF1;SLC19A1;LAS1L;TFB2M;PPAN;NOLC1;NPM1;NOP2;RABEPK;NOP16;WDR43
prerank,Glycolysis,0.4050029048504073,1.265466229071065,0.05555555555555555,0.40909814768250774,0.976,47/194,16.14%,NOL3;TPST1;EXT1;XYLT2;SDC3;CXCR4;TPI1;P4HA1;RARS1;TGFA;ARPP19;RBCK1;CASP6;GMPPB;SOX9;MPI;SAP30;IDH1;B4GALT4;B4GALT1;PPIA;PGLS;SLC25A10;GFPT1;ALDH7A1;DLD;MET;AGRN;COG2;HDLBP;ECD;DDIT4;AK4;AK3;B4GALT2;PAXIP1;GNE;CHST2;PPFIA4;ANKZF1;GALK2;SLC35A3;IRS2;KIF2A;PAM;CAPN5;GCLC
