Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Interferon Alpha Response,0.8613230225597377,2.601230128016648,0.0,0.0,0.0,44/90,4.06%,PARP14;IFIT3;DDX60;RSAD2;HERC6;USP18;STAT2;CXCL10;GBP4;SAMD9L;TRAFD1;OASL;EIF2AK2;IRF7;PARP12;IFIH1;LGALS3BP;EPSTI1;HELZ2;PARP9;ISG15;TRIM14;MOV10;IL15;SP110;IFIT2;BST2;UBE2L6;DHX58;IFI35;LAP3;PSME2;PNPT1;TRIM25;B2M;ADAR;NMI;TDRD7;TRIM21;RTP4;GBP2;TMEM140;CD47;MVB12A
prerank,Interferon Gamma Response,0.810637927761611,2.563465587482263,0.0,0.0,0.0,69/184,3.51%,RNF213;PARP14;IFIT3;DDX60;RSAD2;HERC6;OAS3;USP18;STAT1;ZBP1;STAT2;CXCL10;GBP4;SAMD9L;TRAFD1;OASL;NLRC5;EIF2AK2;IRF7;PARP12;OAS2;CD69;IFIH1;LGALS3BP;SAMHD1;ZNFX1;CD274;EPSTI1;HELZ2;IFIT1;ISG15;CXCL9;TNFSF10;NAMPT;PML;TRIM14;IL15;CASP4;ISOC1;SP110;XAF1;CASP7;IFIT2;PSMB10;BST2;CCL7;UBE2L6;IL15RA;DHX58;IFI35;NOD1;SPPL2A;LAP3;PSME2;SOCS1;PNPT1;TRIM25;B2M;ADAR;CD40;SOD2;STAT3;NMI;ARID5B;LCP2;RBCK1;TDRD7;TRIM21;RTP4
prerank,Inflammatory Response,0.5617461937735799,1.7573982349745876,0.0,0.003281183460042865,0.01,42/194,9.06%,CXCL10;EIF2AK2;IRF7;AXL;CD69;CXCL9;TNFSF10;NAMPT;IL15;NOD2;ABCA1;BST2;CCL7;ICOSLG;SLAMF1;TNFSF9;IL15RA;SEMA4D;CD40;CD55;NMI;LCP2;RTP4;MMP14;CYBB;PTGER4;CCL5;TACR1;CX3CL1;TAPBP;GNA15;NFKB1;LY6E;ITGB8;CSF1;SLC11A2;IL10RA;CD48;LYN;MET;P2RX4;PDPN
prerank,TNF-alpha Signaling via NF-kB,0.4990735343266166,1.5676226338237433,0.0,0.035190692608959726,0.13,56/192,16.16%,CXCL10;CD69;IFIH1;NAMPT;IFIT2;ABCA1;ICOSLG;TNFSF9;IL15RA;CCNL1;BIRC2;ZFP36;NFKB2;SOD2;RCAN1;SDC4;SAT1;MAP3K8;PTGER4;SLC2A6;BHLHE40;CCL5;PMEPA1;JUNB;TNC;CCND1;CFLAR;BCL6;NFKB1;MAP2K3;CSF1;B4GALT1;SPSB1;DNAJB4;ACKR3;RNF19B;B4GALT5;TNIP1;GCH1;ZC3H12A;PHLDA1;PANX1;SIK1;IER5;KLF10;RELB;REL;PNRC1;BIRC3;IRS2;SLC16A6;TNIP2;TLR2;TIPARP;IL18;IER2
prerank,IL-6/JAK/STAT3 Signaling,0.5044814016062855,1.5186048085847692,0.002136752136752137,0.052564559029886694,0.23,9/82,3.54%,STAT1;STAT2;CXCL10;CXCL9;CCL7;IL15RA;SOCS1;STAT3;MAP3K8
prerank,Allograft Rejection,0.45020831969084646,1.406375070257141,0.003061224489795918,0.1734105458632654,0.65,50/184,21.47%,STAT1;IRF7;CXCL9;IL15;PSMB10;CCL7;ICOSLG;CTSS;SOCS1;B2M;CD40;RARS1;LCP2;THY1;GBP2;CD47;CCL5;CCND2;TAPBP;LY86;DEGS1;CSF1;AARS1;ABCE1;NCK1;LYN;SOCS5;ELF4;NPM1;EIF3A;FCGR2B;APBB1;EIF4G3;IFNAR2;JAK2;GALNT1;TLR2;IL18;CSK;TLR3;PTPRC;ACVR2A;TAP1;RIPK2;IFNGR2;IFNGR1;LCK;TPD52;CCL4;IL4R
prerank,Complement,0.4315556088861704,1.3586403962077405,0.019211324570273004,0.24032325142342528,0.816,76/184,26.58%,IRF7;CASP4;CASP7;LAP3;CTSS;CLU;CSRP1;RNF4;CDH13;CD55;LCP2;MMP14;SERPINC1;ACTN2;COL4A2;LAMP2;USP15;CCL5;MT3;CPQ;CTSC;GMFB;CTSH;PSMB9;SIRT6;LYN;KLK1;VCPIP1;TIMP2;NOTCH4;PIM1;USP14;DYRK2;HPCAL4;PSEN1;PRDM4;PREP;CA2;STX4;FYN;JAK2;AKAP10;KIF2A;CALM3;ZEB1;DOCK10;LCK;PLAUR;CD46;MSRB1;F3;USP8;PRKCD;IRF2;S100A13;MMP15;F8;PCLO;KYNU;PLAT;IRF1;ANG;RAF1;RBSN;CP;PIK3CA;PDP1;GCA;CPM;RABIF;CBLB;LRP1;GNAI2;CDK5R1;CTSO;PLA2G4A
prerank,PI3K/AKT/mTOR  Signaling,0.42879675689591956,1.3112152272705515,0.06631578947368422,0.33258895846859493,0.92,21/104,12.52%,STAT2;PITX2;NOD1;TRIB3;CXCR4;ACTR2;PLA2G12A;DUSP3;MKNK1;GNA14;CAB39;ACTR3;MAP2K3;CSNK2B;SMAD2;NCK1;ATF1;PRKAG1;IRAK4;PTPN11;AKT1S1
prerank,Myc Targets V2,0.44360260944129415,1.2887093656817874,0.12443946188340807,0.37121122211284946,0.95,15/57,14.03%,SORD;MYBBP1A;DDX18;MCM4;TCOF1;SLC19A1;LAS1L;TFB2M;PPAN;NOLC1;NPM1;NOP2;RABEPK;NOP16;WDR43
prerank,Glycolysis,0.404233630551035,1.2741087345889817,0.05358948432760364,0.3829141097870023,0.971,47/194,16.22%,NOL3;TPST1;EXT1;XYLT2;SDC3;CXCR4;TPI1;P4HA1;RARS1;TGFA;ARPP19;RBCK1;CASP6;GMPPB;SOX9;MPI;SAP30;IDH1;B4GALT1;B4GALT4;PPIA;PGLS;SLC25A10;GFPT1;ALDH7A1;DLD;MET;AGRN;COG2;HDLBP;AK4;AK3;ECD;DDIT4;B4GALT2;PAXIP1;GNE;CHST2;PPFIA4;GALK2;ANKZF1;IRS2;SLC35A3;KIF2A;PAM;CAPN5;GCLC
