Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,DNA Repair,0.5881128164565285,1.4835705411609426,0.0020222446916076846,0.5208999896790175,0.395,36/147,13.65%,POLR2D;CETN2;MPG;ZWINT;POLR1C;POLR1D;SNAPC5;TSG101;AK3;USP11;RFC2;POLE4;COX17;CSTF3;POLR2A;POLA1;NT5C3A;SDCBP;GPX4;POLA2;POLD3;POLB;HPRT1;DGUOK;NUDT9;ERCC4;DCTN4;STX3;CANT1;SEC61A1;GTF2B;TMED2;REV3L;TP53;NFX1;GTF2H1
prerank,Apical Surface,0.6309554688145311,1.4642438720825657,0.05044843049327354,0.31608009082464655,0.445,8/43,9.77%,SCUBE1;BRCA1;GAS1;CX3CL1;FLOT2;DCBLD2;LYN;B4GALT1
prerank,Estrogen Response Late,0.553890026350394,1.38808623505597,0.01503006012024048,0.4929163656380087,0.771,26/186,11.86%,CXCL12;TFPI2;WFS1;LLGL2;TPD52L1;RNASEH2A;HOMER2;UGDH;OLFM1;AREG;CPE;MYOF;RABEP1;FARP1;METTL3;HPRT1;CKB;RBBP8;SNX10;MAPT;CD44;IDH2;AFF1;DNAJC1;NCOR2;CHST8
prerank,Epithelial Mesenchymal Transition,0.5427326635500557,1.361868432197864,0.02,0.4844875632160182,0.853,23/194,10.00%,CXCL12;TFPI2;THBS2;GAS1;IGFBP3;PMEPA1;IGFBP2;VEGFC;ADAM12;JUN;AREG;SGCG;THBS1;FLNA;TPM1;QSOX1;WIPF1;ITGB5;COL11A1;DAB2;CD44;BGN;CDH11
prerank,Mitotic Spindle,0.5434339953490874,1.355665322949621,0.014028056112224449,0.41024667148312516,0.872,63/199,15.14%,PLK1;MID1;VCL;FGD6;ARHGEF3;RHOF;ALMS1;PLEKHG2;RAB3GAP1;LLGL1;BCL2L11;WASF1;ITSN1;MAPRE1;NF1;SASS6;CEP250;FLNA;YWHAE;ARHGEF12;MAP3K11;NIN;CAPZB;PCNT;DYNLL2;TUBGCP6;KIF20B;ABI1;FARP1;ARFGEF1;BRCA2;EZR;KIF11;DLG1;EPB41;RANBP9;RAPGEF5;SPTBN1;SSH2;NCK1;TUBGCP2;PCGF5;APC;ACTN4;CNTRL;CD2AP;AKAP13;CDC42;PXN;PALLD;NOTCH2;ABL1;RABGAP1;MYO9B;WASF2;MYO1E;FLNB;PKD2;RASAL2;WASL;TSC1;CLASP1;ARL8A
prerank,Complement,0.5338838416141217,1.3380542027219748,0.025227043390514632,0.3983452024632745,0.911,32/184,14.29%,GZMK;TFPI2;ANG;CP;PLA2G7;CD36;IRF1;GMFB;GRB2;CTSC;DYRK2;EHD1;SCG3;CFH;PDGFB;PRDM4;LIPA;PLA2G4A;LYN;F3;RAF1;XPNPEP1;GNAI3;PPP4C;SH2B3;FN1;DOCK9;KCNIP3;FYN;ANXA5;GNG2;CALM1
prerank,Coagulation,0.497753756898763,1.2538167628515449,0.11349693251533742,0.7337392919805965,0.992,15/128,13.79%,TFPI2;ANG;USP11;PEF1;THBS1;CFH;PDGFB;PROC;F3;FURIN;CAPN2;GDA;WDR1;FN1;FYN
prerank,E2F Targets,0.48981999878468657,1.2374914730471538,0.08016032064128256,0.7364666116214265,0.997,30/198,9.38%,PLK1;BRCA1;RFC2;POLE4;RNASEH2A;RAD50;SUV39H1;ILF3;PSIP1;SYNCRIP;ASF1A;NUP205;PRKDC;IPO7;POLA2;PPP1R8;POLD3;BRCA2;ING3;MRE11;USP1;NBN;CSE1L;AK2;PRIM2;EZH2;CCP110;CHEK2;CNOT9;ORC2
prerank,KRAS Signaling Dn,0.49545280657883994,1.234667461280522,0.08817635270541083,0.6693592963383447,0.997,13/179,10.08%,FGF22;SNN;IGFBP2;SELENOP;CAMK1D;TGFB2;SIDT1;CLSTN3;PTPRJ;MTHFR;NR6A1;MAST3;EPHA5
prerank,Pancreas Beta Cells,0.5474613908980595,1.2342675432049544,0.21212121212121213,0.6048508618020435,0.997,1/36,0.09%,ISL1
prerank,PI3K/AKT/mTOR  Signaling,0.4995251194078212,1.2338410070280823,0.14447884416924664,0.551427579541936,0.998,26/104,15.18%,FGF22;DUSP3;IRAK4;ACTR3;CFL1;GRB2;PRKAR2A;DAPP1;PRKCB;CDK2;SQSTM1;MAPK1;VAV3;MAP2K6;MAPK8;MAPKAP1;NCK1;TRAF2;ARF1;RAF1;ACACA;ARPC3;UBE2D3;CLTC;PTEN;MKNK1
prerank,UV Response Up,0.4834589022923752,1.208449406427932,0.1457286432160804,0.6213713145491451,0.999,22/149,10.43%,FGF18;DNAJB1;IRF1;TARS1;PDAP1;IGFBP2;BCL2L11;OLFM1;ALDOA;PRPF3;PRKACA;CDK2;SQSTM1;ARRB2;POLG2;WIZ;TAP1;AGO2;PARP2;LYN;CDC5L;FURIN
prerank,Protein Secretion,0.4783212781075379,1.1926995066966712,0.18219461697722567,0.6422747445556816,0.999,35/96,16.44%,LMAN1;TSG101;GOSR2;VAMP7;CTSC;COPB2;TPD52;NAPG;VAMP3;STX7;ATP7A;MAPK1;SCAMP1;ARFGEF1;VPS45;STX16;RAB2A;CD63;GALC;BNIP3;ARF1;SEC24D;VPS4B;TMED2;OCRL;ADAM10;ABCA1;ATP6V1H;NAPA;CLTC;DOP1A;KIF1B;SH3GL2;GOLGA4;DNM1L
prerank,Myc Targets V2,0.5006760623697635,1.1912916659835393,0.237417943107221,0.6026112085870575,0.999,5/57,4.75%,PLK1;FARSA;TFB2M;UTP20;EXOSC5
prerank,Estrogen Response Early,0.47202888250767344,1.1760246110484596,0.15947843530591777,0.6250125571954449,1.0,33/189,14.34%,CXCL12;WFS1;SVIL;TPD52L1;ENDOD1;SLC7A2;OLFM1;AREG;AR;MYOF;AKAP1;ISG20L2;FARP1;ADCY9;RBBP8;MAPT;SYT12;SEC14L2;ASB13;CD44;B4GALT1;KDM4B;CANT1;DHRS3;IGF1R;AFF1;NCOR2;SNX24;BCL2;MAST4;FKBP5;FLNB;ITPK1
prerank,Angiogenesis,-0.3512934448286022,-1.1603047327401859,0.20422535211267606,0.18713826366559486,0.314214463840399,7/34,11.07%,APP;PTK2;PRG2;SPP1;LPL;VCAN;PDGFA
prerank,TNF-alpha Signaling via NF-kB,0.43993508353454036,1.1116729992625187,0.26426426426426425,0.8859724945814842,1.0,27/192,10.87%,IER2;SNN;SLC2A3;RELA;IRF1;PMEPA1;KLF9;EHD1;TGIF1;JUN;AREG;BCL6;TNFAIP8;SMAD3;SQSTM1;BIRC3;IL1A;IRS2;TAP1;IL18;ICOSLG;CD44;B4GALT5;B4GALT1;F3;EIF1;TANK
prerank,Bile Acid Metabolism,0.449289967651703,1.1039838933533166,0.32113821138211385,0.8714588405286772,1.0,19/105,14.69%,PXMP2;ISOC1;LIPE;AR;ATXN1;ABCD2;ALDH1A1;NEDD4;CROT;FADS1;ABCD3;IDH2;HSD17B11;ABCA1;ABCD1;HSD17B4;RXRA;OPTN;ABCA5
prerank,Xenobiotic Metabolism,0.42517326020191454,1.0609980992700454,0.35606820461384153,1.0,1.0,24/183,14.48%,LCAT;DHRS7;SLC35D1;CD36;UGDH;SSR3;TGFB2;NFS1;ESR1;MCCC2;DHPS;ABCD2;HPRT1;CCL25;ABHD6;SLC46A3;CROT;NMT1;CYFIP2;PTS;SMOX;SAR1B;PPARD;ACOX3
prerank,Androgen Response,0.4263902084847432,1.056126091806818,0.3977389516957862,1.0,1.0,25/98,14.48%,LMAN1;INSIG1;PMEPA1;HOMER2;SELENOP;HPGD;TPD52;TNFAIP8;LIFR;IQGAP2;ARID5B;SLC38A2;CDK6;GPD1L;B4GALT1;FADS1;UBE2I;SEC24D;GNAI3;MAF;APPBP2;CAMKK2;FKBP5;NDRG1;UAP1
prerank,Adipogenesis,0.41057883108063725,1.0222448397958392,0.4563691073219659,1.0,1.0,37/197,12.85%,CAVIN1;MGST3;DHRS7;CD36;RIOK3;DNAJC15;ARL4A;UQCRC1;LIPE;ITSN1;ACADS;UBQLN1;BCL6;LIFR;ECHS1;ALDOA;CS;STOM;DECR1;GPX4;G3BP2;GBE1;GPAM;RTN3;REEP5;AK2;PPARG;RNF11;TKT;NMT1;TANK;TALDO1;ACADL;SUCLG1;AIFM1;SLC27A1;ABCA1
