Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Allograft Rejection,0.526830680957893,1.8742350213092371,0.0,0.016811029675567628,0.015,36/184,8.56%,STAB1;HDAC9;PF4;FCGR2B;EGFR;CFP;IL16;ST8SIA4;IRF4;CCR1;IL15;LYN;ABI1;GPR65;RPL39;CD74;C2;CCL19;SRGN;B2M;BCL10;TLR2;SPI1;CD40;DARS1;ACVR2A;TNF;CD80;ZAP70;CCND3;PRKCB;CCR2;STAT4;IFNAR2;RPL9;RPS9
prerank,KRAS Signaling Up,0.5019392701189196,1.786853692397008,0.0,0.024691199835989955,0.042,36/189,8.16%,F13A1;HDAC9;NRP1;ETV1;GYPC;EMP1;CFH;TLR8;CMKLR1;DOCK2;C3AR1;EVI5;ST6GAL1;NR1H4;TNFRSF1B;BMP2;FCER1G;PLVAP;MAP3K1;CBL;NIN;LCP1;ITGBL1;TMEM176B;BIRC3;GPRC5B;ANO1;VWA5A;CFHR2;LY96;KLF4;CXCR4;RABGAP1L;GFPT2;PTBP2;RBM4
prerank,Angiogenesis,0.628144546608208,1.754028256394328,0.008012820512820512,0.02066355730955188,0.053,6/34,1.94%,PF4;NRP1;FGFR1;APP;S100A4;JAG1
prerank,Inflammatory Response,0.4665430628975087,1.6714435783469812,0.001199040767386091,0.04307826354364205,0.141,34/194,8.24%,STAB1;MSR1;P2RX7;CYBB;HRH1;ADGRE1;ATP2B1;EMP3;CMKLR1;IL15;AHR;LDLR;SLC28A2;C5AR1;C3AR1;LYN;ABI1;IFNAR1;GNAI3;TNFRSF1B;CALCRL;KLF6;LAMP3;SCARF1;ADM;TLR2;GCH1;CD40;ACVR2A;CCRL2;BST2;PSEN1;SLC4A4;CCL24
prerank,TNF-alpha Signaling via NF-kB,0.44353968978900377,1.6004227757091336,0.003575685339690107,0.06262108554148942,0.24,50/192,12.57%,SERPINB8;PDLIM5;TNFAIP8;KLF2;ATP2B1;LDLR;SERPINB2;JAG1;CEBPB;CD44;BMP2;FUT4;KLF6;EHD1;TLR2;DUSP1;GCH1;MCL1;BIRC3;IRS2;KLF9;NR4A1;FOSL2;MAP3K8;CCRL2;TNF;CD80;DRAM1;KLF4;DUSP2;REL;GFPT2;NR4A2;GEM;KLF10;EIF1;NINJ1;RNF19B;DENND5A;SDC4;RIPK2;B4GALT5;PTGER4;ETS2;IL15RA;PMEPA1;TRIP10;TNFAIP2;ZC3H12A;NAMPT
prerank,IL-6/JAK/STAT3 Signaling,0.4919178336849834,1.5868613925871942,0.01606425702811245,0.05813814429467139,0.26,16/82,6.99%,CD38;PF4;ITGA4;CCR1;IFNAR1;CD44;TNFRSF1B;CD36;CBL;HMOX1;IL17RB;TLR2;IL17RA;IL10RB;MAP3K8;TNF
prerank,Interferon Gamma Response,0.4418828910284837,1.5693516745235534,0.003579952267303103,0.05778791450976372,0.294,44/184,15.75%,BANK1;CD38;CFH;ST8SIA4;IRF4;IFITM3;CMKLR1;IL15;TXNIP;OAS2;NCOA3;EPSTI1;DDX60;RIPK1;PARP14;CD74;PELI1;B2M;GCH1;BATF2;CD40;BST2;PSMB2;STAT4;IFNAR2;IRF2;TDRD7;IFITM2;ARL4A;RIPK2;CASP8;LY6E;IL15RA;SAMD9L;TNFAIP2;NAMPT;LATS2;STAT3;SLC25A28;PSMA3;SLAMF7;SAMHD1;CD69;TRIM25
prerank,Androgen Response,0.4695548090799958,1.5599489455768218,0.012064343163538873,0.05516119112295628,0.32,19/98,7.45%,IQGAP2;MAF;PDLIM5;LIFR;TNFAIP8;SELENOP;PIAS1;GNAI3;SORD;HMGCR;FKBP5;RPS6KA3;B2M;CDK6;CAMKK2;ABCC4;ELOVL5;CCND3;APPBP2
prerank,Hedgehog Signaling,0.54042354739338,1.517463462525741,0.050955414012738856,0.0699292137198959,0.425,13/36,11.87%,NRP1;OPHN1;RASA1;CDK6;HEY2;CELSR1;DPYSL2;AMOT;VLDLR;ACHE;ETS2;SLIT1;CRMP1
prerank,IL-2/STAT5 Signaling,0.42013375861182356,1.5114862021679176,0.0070838252656434475,0.06556301573471375,0.435,38/194,10.93%,AHNAK;NRP1;EMP1;IRF4;SNX9;IFITM3;AHR;ADAM19;CDC42SE2;NCOA3;CD44;TNFRSF1B;GPR65;S100A1;BMP2;KLF6;DHRS3;SWAP70;SMPDL3A;NFKBIZ;ICOS;PHTF2;MAPKAPK2;BCL2;MAP3K8;ALCAM;CCND3;RABGAP1L;PDCD2L;DENND5A;CCND2;IL1RL1;ARL4A;WLS;MYO1C;MYO1E;SPRED2;CD48
prerank,Coagulation,0.42598320790254757,1.451326441684396,0.02913907284768212,0.10182135019406302,0.612,19/128,11.41%,GDA;PF4;CFH;C1QA;CPQ;SERPINB2;ANG;S100A1;C2;ADAM9;CTSB;CRIP2;CAPN5;PREP;FYN;PROS1;LAMP2;F10;DUSP14
prerank,Interferon Alpha Response,0.4416546740304831,1.4409185566915514,0.028795811518324606,0.10174175251567492,0.643,22/90,11.57%,IFITM3;IL15;TXNIP;EPSTI1;DDX60;PARP14;CD74;LAMP3;B2M;NCOA7;BATF2;TENT5A;CCRL2;BST2;IRF2;TDRD7;IFITM2;RIPK2;ELF1;CASP8;LY6E;SAMD9L
prerank,Mitotic Spindle,0.3999962592968843,1.429129709971725,0.023612750885478158,0.10531140224646453,0.688,40/198,10.66%,ARHGEF3;ITSN1;PDLIM5;FGD4;NEDD9;FGD6;NOTCH2;KIF20B;DOCK2;OPHN1;SASS6;RASAL2;ABI1;WASF2;RASA1;SPTBN1;ARHGAP10;CDC42;NIN;ARL8A;SSH2;TRIO;INCENP;ROCK1;ARHGAP29;CDC27;ARHGEF12;FLNB;ARHGDIA;VCL;TUBGCP2;RANBP9;RASA2;CLASP1;KIF4A;PCNT;SYNPO;PPP4R2;PXN;MYO1E
prerank,Wnt-beta Catenin Signaling,0.4906407452905992,1.4091751153311702,0.08668730650154799,0.11752710924972724,0.751,10/42,10.75%,RBPJ;JAG1;AXIN1;HEY2;FRAT1;TCF7;WNT6;CCND2;NKD1;MAML1
prerank,Apoptosis,0.39134687106048044,1.3867549163628137,0.044009779951100246,0.1311260314694275,0.811,22/158,7.74%,CD38;EMP1;NEDD9;APP;IFITM3;TXNIP;DPYD;DNAJC3;CD44;BMP2;HMOX1;BCL10;GCH1;MCL1;BIRC3;BCL2L2;GUCY2D;ROCK1;RNASEL;HSPB1;TNF;PSEN1
prerank,Protein Secretion,0.4171903008372725,1.3810902054057934,0.06143790849673202,0.12706774383681,0.827,29/96,16.71%,SNX2;EGFR;CTSC;SGMS1;CLTC;ATP6V1B1;CLN5;RPS6KA3;AP3B1;OCRL;ATP7A;TMED10;AP2S1;PAM;VPS4B;STX7;AP3S1;RAB14;LAMP2;SNAP23;SEC24D;AP2B1;ATP1A1;CLTA;TMED2;MON2;STAM;BNIP3;CD63
