MeV.Endothelial.0.index	MeV.Endothelial.0.Term	MeV.Endothelial.0.NES	MeV.Endothelial.0.FDR q-val	MeV.1.4.11.index	MeV.1.4.11.Term	MeV.1.4.11.NES	MeV.1.4.11.FDR q-val	MeV.1.4.12.index	MeV.1.4.12.Term	MeV.1.4.12.NES	MeV.1.4.12.FDR q-val	MeV.1.4.13.index	MeV.1.4.13.Term	MeV.1.4.13.NES	MeV.1.4.13.FDR q-val	MeV.Endothelial.3.index	MeV.Endothelial.3.Term	MeV.Endothelial.3.NES	MeV.Endothelial.3.FDR q-val	MeV.1.4.2.index	MeV.1.4.2.Term	MeV.1.4.2.NES	MeV.1.4.2.FDR q-val	MeV.Endothelial_Injury.4.index	MeV.Endothelial_Injury.4.Term	MeV.Endothelial_Injury.4.NES	MeV.Endothelial_Injury.4.FDR q-val	MeV.Immune_doublets.0.index	MeV.Immune_doublets.0.Term	MeV.Immune_doublets.0.NES	MeV.Immune_doublets.0.FDR q-val	MeV.1.4.4.index	MeV.1.4.4.Term	MeV.1.4.4.NES	MeV.1.4.4.FDR q-val	MeV.Endothelial.2.index	MeV.Endothelial.2.Term	MeV.Endothelial.2.NES	MeV.Endothelial.2.FDR q-val	MeV.1.4.6.index	MeV.1.4.6.Term	MeV.1.4.6.NES	MeV.1.4.6.FDR q-val	MeV.1.4.7.index	MeV.1.4.7.Term	MeV.1.4.7.NES	MeV.1.4.7.FDR q-val	MeV.Low_Quality.0.index	MeV.Low_Quality.0.Term	MeV.Low_Quality.0.NES	MeV.Low_Quality.0.FDR q-val	MeV.2.1.index	MeV.2.1.Term	MeV.2.1.NES	MeV.2.1.FDR q-val	MeV.2.8.index	MeV.2.8.Term	MeV.2.8.NES	MeV.2.8.FDR q-val	MeV.3.17.index	MeV.3.17.Term	MeV.3.17.NES	MeV.3.17.FDR q-val	MeV.Proliferative_Fibr.0.index	MeV.Proliferative_Fibr.0.Term	MeV.Proliferative_Fibr.0.NES	MeV.Proliferative_Fibr.0.FDR q-val	ytes.0.index	ytes.0.Term	ytes.0.NES	ytes.0.FDR q-val	MeV.VLMC.1.index	MeV.VLMC.1.Term	MeV.VLMC.1.NES	MeV.VLMC.1.FDR q-val	MeV.Epithelial_ECad.0.index	MeV.Epithelial_ECad.0.Term	MeV.Epithelial_ECad.0.NES	MeV.Epithelial_ECad.0.FDR q-val	MeV.Fib_CD34.0.index	MeV.Fib_CD34.0.Term	MeV.Fib_CD34.0.NES	MeV.Fib_CD34.0.FDR q-val	MeV.SMC.0.index	MeV.SMC.0.Term	MeV.SMC.0.NES	MeV.SMC.0.FDR q-val	MeV.VLMC.0.index	MeV.VLMC.0.Term	MeV.VLMC.0.NES	MeV.VLMC.0.FDR q-val
0.0	cotranslational protein targeting to membrane (GO:0006613)	2.027764019923309	0.0200110208064062	0.0	positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	2.127994254768871	0.042564070296363	0.0	collagen fibril organization (GO:0030199)	2.1918606474271374	0.0	0.0	negative regulation of smooth muscle cell migration (GO:0014912)	-2.0404065390508923	0.0436445248416768	0.0	anterograde trans-synaptic signaling (GO:0098916)	2.69634185255351	0.0	0.0	chemical synaptic transmission (GO:0007268)	2.6428589959848385	0.0	0.0	response to copper ion (GO:0046688)	2.411629711457795	0.0	0	positive regulation of T cell proliferation (GO:0042102)	2.0005663221980403	0.0010258475748918	0.0	regulation of mononuclear cell migration (GO:0071675)	-1.8272529158207207	0.0490008981201458	0.0	regulation of insulin-like growth factor receptor signaling pathway (GO:0043567)	-1.904574481250683	0.0468743127023847	0.0	stress-activated protein kinase signaling cascade (GO:0031098)	-1.8428546941942312	0.0484852875755561	0.0	ganglioside metabolic process (GO:0001573)	-1.8346361422734847	0.0474889477886648	0.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2.6961656124691573	0.0	0.0	sequestering of extracellular ligand from receptor (GO:0035581)	2.101949382069739	0.0421405188849823	0.0	extracellular structure organization (GO:0043062)	2.12658534499359	0.0010139173072901	0.0	collagen fibril organization (GO:0030199)	2.180756167375353	0.0078367725862748	0.0	microtubule cytoskeleton organization involved in mitosis (GO:1902850)	2.159418650753005	0.0	0.0	muscle contraction (GO:0006936)	2.11172274457143	0.0482969508543085	0.0	collagen fibril organization (GO:0030199)	2.0524496393314897	0.0009949980556942	0.0	aorta development (GO:0035904)	-1.9931250266114708	0.0431412805385314	0.0	maintenance of blood-brain barrier (GO:0035633)	-2.236388871470106	0.011449993997987	0.0	muscle contraction (GO:0006936)	2.636818243356716	0.0	0.0	organic anion transport (GO:0015711)	2.0306425880361823	0.0196848642959844
1.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	1.976457756176532	0.0479211287732359	1.0	regulation of response to cytokine stimulus (GO:0060759)	-1.8210982793187935	0.0492923846184304	1.0	external encapsulating structure organization (GO:0045229)	2.1080341492231227	0.0005109076594435	1.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	-2.0541322228849364	0.0496644593025978	1.0	chemical synaptic transmission (GO:0007268)	2.6299102739049984	0.0	1.0	anterograde trans-synaptic signaling (GO:0098916)	2.611788167256767	0.0	1.0	response to cadmium ion (GO:0046686)	2.36939881190269	0.0	1	neutrophil chemotaxis (GO:0030593)	1.991465882637583	0.0005129237874459	1.0	negative regulation of cell-substrate adhesion (GO:0010812)	-1.8291670605472456	0.0490115904693908	1.0	eye development (GO:0001654)	-1.9181225283293368	0.0446921971352118	1.0	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	-1.8456068292611	0.0479703787860966	1.0	regulation of cAMP-mediated signaling (GO:0043949)	-1.8541119956395784	0.0367343737009093	1.0	cytoplasmic translation (GO:0002181)	2.685769022440686	0.0	1.0	negative regulation of viral life cycle (GO:1903901)	-1.8615084031857083	0.0460159815639637	1.0	external encapsulating structure organization (GO:0045229)	2.1207297099224194	0.000506958653645	1.0	positive regulation of stress fiber assembly (GO:0051496)	-1.912140311251936	0.0489559118952678	1.0	mitotic sister chromatid segregation (GO:0000070)	2.1571159583456314	0.0	1.0	manganese ion transport (GO:0006828)	2.1036220886498667	0.0308563852680304	1.0	maintenance of blood-brain barrier (GO:0035633)	-2.062292699507654	0.0482503064207139	1.0	negative regulation of epithelial cell migration (GO:0010633)	-1.9999229573547657	0.044373888553918					1.0	actin-myosin filament sliding (GO:0033275)	2.438554979123147	0.0	1.0	bicarbonate transport (GO:0015701)	2.011310949275932	0.0155406823389351
2.0	membrane lipid biosynthetic process (GO:0046467)	1.9414193009868084	0.0461306690168732	2.0	cardiac ventricle development (GO:0003231)	-1.8288118296719076	0.0457473262330117	2.0	extracellular structure organization (GO:0043062)	2.0999870917161467	0.0006812102125913					2.0	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	2.489713880602873	0.0	2.0	neurotransmitter secretion (GO:0007269)	2.488262926291381	0.0	2.0	cellular response to copper ion (GO:0071280)	2.3349763938829216	0.0	2	regulation of immune response (GO:0050776)	1.9900568671999983	0.0003419491916306	2.0	regulation of neuronal synaptic plasticity (GO:0048168)	-1.843282224653657	0.0407143852517261	2.0	ureteric bud development (GO:0001657)	-1.9737925217183097	0.0172702781744052	2.0	Fc receptor mediated stimulatory signaling pathway (GO:0002431)	-1.853436258540678	0.043308980677479	2.0	ncRNA processing (GO:0034470)	-1.8704733453842357	0.0300385535952531	2.0	protein targeting to ER (GO:0045047)	2.6787190481080803	0.0	2.0	cell-substrate junction assembly (GO:0007044)	-1.8660819311956935	0.0447627990751219	2.0	retinoid metabolic process (GO:0001523)	1.9996294047770096	0.0226441531961456	2.0	cell junction organization (GO:0034330)	-1.928822865045582	0.044619202685665	2.0	mitotic spindle organization (GO:0007052)	2.1413159529195003	0.0	2.0	response to ATP (GO:0033198)	2.090570292646753	0.029216673973594	2.0	B cell receptor signaling pathway (GO:0050853)	-2.0841861719204706	0.0466334531191379	2.0	transport across blood-brain barrier (GO:0150104)	-2.0579567000503123	0.019625053107724					2.0	muscle filament sliding (GO:0030049)	2.438554979123147	0.0	2.0	response to glucocorticoid (GO:0051384)	1.9696126889782095	0.0435139105490183
3.0	negative regulation of glucose transmembrane transport (GO:0010829)	-1.877362307647683	0.047215142163416	3.0	gliogenesis (GO:0042063)	-1.829825667753317	0.0457675999460232	3.0	extracellular matrix organization (GO:0030198)	2.0919698572991106	0.0007663614891652					3.0	cytoplasmic translation (GO:0002181)	2.486165948346587	0.0	3.0	signal release from synapse (GO:0099643)	2.438471836240541	0.0	3.0	zinc ion homeostasis (GO:0055069)	2.3323317321903048	0.0	3	regulation of natural killer cell mediated cytotoxicity (GO:0042269)	1.9863428917530663	0.0002564618937229	3.0	smooth muscle cell differentiation (GO:0051145)	-1.848406184280532	0.0386174389644119	3.0	mesonephric tubule development (GO:0072164)	-1.9834175937446656	0.0168995777590454	3.0	positive regulation of focal adhesion assembly (GO:0051894)	-1.8833107585170483	0.0292071380159469	3.0	membrane repolarization during cardiac muscle cell action potential (GO:0086013)	-1.8815917223269607	0.0262951472201607	3.0	cotranslational protein targeting to membrane (GO:0006613)	2.677704454170951	0.0	3.0	negative regulation of growth (GO:0045926)	-1.8686772105209624	0.0441657148976128	3.0	diterpenoid metabolic process (GO:0016101)	1.986749925778278	0.024587494701785	3.0	regulation of vascular associated smooth muscle cell migration (GO:1904752)	-1.9414721692595376	0.0383807108682641	3.0	centromere complex assembly (GO:0034508)	2.111420941845797	0.0	3.0	transition metal ion transport (GO:0000041)	2.0673051432055787	0.0380114890982984					3.0	regulation of dendritic cell apoptotic process (GO:2000668)	-2.0633991180548845	0.0209108324492646					3.0	myofibril assembly (GO:0030239)	2.2950832000340275	0.0	3.0	ion homeostasis (GO:0050801)	1.9410022997882723	0.0459313500239637
4.0	negative regulation of peptidase activity (GO:0010466)	-1.8777894041852423	0.0497786317945597	4.0	negative regulation of cell-matrix adhesion (GO:0001953)	-1.8303494848839692	0.046034222011236	4.0	cellular component disassembly (GO:0022411)	2.0880796116778977	0.0008174522551096					4.0	cotranslational protein targeting to membrane (GO:0006613)	2.47102471765573	0.0	4.0	cell-cell adhesion via plasma-membrane adhesion molecules (GO:0098742)	2.4051935772464788	0.0	4.0	cellular response to cadmium ion (GO:0071276)	2.329455822071298	0.0	4	regulation of T cell proliferation (GO:0042129)	1.984726533134911	0.0002051695149783	4.0	growth hormone receptor signaling pathway (GO:0060396)	-1.85544637445746	0.0357668247117197	4.0	retinoid metabolic process (GO:0001523)	-1.99116693698238	0.0175401262708802	4.0	Fc-gamma receptor signaling pathway involved in phagocytosis (GO:0038096)	-1.8835025690475384	0.0299906543134058	4.0	negative regulation of vascular permeability (GO:0043116)	-1.8920852730727011	0.0229965243167504	4.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2.6450290574483613	0.0	4.0	diol biosynthetic process (GO:0034312)	-1.8770463569329048	0.0396740106282554	4.0	extracellular matrix organization (GO:0030198)	1.9825101531129667	0.0216978303760082	4.0	regulation of nitric-oxide synthase activity (GO:0050999)	-1.9431600106659863	0.0396203138652335	4.0	sister chromatid segregation (GO:0000819)	2.101766539679898	0.0	4.0	regulation of cytosolic calcium ion concentration (GO:0051480)	2.055095748911742	0.041499602215554					4.0	vascular transport (GO:0010232)	-2.0666948265229923	0.024615907130809					4.0	sarcomere organization (GO:0045214)	2.272360072685921	0.0	4.0	positive regulation of protein tyrosine kinase activity (GO:0061098)	-1.950847731110506	0.0493053913447664
5.0	negative regulation of signal transduction in absence of ligand (GO:1901099)	-1.948343149279094	0.0211331946474755	5.0	positive regulation of glial cell differentiation (GO:0045687)	-1.8307354942031655	0.0464572942020608	5.0	extracellular matrix disassembly (GO:0022617)	2.0876678973973646	0.0006812102125913					5.0	protein targeting to ER (GO:0045047)	2.326622829043928	0.0001313402245704	5.0	modulation of chemical synaptic transmission (GO:0050804)	2.3345668495523477	0.0	5.0	cellular zinc ion homeostasis (GO:0006882)	2.3186583291631955	0.0	5	positive regulation of T cell activation (GO:0050870)	1.9792583490086173	0.0001709745958153	5.0	axon development (GO:0061564)	-1.8567174021169568	0.0361352345467995	5.0	membrane depolarization during cardiac muscle cell action potential (GO:0086012)	-2.017742190437525	0.0133171787870819	5.0	Fc-gamma receptor signaling pathway (GO:0038094)	-1.889464324089135	0.0278909277046265	5.0	ribosome assembly (GO:0042255)	-1.8941338139465551	0.0227715094017137	5.0	peptide biosynthetic process (GO:0043043)	2.603848415487541	0.0	5.0	positive regulation of cell-substrate adhesion (GO:0010811)	-1.8810849768479363	0.0381402304060182	5.0	positive regulation of osteoblast differentiation (GO:0045669)	1.982046259409604	0.0185884839669852	5.0	positive regulation of wound healing (GO:0090303)	-1.946347223308332	0.0404968158642911	5.0	mitotic nuclear division (GO:0140014)	2.0917066026291486	0.0	5.0	chordate embryonic development (GO:0043009)	-1.9089487188137808	0.0495465547387573					5.0	negative regulation of endothelial cell migration (GO:0010596)	-2.070973983047704	0.0307910316000498					5.0	striated muscle contraction (GO:0006941)	2.208676783034725	0.0	5.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-2.0377478814188787	0.0121505710399535
6.0	negative regulation of extrinsic apoptotic signaling pathway in absence of ligand (GO:2001240)	-1.948343149279094	0.0211331946474755	6.0	vascular endothelial growth factor receptor signaling pathway (GO:0048010)	-1.8323310602988792	0.0459999162186372	6.0	regulation of humoral immune response (GO:0002920)	2.036658338168803	0.0017516834038062					6.0	regulation of neurotransmitter receptor activity (GO:0099601)	2.312700297704666	0.0002251546706922	6.0	regulation of neurotransmitter receptor activity (GO:0099601)	2.3021369556856444	9.36919909780377e-05	6.0	response to zinc ion (GO:0010043)	2.304507572503124	0.0	6	negative regulation of antigen receptor-mediated signaling pathway (GO:0050858)	1.9705715072412595	0.0001465496535559	6.0	epithelial tube morphogenesis (GO:0060562)	-1.867668643753181	0.0313720007060986	6.0	skeletal system development (GO:0001501)	-2.03207695081211	0.0119387339652611	6.0	branching involved in blood vessel morphogenesis (GO:0001569)	-1.894542924540352	0.0259440015468769	6.0	ribonucleoprotein complex biogenesis (GO:0022613)	-1.9042291336904371	0.0203485078847958	6.0	nuclear-transcribed mRNA catabolic process (GO:0000956)	2.5288432991647505	0.0	6.0	ribosomal small subunit biogenesis (GO:0042274)	-1.8890181540800943	0.035669531050824	6.0	skeletal system development (GO:0001501)	1.9667786101538447	0.023754634056511	6.0	vascular endothelial growth factor signaling pathway (GO:0038084)	-1.9822687591307453	0.0241790346963524	6.0	chromosome condensation (GO:0030261)	2.07477100374696	0.0	6.0	androgen receptor signaling pathway (GO:0030521)	-1.9181612591668675	0.0444291179762121					6.0	positive regulation of nuclear division (GO:0051785)	-2.0797580457463485	0.0390809247231402					6.0	actomyosin structure organization (GO:0031032)	2.157048115322438	0.0001311532256208	6.0	regulation of synaptic transmission, glutamatergic (GO:0051966)	-2.076899777259238	0.0081208879861968
7.0	cardiac muscle cell action potential (GO:0086001)	-1.9499543831445152	0.0249962517335732	7.0	cellular response to copper ion (GO:0071280)	-1.832509089940854	0.0465362742049545	7.0	chemokine-mediated signaling pathway (GO:0070098)	2.0290442169271508	0.0019159037229131					7.0	response to copper ion (GO:0046688)	2.296970592775429	0.0001970103368556	7.0	glutamate receptor signaling pathway (GO:0007215)	2.2842030794681194	0.0001639609842115	7.0	cellular response to zinc ion (GO:0071294)	2.25789198586956	0.0	7	B cell receptor signaling pathway (GO:0050853)	1.9663785567893992	0.0001282309468614	7.0	chemical synaptic transmission (GO:0007268)	-1.8713044750226624	0.0308007821983441	7.0	dermatan sulfate biosynthetic process (GO:0030208)	-2.0565782146940683	0.0084388859261298	7.0	organic anion transport (GO:0015711)	-1.8979226836213912	0.0256917681985045	7.0	regulation of cardiac muscle contraction (GO:0055117)	-1.9075842049452447	0.0198348031152348	7.0	translation (GO:0006412)	2.483491814485135	0.0	7.0	ncRNA processing (GO:0034470)	-1.895529418025076	0.0333897476748381	7.0	positive regulation of smooth muscle cell migration (GO:0014911)	1.964394243944571	0.0223061807603823	7.0	establishment of endothelial intestinal barrier (GO:0090557)	-1.9996343472955624	0.0187870327097537	7.0	chromatin remodeling at centromere (GO:0031055)	2.0533602227080325	0.0	7.0	amino acid import (GO:0043090)	-1.920853003674334	0.0465057098323631													7.0	cardiac muscle cell development (GO:0055013)	2.125209751323572	0.0006885544345095	7.0	cytoplasmic translation (GO:0002181)	-2.25902422925694	0.0002307070450624
8.0	regulation of striated muscle contraction (GO:0006942)	-1.982960235283261	0.01555322330089	8.0	actin cytoskeleton reorganization (GO:0031532)	-1.836051100053772	0.0454278616643454	8.0	regulation of complement activation (GO:0030449)	2.004388941326953	0.0044278663818436					8.0	glutamate receptor signaling pathway (GO:0007215)	2.2947314349724337	0.0001751202994272	8.0	neurotransmitter transport (GO:0006836)	2.283943281135796	0.0001457430970769	8.0	regulation of NMDA receptor activity (GO:2000310)	-2.0137986862877453	0.0410308622770236	8	regulation of interleukin-2 production (GO:0032663)	1.9631586376263	0.0001139830638768	8.0	neural crest cell migration (GO:0001755)	-1.8743588500282231	0.0304312537461495	8.0	dermatan sulfate metabolic process (GO:0030205)	-2.093961245790028	0.0036797467701147	8.0	response to zinc ion (GO:0010043)	-1.8996687666297056	0.0256917681985045	8.0	regulation of ryanodine-sensitive calcium-release channel activity (GO:0060314)	-1.9089562787673025	0.0199866819532357	8.0	rRNA metabolic process (GO:0016072)	2.4765663024074613	0.0	8.0	gene expression (GO:0010467)	-1.8966244018330567	0.0337086768768957	8.0	sequestering of extracellular ligand from receptor (GO:0035581)	1.9556312766381367	0.0234327555462602	8.0	positive regulation of smooth muscle cell migration (GO:0014911)	-2.017845375243088	0.0157147172102263	8.0	DNA replication-independent nucleosome assembly (GO:0006336)	2.05140598497802	0.0	8.0	sprouting angiogenesis (GO:0002040)	-2.019735092033894	0.0069945084975145													8.0	heart contraction (GO:0060047)	2.1023947613366643	0.0010200806437178	8.0	protein targeting to ER (GO:0045047)	-2.297737126100296	0.0
9.0	regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion (GO:0010881)	-1.992380709101428	0.0136343191274035	9.0	endoderm formation (GO:0001706)	-1.8368483214932227	0.0456031234763221	9.0	regulation of immune effector process (GO:0002697)	1.9964735811063796	0.0054156211901011					9.0	cellular response to copper ion (GO:0071280)	2.2933006376303027	0.0001576082694845	9.0	presynapse assembly (GO:0099054)	2.250356191064008	0.0004590907557923	9.0	positive regulation of potassium ion transmembrane transporter activity (GO:1901018)	-2.027788332196425	0.0411251860983501	9	positive regulation of phagocytosis (GO:0050766)	1.9597760447292163	0.0001025847574891	9.0	positive regulation of developmental growth (GO:0048639)	-1.877082795454733	0.0302835843550707	9.0	regulation of smoothened signaling pathway (GO:0008589)	-2.0949632366653943	0.0049063290268196	9.0	regulation of substrate adhesion-dependent cell spreading (GO:1900024)	-1.906548124087664	0.0244550526485765	9.0	ribosomal small subunit biogenesis (GO:0042274)	-1.9178825269861768	0.0179748499933705	9.0	rRNA processing (GO:0006364)	2.4311495222425266	0.0	9.0	regulation of cell communication by electrical coupling involved in cardiac conduction (GO:1901844)	-1.8975423668733056	0.0341547192353643	9.0	positive regulation of activated T cell proliferation (GO:0042104)	1.9499630524235376	0.0247395822978785	9.0	muscle cell development (GO:0055001)	-2.021486592713262	0.0153072483110847	9.0	cytoskeleton-dependent cytokinesis (GO:0061640)	2.046960047104239	0.0	9.0	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	-2.024646565803775	0.0070344771175003													9.0	cardiac muscle contraction (GO:0060048)	2.0798794899518307	0.0022033741904304	9.0	cotranslational protein targeting to membrane (GO:0006613)	-2.365434102389129	0.0
