Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ascorbate and aldarate metabolism Homo sapiens hsa00053,-0.783868243086028,-2.0983897924553427,0.0,0.0008919280511372082,0.001,4/14,17.97%,ALDH3A2;ALDH9A1;ALDH7A1;ALDH2
prerank,Vitamin digestion and absorption Homo sapiens hsa04977,0.8496178818537439,2.046968774170744,0.0,0.013327046854453597,0.013,2/22,0.17%,CUBN;PLB1
prerank,Viral myocarditis Homo sapiens hsa05416,0.6861173972093119,1.800122491722826,0.002600780234070221,0.3675189459478165,0.427,7/38,2.65%,CXADR;CD55;SGCG;DAG1;SGCA;SGCD;CAV1
prerank,Glycosaminoglycan biosynthesis - heparan sulfate / heparin Homo sapiens hsa00534,-0.563891117131852,-1.7306486912145969,0.014545454545454545,0.10257172588077895,0.195,13/24,16.87%,HS6ST2;HS3ST3A1;NDST3;HS6ST3;XYLT1;EXTL3;XYLT2;EXT2;HS3ST3B1;B3GAT3;EXTL2;HS3ST1;B4GALT7
prerank,Regulation of lipolysis in adipocytes Homo sapiens hsa04923,-0.4779174603434121,-1.7238327002187421,0.0,0.07373271889400922,0.206,17/52,10.43%,PRKG1;PIK3R1;INSR;GNAS;ADCY5;AKT3;PDE3B;ADCY7;MGLL;PTGS2;PIK3CB;ADCY1;ADCY4;GNAI1;LIPE;PIK3CD;NPR1
prerank,ECM-receptor interaction Homo sapiens hsa04512,0.5869890672102442,1.6916172824342963,0.0023094688221709007,0.7186353726901517,0.773,16/81,5.75%,FN1;ITGB4;ITGA10;TNXB;CD44;ITGB8;LAMA4;LAMC2;COL4A3;COL4A4;DAG1;ITGB7;LAMA5;COL6A1;COL6A3;SDC4
prerank,Mucin type O-Glycan biosynthesis Homo sapiens hsa00512,-0.5240762124147017,-1.6841913234807262,0.006825938566552901,0.08228036271740746,0.299,13/29,18.27%,ST3GAL1;GALNT7;GALNT18;GALNT13;GALNT15;C1GALT1;GALNT16;GALNT2;GALNT14;B4GALT5;GCNT1;C1GALT1C1;GALNT9
prerank,Complement and coagulation cascades Homo sapiens hsa04610,0.5874423949762254,1.6552924228705215,0.008413461538461538,0.7355504706208043,0.858,9/69,6.28%,CD55;CLU;F5;C8A;CFH;SERPINC1;PROCR;THBD;KLKB1
prerank,Bacterial invasion of epithelial cells Homo sapiens hsa05100,0.5848570267997847,1.6528208274618108,0.01875732708089097,0.6009472973908229,0.864,18/69,12.98%,FN1;CDH1;GAB1;CAV1;CLTB;CTNNA1;CAV2;SHC1;PXN;ARHGAP10;ILK;CDC42;ACTB;ACTG1;RHOA;WASF1;BCAR1;DOCK1
prerank,Hedgehog signaling pathway Homo sapiens hsa04340,0.6081656725239294,1.642639873420102,0.011583011583011582,0.5431625891065126,0.876,10/48,7.96%,WNT16;WNT1;SMO;WNT10A;GLI3;WNT11;WNT6;ZIC2;BMP4;WNT5B
prerank,Glycosylphosphatidylinositol(GPI)-anchor biosynthesis Homo sapiens hsa00563,0.6678117055763199,1.6246688522622577,0.028530670470756064,0.5373289550438488,0.909,12/24,19.44%,PIGU;GPAA1;PIGZ;PIGT;PIGA;PIGX;DPM2;PIGS;PIGN;PIGP;PIGQ;GPLD1
