Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Protein digestion and absorption Homo sapiens hsa04974,0.6630100792973356,1.8064007920454301,0.0,0.061559380697796595,0.058,25/79,10.39%,COL14A1;COL3A1;COL5A2;COL6A3;COL1A2;KCNK5;SLC1A5;COL1A1;COL17A1;COL5A1;DPP4;COL11A1;COL5A3;COL6A2;ELN;ATP1A4;ATP1A3;ATP1A1;COL12A1;PRCP;COL6A1;COL15A1;COL9A3;COL2A1;SLC16A10
prerank,Pentose and glucuronate interconversions Homo sapiens hsa00040,0.705178206022986,1.6790131025662216,0.007334963325183374,0.24816125343799253,0.356,4/23,5.80%,AKR1B1;UGDH;UGP2;ALDH3A2
prerank,Amino sugar and nucleotide sugar metabolism Homo sapiens hsa00520,0.6278938539744634,1.6156516145601396,0.0033783783783783786,0.4023803269569517,0.653,9/45,11.25%,GFPT2;UAP1;UGDH;UGP2;GFPT1;GNPNAT1;NAGK;GALK1;GMPPB
prerank,Graft-versus-host disease Homo sapiens hsa05332,0.7023447282143327,1.5686538604470845,0.03674540682414698,0.5328733891653018,0.831,2/17,2.59%,CD80;KIR3DL2
prerank,Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate Homo sapiens hsa00532,0.6734290802429492,1.5622985600411294,0.0175,0.4593868784573071,0.86,11/20,23.53%,CSGALNACT2;CHST12;CHST14;CHSY3;B3GAT3;XYLT1;CHPF;XYLT2;CHST7;CHPF2;UST
prerank,Malaria Homo sapiens hsa05144,0.607028812901794,1.561940227719067,0.01791713325867861,0.3842651966995272,0.86,14/42,17.74%,COMP;THBS3;LRP1;TGFB3;TGFB2;THBS4;CD81;GYPC;TLR4;ACKR1;IL6;HGF;SDC2;IL18
prerank,Fatty acid biosynthesis Homo sapiens hsa00061,-0.5653333536848516,-1.5580323644375802,0.04887218045112782,0.7950091855480711,0.418,5/13,12.61%,ACSL1;ACSL4;ACSL3;ACACB;ACSL6
prerank,Vasopressin-regulated water reabsorption Homo sapiens hsa04962,0.5853055467382879,1.5230809304410962,0.017857142857142856,0.5082771187525661,0.946,15/40,18.56%,GNAS;CREB5;DCTN1;DYNC1LI2;CREB3L1;DYNC1LI1;DYNC1I1;STX4;DYNC1H1;NSF;DYNC2LI1;RAB5B;RAB5C;DYNC2H1;VAMP2
prerank,Hematopoietic cell lineage Homo sapiens hsa04640,0.5568736649007391,1.5179386359142182,0.016094420600858368,0.4686688788281468,0.953,16/70,14.88%,CD34;IL4R;CD55;CD9;CD44;ITGB3;ANPEP;ITGA2;ITGA5;FLT3LG;CSF2RA;FLT3;IL5;CR2;IL4;CD14
prerank,Phototransduction Homo sapiens hsa04744,0.6512981715207821,1.4916177553157626,0.047073791348600506,0.5483701082645736,0.981,5/21,13.76%,RCVRN;CNGB1;SAG;CALM2;GNB1
prerank,Galactose metabolism Homo sapiens hsa00052,0.6186779546789144,1.4816951521764938,0.0343558282208589,0.5422996693346519,0.984,8/27,16.40%,AKR1B1;PFKP;UGP2;B4GALT1;GALK1;GLA;GAA;G6PC3
prerank,Bile secretion Homo sapiens hsa04976,-0.3645760014620167,-1.4799009376312517,0.014084507042253521,0.6434476423759952,0.586,9/62,2.67%,ATP1A2;ABCC4;ADCY5;SLC22A8;ATP1B3;ADCY1;ABCG2;SLC2A1;SCARB1
prerank,Ovarian steroidogenesis Homo sapiens hsa04913,-0.38580675183663715,-1.4728728472856238,0.030303030303030304,0.4491733006736069,0.605,10/42,9.13%,BMP6;ADCY5;ADCY1;INSR;IGF1;SCARB1;IGF1R;PTGS2;ADCY4;ADCY9
prerank,ECM-receptor interaction Homo sapiens hsa04512,0.5331749859013603,1.453175787962067,0.02410901467505241,0.6473353626502674,0.997,21/81,10.15%,COMP;COL6A3;COL1A2;TNXB;COL1A1;THBS3;ITGA11;SV2C;COL6A2;CD44;ITGB3;TNN;ITGA2;ITGA5;ITGB5;THBS4;COL6A1;ITGAV;COL9A3;COL2A1;CD47
prerank,Glycosaminoglycan biosynthesis - keratan sulfate Homo sapiens hsa00533,0.6758619833849705,1.4361434955789418,0.0681198910081744,0.6902986804289378,0.997,4/13,2.93%,ST3GAL2;B4GALT3;B4GALT1;CHST1
prerank,Phagosome Homo sapiens hsa04145,0.5106555317544007,1.425073336641887,0.017293997965412006,0.7031975410479073,0.998,34/119,17.58%,COMP;THBS3;NCF4;MRC2;RAB7B;ITGB3;DYNC1LI2;ATP6V0A2;ITGA2;ITGA5;ITGB5;COLEC11;SEC22B;THBS4;DYNC1LI1;DYNC1I1;TLR4;ITGAV;STX12;TUBB6;ATP6V1E1;ATP6AP1;TUBB4A;TUBA4A;CD14;ATP6V0A1;SEC61A1;DYNC1H1;ATP6V1D;ACTG1;ATP6V1B2;RAB5B;RAB5C;DYNC2H1
prerank,SNARE interactions in vesicular transport Homo sapiens hsa04130,0.5750982589278121,1.4146662747217478,0.0625,0.7174141219267769,1.0,25/33,28.66%,STX2;BET1L;STX1A;STX5;STX11;VAMP1;SEC22B;STX1B;STX4;SNAP23;STX17;GOSR1;STX3;VAMP2;VAMP4;STX16;USE1;VTI1A;BNIP1;STX7;GOSR2;VAMP3;YKT6;STX8;VAMP7
prerank,Autoimmune thyroid disease Homo sapiens hsa05320,0.6122900263480825,1.4109920098336124,0.08129032258064516,0.6929919033344665,1.0,4/18,14.83%,CD80;TSHR;IL5;IL4
prerank,Cocaine addiction Homo sapiens hsa05030,0.5243503464758008,1.3948398236802622,0.0756578947368421,0.7446641100621156,1.0,10/48,9.39%,GNAS;CREB5;GNAI3;DLG4;PPP1R1B;GRIN3A;CREB3L1;GRIN2D;GPSM1;GRIA2
