Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Osteoclast differentiation Homo sapiens hsa04380,0.7910920569454316,2.0182476309696002,0.0,0.0,0.0,42/118,6.68%,LCP2;BTK;LILRB1;LILRB3;TREM2;BLNK;CALCR;PIK3CG;PIK3R5;CYBB;TGFB1;SYK;FCGR2B;NCF4;IL1A;SIRPA;PIK3CD;ITGB3;CSF1R;PLCG2;TGFBR1;TYK2;NFATC1;GRB2;NCF2;CTSK;PIK3CB;TEC;TNFRSF11A;MAPK14;FCGR1A;MAP2K6;TNF;MITF;TRAF2;IFNAR1;SPI1;MAP3K14;IFNGR2;TYROBP;GAB2;TGFBR2
prerank,Natural killer cell mediated cytotoxicity Homo sapiens hsa04650,0.7821691800203825,1.9892036035695742,0.0,0.0,0.0,28/90,6.55%,LCP2;VAV1;PTK2B;ITGAL;SH3BP2;CD48;PIK3CG;KLRK1;PIK3R5;NCR1;SYK;ITGB2;LAT;PIK3CD;PLCG2;NFATC1;GRB2;PIK3CB;VAV2;TNF;FCER1G;IFNAR1;VAV3;IFNGR2;SHC2;PRKCB;TYROBP;RAET1E
prerank,B cell receptor signaling pathway Homo sapiens hsa04662,0.7790681223143586,1.9561642947980988,0.0,0.0,0.0,25/72,8.20%,CD22;VAV1;BTK;LILRB3;BLNK;INPP5D;LYN;PIK3CG;PIK3R5;CARD11;DAPP1;SYK;FCGR2B;PIK3CD;PIK3AP1;PLCG2;NFATC1;GRB2;PIK3CB;VAV2;VAV3;PRKCB;CD72;MALT1;RASGRP3
prerank,Primary immunodeficiency Homo sapiens hsa05340,0.8460247898706877,1.9528252914869704,0.0,0.0,0.0,5/36,0.93%,PTPRC;BTK;BLNK;CIITA;CD3E
prerank,Hematopoietic cell lineage Homo sapiens hsa04640,0.7821013479075642,1.937730126902652,0.0,0.0,0.0,22/70,9.31%,CD22;ITGA2B;GP1BA;CD3E;FLT3;CD7;CSF3R;IL1A;ITGA4;ITGB3;CSF1R;ITGA2;CD9;FCGR1A;TNF;ITGA6;IL6R;CD14;CD44;EPO;FLT3LG;ITGAM
prerank,Fc epsilon RI signaling pathway Homo sapiens hsa04664,0.7817103617666454,1.9344770622414043,0.0,0.0,0.0,21/62,6.59%,LCP2;VAV1;BTK;INPP5D;LYN;PIK3CG;PIK3R5;SYK;LAT;PIK3CD;PLCG2;GRB2;PIK3CB;VAV2;MAPK14;MAP2K6;TNF;FCER1G;VAV3;MAP2K3;GAB2
prerank,Fc gamma R-mediated phagocytosis Homo sapiens hsa04666,0.7470945619097505,1.9213400001169956,0.0,0.0,0.0,27/88,7.58%,PTPRC;DOCK2;VAV1;INPP5D;LYN;PIK3CG;HCK;PIK3R5;SYK;FCGR2B;LAT;PIK3CD;PLCG2;PRKCD;PIK3CB;VAV2;FCGR1A;ASAP1;PIP5K1C;VAV3;ARPC2;PLD2;PRKCB;GAB2;DNM2;ARPC3;WASF2
prerank,Graft-versus-host disease Homo sapiens hsa05332,0.8913545209031937,1.9085134418520302,0.0,0.0001256872175621841,0.001,4/17,6.74%,CD86;IL1A;TNF;CD80
prerank,Rheumatoid arthritis Homo sapiens hsa05323,0.7701702325018993,1.8676745855511119,0.0,0.00022344394233277172,0.002,20/66,7.43%,CD86;ITGAL;ATP6V0D2;TGFB1;ITGB2;CXCL5;IL1A;ATP6V0E1;TLR2;TCIRG1;CTSK;CTSL;TNFRSF11A;ATP6V1C1;TNF;ATP6V1E1;ATP6V0A2;IL18;CD80;ATP6V0D1
prerank,T cell receptor signaling pathway Homo sapiens hsa04660,0.7177583450838436,1.8474343425424988,0.0,0.00020109954809949458,0.002,22/102,5.66%,PTPRC;LCP2;GRAP2;VAV1;PIK3CG;PIK3R5;CARD11;CD3E;PDCD1;LAT;PIK3CD;CBL;NFATC1;GRB2;PIK3CB;TEC;VAV2;MAPK14;NCK2;TNF;VAV3;MAP3K14
prerank,"Alanine, aspartate and glutamate metabolism Homo sapiens hsa00250",-0.5398065694753305,-1.8387276658283707,0.0,0.054441505247888045,0.055,21/32,29.97%,FOLH1;ABAT;GOT1;GLUL;GFPT1;GAD1;ASS1;RIMKLA;ASL;ADSL;GAD2;GLS;GLS2;ALDH4A1;GFPT2;PPAT;AGXT;ASNS;NAT8L;GPT2;CAD
prerank,Allograft rejection Homo sapiens hsa05330,0.8676408785066614,1.833436645959675,0.0,0.0009140888549977026,0.01,3/17,6.74%,CD86;TNF;CD80
prerank,Platelet activation Homo sapiens hsa04611,0.7096120636453912,1.824467346194937,0.0,0.0013406636539966305,0.016,30/115,6.62%,LCP2;GP6;BTK;FERMT3;TBXAS1;LYN;PIK3CG;ITGA2B;P2RX1;PLCB2;PIK3R5;GP1BA;APBB1IP;SYK;ADCY7;PIK3CD;ITGB3;PLCG2;ITGA2;GNAQ;PIK3CB;MAPK14;FCER1G;MYLK3;ADCY6;RASGRP2;RAP1B;MYL12A;ACTB;GNA13
prerank,Glycosaminoglycan degradation Homo sapiens hsa00531,0.8304864406082052,1.797487621530167,0.0024449877750611247,0.002629763321301083,0.034,7/19,4.73%,HPSE;HEXB;GUSB;ARSB;GNS;IDS;HEXA
prerank,Staphylococcus aureus infection Homo sapiens hsa05150,0.7867747166303481,1.7962748051299775,0.0,0.0024419230840652915,0.034,10/33,9.31%,ITGAL;PTAFR;ITGB2;FCGR2B;C1QC;FCGR1A;MASP1;C1QA;C1QB;ITGAM
prerank,Phagosome Homo sapiens hsa04145,0.7025098759942868,1.78990280105769,0.0,0.0027483604906930925,0.039,38/119,11.25%,CTSS;TUBB;TUBB1;ATP6V0D2;CYBB;ITGB2;FCGR2B;NCF4;ITGB3;CORO1A;VAMP3;ATP6V0E1;ITGB5;TLR2;TCIRG1;ITGA2;NCF2;CTSL;MSR1;FCGR1A;ATP6V1C1;SFTPA1;SFTPA2;TUBB3;TUBA4A;ATP6V1E1;ATP6V0A2;CD14;RAB7A;RAB7B;ACTB;ATP6V0D1;ITGAM;ACTG1;TAP1;ATP6V0A1;ATP6AP1;THBS1
prerank,Autoimmune thyroid disease Homo sapiens hsa05320,0.8432944504986343,1.7869121056743806,0.0,0.0027022751775869582,0.041,3/18,6.74%,CD86;TSHB;CD80
prerank,Type I diabetes mellitus Homo sapiens hsa04940,0.806029909367484,1.780602352135991,0.0,0.0028981993696691865,0.046,4/22,6.74%,CD86;IL1A;TNF;CD80
prerank,Carbohydrate digestion and absorption Homo sapiens hsa04973,0.7434872676988328,1.778184458100953,0.0,0.0029047712503260325,0.048,7/41,2.72%,HK3;PIK3CG;PLCB2;PIK3R5;MGAM;PIK3CD;PIK3CB
prerank,Chemokine signaling pathway Homo sapiens hsa04062,0.680086326414957,1.7679069578794817,0.0,0.0036515444260171387,0.06,35/164,6.81%,ARRB2;DOCK2;VAV1;PTK2B;FGR;PF4;LYN;PIK3CG;HCK;PLCB2;PIK3R5;PREX1;CX3CR1;CXCL5;CCR2;ADCY7;PIK3CD;CXCL2;PRKCD;GRB2;PIK3CB;ELMO1;GNGT2;VAV2;GNG12;CCL8;CXCR4;FOXO3;ADCY6;RASGRP2;VAV3;RAP1B;SHC2;PRKCB;CXCL14
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.7540585993182396,1.7522208847914238,0.0,0.005027488702487364,0.083,6/32,6.74%,CD86;TGFB1;ITGA4;CXCR4;MAP3K14;CD80
prerank,NF-kappa B signaling pathway Homo sapiens hsa04064,0.6965542351020982,1.746333784786311,0.0,0.005027488702487364,0.088,32/84,13.66%,BTK;BLNK;LYN;CARD11;SYK;LAT;PLCG2;CXCL2;TRIM25;TNFRSF11A;TNF;TRAF2;TNFAIP3;CD14;TRAF3;MAP3K14;PRKCB;CFLAR;BCL2L1;TICAM1;MALT1;PRKCQ;CSNK2A2;CSNK2A1;GADD45B;LY96;TRAF5;CCL13;TAB2;IKBKG;NFKB1;TRADD
