Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Ribosome Homo sapiens hsa03010,0.9151531017593441,2.6389962633123085,0.0,0.0,0.0,83/126,2.38%,RPLP1;RPL41;FAU;RPL18A;RPS23;RPL26;RPL19;RPS24;MRPL23;RPL17;RPL23;RPL27A;MRPL13;RPL13;RPS8;RPSA;RPS3;MRPS12;RPS12;RPL8;RPL32;RPL37A;RPL28;RPS27A;RPS11;RPL35A;RPS9;RPS29;RPL11;RPS4X;RPS15A;RPS15;RPS16;RPS14;RPL38;RPS21;RPS5;RPL30;RPL18;RPL39;RPL37;RPS7;RPS19;RPS27;RPL5;RSL24D1;RPL24;RPS13;RPL21;RPL34;RPS20;RPS18;RPL36;RPL22;RPS25;RPL27;RPL29;RPL6;RPL9;RPS10;RPLP2;RPLP0;RPL3;RPL15;RPS2;RPL12;RPL13A;RPS26;RPL7;RPS17;RPL23A;RPL7A;RPL14;RPL31;RPL36AL;RPL36A;RPS28;MRPL34;RPL35;RPL4;RPL10;RPS6;RPL10A
prerank,Antigen processing and presentation Homo sapiens hsa04612,0.8281717511068498,2.184150968288605,0.0,0.0,0.0,19/43,7.53%,HSPA8;CD74;CTSB;B2M;CTSL;HSP90AA1;HSP90AB1;CALR;CTSS;HSPA5;PSME1;LGMN;PSME2;CANX;TNF;TAPBP;HSPA1B;TAP2;PDIA3
prerank,Mineral absorption Homo sapiens hsa04978,0.7890144554176385,2.1194342944535776,0.0,0.0,0.0,14/50,1.88%,FTH1;FTL;MT1H;MT1M;MT1X;MT1A;MT1B;MT1E;MT1F;MT1G;ATOX1;SLC30A1;HMOX1;MT2A
prerank,Oxidative phosphorylation Homo sapiens hsa00190,0.7243832367271793,2.070164285508874,0.0,0.0,0.0,56/99,15.94%,COX4I1;UQCR11;COX6C;ATP6V0C;UQCR10;NDUFA2;COX6B1;COX7C;COX5B;NDUFA13;NDUFB7;COX8A;NDUFB10;NDUFA4;NDUFV3;NDUFB11;NDUFS7;ATP6V1F;CYC1;NDUFB4;COX6A1;NDUFA6;NDUFS6;COX7A2L;COX17;UQCRH;NDUFA3;UQCRQ;NDUFA4L2;COX7A2;ATP6V1G1;NDUFA5;ATP6AP1;ATP6V0E2;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;SDHB;NDUFS2;UQCRC1;NDUFB9;UQCRB;ATP6V0D2;NDUFS5;NDUFA11;NDUFB5;NDUFA7;NDUFS8;NDUFA9;UQCRFS1;COX5A;COX7B;PPA1
prerank,Parkinson's disease Homo sapiens hsa05012,0.6873280436927713,1.9806564108562719,0.0,0.0005868805312320984,0.003,56/109,14.56%,COX4I1;UQCR11;COX6C;UBB;UQCR10;GNAI2;NDUFA2;COX6B1;COX7C;COX5B;NDUFA13;PARK7;NDUFB7;COX8A;NDUFB10;NDUFA4;NDUFV3;NDUFB11;SLC18A1;NDUFS7;CYC1;SLC25A5;NDUFB4;COX6A1;NDUFA6;PINK1;NDUFS6;COX7A2L;UQCRH;NDUFA3;SLC25A4;UQCRQ;UBE2G2;NDUFA4L2;COX7A2;UCHL1;NDUFA5;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;SDHB;NDUFS2;UQCRC1;NDUFB9;GNAI1;UQCRB;NDUFS5;NDUFA11;NDUFB5;NDUFA7;NDUFS8;NDUFA9;UQCRFS1
prerank,Staphylococcus aureus infection Homo sapiens hsa05150,0.7585887174408816,1.9115836665124226,0.0,0.00081511184893347,0.005,8/33,4.49%,C1QB;C1QA;MBL2;C1QC;C4B;C3;ITGB2;C5AR1
prerank,Phagosome Homo sapiens hsa04145,0.6638335695687229,1.9089995253505672,0.0,0.0006986672990858314,0.005,35/119,9.18%,ACTB;SFTPA1;SFTPA2;ACTG1;TUBB;TUBA1A;CTSL;LAMP1;MBL2;TUBA1B;ATP6V0C;CALR;TUBB4B;MRC1;CTSS;SEC61B;C3;ATP6V1F;CYBA;ITGB2;TUBAL3;CANX;RAC1;TUBA4A;SEC61G;ATP6V1G1;ATP6AP1;ATP6V0E2;TAP2;CYBB;TFRC;CORO1A;TUBB4A;TUBB2B;VAMP3
prerank,Alzheimer's disease Homo sapiens hsa05010,0.6446164947302341,1.88209622338656,0.0,0.001222667773400205,0.01,75/143,19.11%,APOE;COX4I1;UQCR11;COX6C;CALM1;GAPDH;UQCR10;NDUFA2;COX6B1;COX7C;COX5B;NDUFA13;MAPK3;NDUFB7;COX8A;NDUFB10;NDUFA4;NDUFV3;NDUFB11;NDUFS7;CYC1;CALM3;NDUFB4;COX6A1;NDUFA6;NDUFS6;COX7A2L;TNF;UQCRH;NDUFA3;UQCRQ;NDUFA4L2;COX7A2;NDUFA5;PSENEN;NDUFB3;GRIN1;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;GRIN2A;MAPT;SDHB;NDUFS2;LPL;UQCRC1;CDK5R1;NDUFB9;APBB1;UQCRB;NDUFS5;NDUFA11;NDUFB5;TNFRSF1A;NDUFA7;NDUFS8;NDUFA9;UQCRFS1;BAD;COX5A;CDK5;COX7B;BACE1;NDUFS3;PSEN2;ADAM17;APH1B;NDUFV1;NDUFB2;GRIN2B;PPP3CA;CALM2;SNCA
prerank,Huntington's disease Homo sapiens hsa05016,0.6337166987437177,1.849892637745161,0.0,0.0016302236978669399,0.015,73/164,15.83%,COX4I1;UQCR11;COX6C;GPX1;UQCR10;NDUFA2;COX6B1;POLR2E;COX7C;COX5B;NDUFA13;SOD1;NDUFB7;COX8A;NDUFB10;NDUFA4;NDUFV3;NDUFB11;NDUFS7;CYC1;SLC25A5;NDUFB4;GRM5;POLR2D;COX6A1;TGM2;NDUFA6;NDUFS6;COX7A2L;POLR2F;UQCRH;NDUFA3;SLC25A4;UQCRQ;NDUFA4L2;COX7A2;NDUFA5;NDUFB3;GRIN1;NDUFC2;AP2M1;NDUFC1;NDUFA8;NDUFA1;NDUFB8;CLTC;CREB3L4;CREB3;SDHB;NDUFS2;UQCRC1;AP2S1;NDUFB9;POLR2G;UQCRB;HAP1;BAX;NDUFS5;DNAH2;DNAH1;NDUFA11;NDUFB5;POLR2K;DCTN1;NDUFA7;NDUFS8;NDUFA9;BBC3;UQCRFS1;CLTA;DCTN2;COX5A;COX7B
prerank,Pertussis Homo sapiens hsa05133,0.665954599384167,1.83248080169818,0.0,0.0016628281718242786,0.017,20/66,10.64%,SFTPA1;SFTPA2;C1QB;CALM1;C1QA;C1QC;GNAI2;CFL1;C4B;C3;MAPK3;CALM3;ITGB2;TNF;TIRAP;TICAM2;JUN;SERPING1;GNAI1;IRF8
prerank,Complement and coagulation cascades Homo sapiens hsa04610,0.6671247989255618,1.824172646555295,0.0,0.001867347144829404,0.021,17/69,11.57%,C1QB;CLU;C1QA;VTN;MBL2;C1QC;F13A1;C4B;C3;THBD;A2M;ITGB2;C5AR1;F9;SERPING1;PROCR;PLAT
prerank,Non-alcoholic fatty liver disease (NAFLD) Homo sapiens hsa04932,0.6189769981811496,1.8092510190308353,0.0,0.002200801992120369,0.027,57/140,14.56%,COX4I1;UQCR11;COX6C;UQCR10;NDUFA2;COX6B1;COX7C;COX5B;NDUFA13;NDUFB7;COX8A;NDUFB10;ATF4;NDUFA4;AKT1;NDUFV3;NDUFB11;NDUFS7;CYC1;NDUFB4;COX6A1;NDUFA6;NDUFS6;COX7A2L;TNF;UQCRH;NDUFA3;RAC1;UQCRQ;NDUFA4L2;COX7A2;NDUFA5;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;CEBPA;SDHB;NDUFS2;MLXIPL;MLX;UQCRC1;JUN;NDUFB9;UQCRB;BAX;NDUFS5;NDUFA11;NDUFB5;TNFRSF1A;NDUFA7;NDUFS8;NDUFA9;MAPK10;UQCRFS1
prerank,Lysosome Homo sapiens hsa04142,0.6157813522940491,1.7656550690372737,0.0,0.00443922453111459,0.059,39/118,16.33%,PSAP;CTSD;CTSB;CD63;CTSL;LAMP1;CTSZ;ATP6V0C;LAPTM5;GM2A;HEXB;CTSS;LGMN;NPC2;HEXA;LAPTM4A;ATP6AP1;AP3B2;CLTC;GUSB;CD68;SMPD1;GAA;ARSG;FUCA1;ATP6V0D2;CTSA;GNPTG;SLC11A1;CLN5;SGSH;CTSH;SORT1;NAGLU;CLTA;M6PR;ABCA2;NEU1;NAPSA
prerank,Asthma Homo sapiens hsa05310,0.8306446538287187,1.749952857148365,0.0,0.006288005691772482,0.087,4/12,4.09%,PRG2;IL5;TNF;FCER1G
prerank,Biosynthesis of amino acids Homo sapiens hsa01230,0.6240024493500718,1.7260197359464515,0.0,0.00925967060388422,0.131,16/69,7.18%,ALDOA;GAPDH;ALDOC;PGAM4;PGAM1;TALDO1;TPI1;PFKL;PKM;ENO1;PYCR2;BCAT2;PGK1;GLUL;SDS;PHGDH
prerank,Prion diseases Homo sapiens hsa05020,0.6844810496557303,1.7084568503727278,0.0011655011655011655,0.01204327756799202,0.177,16/33,19.67%,C1QB;C1QA;C1QC;SOD1;LAMC1;MAPK3;HSPA5;PRNP;EGR1;NCAM2;BAX;HSPA1A;NCAM1;MAP2K2;NOTCH1;IL6
prerank,Nicotine addiction Homo sapiens hsa05033,0.6534944416786448,1.7007342006148736,0.006896551724137931,0.013348655220181062,0.203,16/39,12.57%,SLC17A8;GABRB1;GRIA2;GABRG3;GRIN1;CACNA1A;GRIN3A;GABRA2;GRIA4;GRIN2A;SLC17A7;SLC17A6;GRIA1;GABRA3;GABRB3;CHRNA4
prerank,Glycolysis / Gluconeogenesis Homo sapiens hsa00010,0.6177025328910049,1.6897380186383233,0.0010893246187363835,0.015541465919664828,0.243,12/60,7.83%,ALDOA;GAPDH;ALDOC;PGAM4;PGAM1;TPI1;PFKL;PKM;ENO1;LDHA;PGK1;ALDH2
