Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Nicotine addiction Homo sapiens hsa05033,-0.5627282906083102,-2.1060099685377462,0.0,0.008540513154561575,0.002,17/39,17.10%,GRIN3A;GABRB1;GABRB3;GRIN2A;GABRA2;GRIN2B;GABRA3;CACNA1B;GABRA5;CHRNA7;GABRB2;GRIA1;SLC17A6;GABRG2;GRIN1;GABRG1;GRIA2
prerank,Mineral absorption Homo sapiens hsa04978,-0.49175750282935154,-1.9302148589644157,0.0,0.055513335504650235,0.026,23/50,21.97%,FTH1;TRPM7;ATP1B1;FTL;ATP1A1;HMOX2;ATP1B3;ATP1A3;ATP1A2;SLC30A1;STEAP2;MT2A;ATOX1;CLCN2;MT1G;MT1F;MT1E;MT1B;MT1A;MT1X;MT1M;MT1H;ATP7A
prerank,DNA replication Homo sapiens hsa03030,0.8574548881268697,1.92602550193872,0.0,0.010382061414245027,0.014,21/35,7.58%,POLE;MCM5;POLA1;PRIM2;POLA2;RFC4;PRIM1;MCM6;MCM7;MCM2;RPA1;POLD3;DNA2;RFC2;MCM3;POLD1;RPA2;MCM4;RFC1;RFC3;RNASEH2A
prerank,Fanconi anemia pathway Homo sapiens hsa03460,0.8504746895705173,1.9252040712638463,0.0,0.0051910307071225134,0.014,19/47,7.20%,BRCA1;EME1;POLK;FANCA;BRIP1;UBE2T;FANCD2;RMI2;RAD51;BRCA2;FANCI;USP1;POLH;RPA1;ERCC4;BLM;RPA2;FANCL;MLH1
prerank,Arginine biosynthesis Homo sapiens hsa00220,-0.6334198838083317,-1.8503056660719117,0.0,0.07401778067286698,0.05,11/18,25.58%,GLUL;GLS;NOS3;GOT2;GOT1;GPT2;GLUD1;NOS1;ASS1;ASL;GLS2
prerank,Homologous recombination Homo sapiens hsa03440,0.8576023138315122,1.8468664149301046,0.0,0.01989895104396964,0.081,12/26,5.98%,EME1;RAD51B;RAD54B;RAD51;RAD54L;BRCA2;XRCC2;RPA1;POLD3;BLM;POLD1;RPA2
prerank,Ribosome Homo sapiens hsa03010,-0.38649806078899873,-1.826412880456988,0.0,0.07045923352513299,0.061,92/126,31.07%,RPL13;RPS8;RPS23;FAU;RPS29;RPL37A;RPS21;RPL38;RPS11;RPL21;RPL35A;RPL17;RPL23;RPL3;RPS15;RPS7;RPS20;RPL18A;RPS6;RPS18;RPL14;RPLP1;RPS13;RPL9;RPL37;RPL8;RPS14;RPSA;RPL10;RPL18;RPL32;RPS28;RPS5;RPS24;RPL15;RPS19;RPL39;RPL12;RPL27;RPL24;MRPS5;RPS12;RPS4X;RPS27;RPL27A;RPS9;MRPS18A;MRPS15;RPL30;MRPS21;MRPS6;RPL19;RPL28;MRPL27;RPL31;MRPL21;RPL13A;RPL36A;RPLP2;RPL29;MRPL23;MRPL4;MRPL9;RPLP0;RPL10A;RPS10;RPL35;RPS26;RPS27A;RPS3;MRPL14;MRPL32;MRPS14;RPL4;MRPS7;RPS25;MRPL3;MRPL17;MRPL28;MRPL30;RPL11;MRPL16;MRPL24;MRPS11;MRPL22;RPS15A;MRPS16;MRPL12;RSL24D1;RPL22;MRPL33;RPL36AL
prerank,Cell cycle Homo sapiens hsa04110,0.7651845752674059,1.8134829589210786,0.0,0.03114618424273508,0.159,47/123,7.96%,CCNB1;CDK1;TTK;BUB1B;PLK1;E2F2;CCNE2;BUB1;ESPL1;CDC20;CCNB2;DBF4;MCM5;ORC1;RBL1;WEE1;E2F1;CDC45;CDKN2D;SMC1A;ANAPC7;CDKN2C;MCM6;RB1;MCM7;MCM2;RAD21;CDC6;GSK3B;E2F3;CDC27;TFDP1;CHEK2;CCNA2;SMC3;PRKDC;MCM3;MCM4;CCNA1;CCNE1;BUB3;ORC2;STAG1;CDC25B;CHEK1;ORC3;CDK2
prerank,Intestinal immune network for IgA production Homo sapiens hsa04672,0.8046757238902403,1.8042279899293345,0.0049079754601227,0.03023775386898864,0.19,5/32,8.15%,TNFSF13B;MAP3K14;ITGB7;CXCR4;CD80
prerank,HIF-1 signaling pathway Homo sapiens hsa04066,-0.3887726639335263,-1.7942725109641682,0.0,0.07601056707559802,0.082,41/97,18.25%,CAMK2D;STAT3;EP300;FLT1;TEK;SLC2A1;INSR;IGF1;PIK3R3;NOS3;PFKFB3;TLR4;AKT2;RBX1;PIK3R1;CUL2;PLCG1;RPS6;LDHA;PDHA1;CAMK2G;PDK1;MAPK3;NOX1;BCL2;IFNGR2;MTOR;MAPK1;ANGPT2;MAP2K1;HK1;PDHB;PGK1;IFNGR1;ENO1;VEGFA;EIF4E2;PRKCG;ERBB2;PIK3CD;PIK3CA
