Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Vascular smooth muscle contraction Homo sapiens hsa04270,0.7846505709574525,2.248655565731788,0.0,0.0,0.0,26/108,2.89%,MYH11;ACTA2;MYLK2;MYLK;KCNMA1;MYL9;PPP1R12A;AGTR1;MYLK4;CACNA1S;ACTG2;CACNA1C;EDNRA;PPP1R12B;CALD1;PRKG1;GUCY1A2;ROCK1;ADCY5;ITPR1;MYL6;ADCY2;PLA2G3;KCNMB1;PLCB4;ADRA1D
prerank,Dilated cardiomyopathy Homo sapiens hsa05414,0.7713063698845417,2.1772212959501225,0.0,0.0,0.0,30/88,4.69%,TPM2;PLN;CACNB2;ITGA8;DMD;TPM1;TTN;RYR2;CACNA1S;CACNA1C;ITGB6;SGCG;MYL2;CACNA2D1;ADCY5;ATP2A2;SGCA;ITGA7;ITGA1;ADCY2;DES;MYL3;SLC8A1;ITGA3;ACTG1;TGFB3;ITGB1;ADCY9;CACNB4;ACTB
prerank,Hypertrophic cardiomyopathy (HCM) Homo sapiens hsa05410,0.7643700246444943,2.138130352724747,0.0,0.0,0.0,27/83,4.69%,TPM2;CACNB2;ITGA8;DMD;TPM1;TTN;RYR2;CACNA1S;CACNA1C;ITGB6;SGCG;MYL2;CACNA2D1;PRKAB2;ATP2A2;SGCA;ITGA7;ITGA1;DES;MYL3;SLC8A1;ITGA3;ACTG1;TGFB3;ITGB1;CACNB4;ACTB
prerank,cGMP-PKG signaling pathway Homo sapiens hsa04022,0.7031474811832462,2.085652368405679,0.0,0.00021888582647267726,0.001,31/158,2.89%,PDE3A;PLN;MYLK2;MYLK;KCNMA1;ATP2A1;MYL9;PPP1R12A;AGTR1;MYLK4;CACNA1S;CACNA1C;EDNRA;MEF2C;ATP2B4;TRPC6;PRKG1;GUCY1A2;ROCK1;ADCY5;ATP2A2;ITPR1;PPP3CA;ADCY2;EDNRB;KCNMB1;PLCB4;SLC8A2;SLC8A1;PDE5A;ADRA1D
prerank,Arrhythmogenic right ventricular cardiomyopathy (ARVC) Homo sapiens hsa05412,0.7449573550079175,2.0314530829767663,0.0,0.0012257606282469926,0.006,23/74,4.69%,CACNB2;CTNNA3;ITGA8;DMD;RYR2;ACTN1;CACNA1S;CACNA1C;ITGB6;ACTN4;SGCG;CACNA2D1;ATP2A2;SGCA;ITGA7;ITGA1;DES;SLC8A1;ITGA3;ACTG1;ITGB1;CACNB4;ACTB
prerank,Calcium signaling pathway Homo sapiens hsa04020,0.6820829126058432,2.0192334231298856,0.0,0.001751086611781418,0.011,33/173,4.13%,PLN;MYLK2;MYLK;RYR1;ATP2A1;AGTR1;RYR2;MYLK4;CACNA1S;LHCGR;TNNC2;CACNA1C;EDNRA;ATP2B4;CAMK2G;PTGER3;ATP2A2;ITPR1;PLCE1;CACNA1H;PPP3CA;ADCY2;EDNRB;PHKG1;PLCB4;SLC8A2;SLC8A1;GRIN2C;ADRA1D;CAMK2D;STIM1;ADCY9;TACR3
prerank,Renin secretion Homo sapiens hsa04924,0.7411577635998331,1.9556061142048722,0.0,0.0077548121378891366,0.056,11/56,2.55%,PDE3A;KCNMA1;AGTR1;CACNA1S;CACNA1C;EDNRA;GUCY1A2;ADCY5;ITPR1;PPP3CA;PLCB4
prerank,Oxytocin signaling pathway Homo sapiens hsa04921,0.6667488654855096,1.9495719814658627,0.0,0.007879889753016381,0.065,31/150,4.82%,CACNB2;MYLK2;MYLK;RYR1;MYL9;PPP1R12A;RYR2;MYLK4;CACNA1S;CACNA1C;MEF2C;PPP1R12B;CAMK2G;GUCY1A2;ROCK1;CACNA2D1;ADCY5;PRKAB2;ITPR1;MYL6;KCNJ12;PPP3CA;ADCY2;PLCB4;CAMK2D;ACTG1;ADCY9;CACNB4;CAMKK2;ACTB;GNAO1
prerank,Cardiac muscle contraction Homo sapiens hsa04260,0.6918081161053528,1.8800230338671453,0.0012254901960784314,0.02451521256493985,0.198,14/72,5.82%,TPM2;CACNB2;TPM1;RYR2;CACNA1S;CACNA1C;MYL2;CACNA2D1;ATP2A2;MYL3;SLC8A1;CACNB4;COX7A2L;ATP1B1
prerank,Adrenergic signaling in cardiomyocytes Homo sapiens hsa04261,0.6320437619144418,1.8657495768989343,0.0,0.026966733821433834,0.231,34/143,9.46%,TPM2;PLN;CACNB2;TPM1;AGTR1;RYR2;CACNA1S;CACNA1C;ATP2B4;CAMK2G;MYL2;CACNA2D1;ADCY5;ATP2A2;ADCY2;PLCB4;MYL3;SLC8A1;ADRA1D;CAMK2D;PPP2R1B;ADCY9;CACNB4;BCL2;ATP1B1;PPP2R5A;CALM1;ATP2B1;PLCB1;PRKACB;TPM4;PPP1CB;PPP1CA;ADCY6
