Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,glutamate receptor activity (GO:0008066),-0.781319024320011,-2.0378911480419344,0.0,0.011089569600620394,0.009,13/19,13.74%,GRM7;GRIA2;GRM5;GRIA1;GRM1;GRM3;GRIK4;GRIA4;GRIK2;GRIK5;GRID2;GRIK1;GRIN2D
prerank,platelet-derived growth factor binding (GO:0048407),-0.8043438487659289,-1.8417110570450765,0.0,0.14214811942613415,0.228,7/11,2.27%,COL1A2;COL3A1;COL1A1;PDGFRB;PDGFRA;COL5A1;COL6A1
prerank,adenylate cyclase binding (GO:0008179),-0.8236584631137516,-1.814408996929072,0.002105263157894737,0.1455085950626858,0.321,5/10,5.97%,ADCY5;ADCY2;AKAP12;AKAP6;CAP2
prerank,retinoid binding (GO:0005501),-0.678154748870219,-1.808454890035344,0.002403846153846154,0.11845676618844513,0.34,7/22,8.27%,ALDH1A2;PTGDS;RBP1;ABCA4;RBP4;CYP26B1;CRABP2
prerank,L-glutamate transmembrane transporter activity (GO:0005313),-0.7721938126569172,-1.8001227201266279,0.0,0.106863125242342,0.372,7/14,15.93%,SLC7A11;SLC1A3;SLC1A2;SLC25A12;SLC25A13;SLC1A1;SLC25A18
prerank,metalloendopeptidase activity (GO:0004222),-0.5258502611742105,-1.7984530731772448,0.0,0.09056481840506656,0.378,22/76,12.47%,TRABD2B;ADAMTS12;ADAMTS2;THSD4;ADAMTSL3;ADAMTS6;ADAMTSL5;ADAMTS10;ADAMTS5;ADAMTSL1;MMP14;ADAMTS17;ADAMTSL4;MMP16;ADAM19;ADAMTS15;ADAMTS1;ADAM33;MMP2;ADAMTS14;ADAM9;MMP11
prerank,aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),-0.7451344405441818,-1.7938676404192075,0.0022675736961451248,0.08180357835262837,0.391,6/15,8.98%,ALDH1A1;ALDH1A2;ALDH4A1;ALDH2;ALDH7A1;ALDH1L1
prerank,aldehyde dehydrogenase (NAD+) activity (GO:0004029),-0.7644082347784686,-1.7912209971836852,0.0,0.07435052345870492,0.402,6/13,8.98%,ALDH1A1;ALDH1A2;ALDH4A1;ALDH2;ALDH7A1;ALDH1L1
prerank,death receptor activity (GO:0005035),0.83982131628756,1.753273433648887,0.005825242718446602,1.0,0.729,6/11,7.30%,TNFRSF19;FAS;TNFRSF11A;TNFRSF1B;TNFRSF25;TNFRSF1A
prerank,pre-mRNA binding (GO:0036002),-0.6212735384043424,-1.7501708034394485,0.0024937655860349127,0.11313601309723836,0.574,9/28,15.56%,CELF2;DDX5;CELF4;U2AF2;RBM4;CELF1;HNRNPU;HNRNPA1;RNPC3
prerank,leak channel activity (GO:0022840),-0.6657997624227423,-1.732131317594965,0.009501187648456057,0.12672353625436214,0.653,3/18,2.75%,KCNK2;NALCN;KCNK5
prerank,acidic amino acid transmembrane transporter activity (GO:0015172),-0.7290120666084893,-1.7269393854795143,0.004618937644341801,0.12262681095562057,0.679,7/15,15.93%,SLC1A3;SLC1A5;SLC1A2;SLC25A12;SLC25A13;SLC1A1;SLC25A18
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),-0.7591216549841865,-1.7262408178577566,0.002304147465437788,0.11350006462453147,0.683,5/13,9.03%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,amino acid:sodium symporter activity (GO:0005283),-0.7549661797238941,-1.7244236476483439,0.01939655172413793,0.10647537805350911,0.689,6/11,7.50%,SLC6A13;SLC1A3;SLC6A1;SLC6A12;SLC6A15;SLC1A2
prerank,phospholipid transfer activity (GO:0120014),0.7334136432624271,1.711179066532451,0.005154639175257732,1.0,0.88,10/21,13.85%,CERT1;PLTP;PRELID2;PITPNM2;GLTP;ABCA3;PLEKHA8;PITPNC1;C2CD2L;PITPNB
prerank,sialyltransferase activity (GO:0008373),0.7399653050065563,1.7084510271563182,0.0016339869281045752,0.9759116447317787,0.886,6/20,7.31%,ST3GAL6;ST6GALNAC3;ST6GAL1;ST3GAL1;ST8SIA4;ST6GALNAC2
prerank,BMP receptor binding (GO:0070700),-0.7591273069482527,-1.7030074120609615,0.008869179600886918,0.12825015232925274,0.788,5/12,9.03%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,sulfuric ester hydrolase activity (GO:0008484),-0.7247159166396119,-1.6984700990833297,0.015317286652078774,0.1260178363706863,0.806,5/12,8.72%,SULF1;SULF2;ARSI;ARSB;ARSG
prerank,transmitter-gated ion channel activity (GO:0022824),-0.5883003668067944,-1.6858703456564264,0.011235955056179775,0.13351589763474214,0.848,13/29,13.74%,GRIA2;GABRG2;GABRA2;GRIK4;GRIA4;GABRB1;GRIK2;GRIK5;GABRB3;GRID2;GRIK1;GABRG3;GRIN2D
