Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,microtubule motor activity (GO:0003777),0.9080182229018164,2.0735085528104817,0.0,0.0,0.0,14/51,1.09%,KIF11;KIF18B;KIF15;KIF20B;KIF4A;CENPE;KIF14;KIF23;KIF2C;KIF24;KIFC1;KIF18A;KIF20A;KIF22
prerank,motor activity (GO:0003774),0.8939039819330575,2.0572326472531453,0.0,0.0,0.0,14/60,1.09%,KIF11;KIF18B;KIF15;KIF20B;KIF4A;CENPE;KIF14;KIF23;KIF2C;KIF24;KIFC1;KIF18A;KIF20A;KIF22
prerank,microtubule binding (GO:0008017),0.7855038608330065,1.8701055552481418,0.0,0.061642825810373725,0.169,48/222,5.67%,PRC1;KIF18B;TPX2;KIF15;KIF20B;CENPE;KIF14;KIF23;KIF2C;NUSAP1;DLGAP5;KIFC1;SKA1;PLK1;BIRC5;FAM83D;SPAG5;RACGAP1;KNSTRN;GTSE1;KIF18A;CEP295;KIF20A;KIF22;CDK5RAP2;CKAP5;GAS2L3;VASH2;SKA2;HAUS8;TERF1;CEP57;MAST2;PSRC1;MAP4K4;CCDC61;HAUS4;HAUS6;MACF1;FAM161A;KIF27;TUBGCP5;SPEF1;CEP57L1;NUMA1;PRNP;MAPT;HAUS7
prerank,single-stranded DNA helicase activity (GO:0017116),0.9059863066988871,1.8675089251626769,0.0013003901170351106,0.04905379800402979,0.177,13/19,6.47%,POLQ;PIF1;RAD51;MCM5;DSCC1;RFC4;MCM6;MCM7;MCM2;DNA2;DHX9;RFC2;RFC3
prerank,DNA replication origin binding (GO:0003688),0.876064766472109,1.8506864688599007,0.0025412960609911056,0.060774616996143116,0.256,16/23,7.64%,MCM5;POLA1;ORC1;DDX11;MCM8;CDC45;MCM10;MCM6;MCM7;MCM2;CDC6;DHX9;MCM3;MCM4;ORC2;ORC3
prerank,single-stranded DNA binding (GO:0003697),0.7782331952766586,1.839038448963952,0.0,0.07408715214767922,0.341,34/93,7.36%,NEIL3;RAD51AP1;RAD51B;RAD51;MCM5;POLA1;DDX11;RAD51AP2;HMGB2;BRCA2;MCM8;CDC45;DMC1;SMC6;FAM111A;MCM10;MCM6;MCM7;MCM2;RBBP8;RPA1;STN1;MSH3;ERCC4;TDP2;DHX9;HNRNPA1;BLM;MAPT;MCM3;RPA2;MCM4;MLH1;NUCKS1
prerank,kinesin binding (GO:0019894),0.8323064210444452,1.816363600446353,0.002442002442002442,0.11447953364783692,0.534,3/27,0.71%,PRC1;KIF18B;FAM83D
prerank,ligand-gated anion channel activity (GO:0099095),-0.6114858302356833,-1.8114768345657086,0.0,0.8055624218711377,0.375,11/17,15.05%,GABRB1;GABRB3;GABRA2;GLRB;GLRA1;GABRA3;GLRA3;GABRA5;GABRB2;GABRG2;GABRG1
prerank,DNA polymerase activity (GO:0034061),0.8412768344388353,1.8017333829955222,0.006578947368421052,0.14260329773737865,0.643,8/22,5.93%,POLK;POLQ;POLE;POLA1;POLH;PRIMPOL;POLD3;POLD1
prerank,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)",0.8945048316238944,1.7984197323925233,0.004261363636363636,0.13592291325010422,0.674,4/13,4.70%,EXO1;ZGRF1;GEN1;DNA2
prerank,DNA-directed DNA polymerase activity (GO:0003887),0.8480665668801384,1.7906687954415625,0.005376344086021506,0.1464668269607049,0.733,8/21,5.93%,POLK;POLQ;POLE;POLA1;POLH;PRIMPOL;POLD3;POLD1
prerank,3'-5' DNA helicase activity (GO:0043138),0.8686078828630396,1.7781853330625534,0.008141112618724558,0.17308926632797642,0.811,9/16,6.08%,NAV2;MCM5;MCM6;MCM7;MCM2;DHX9;BLM;RECQL;ERCC3
prerank,DNA secondary structure binding (GO:0000217),0.8226451266948926,1.7754270554845992,0.003592814371257485,0.16669609233227825,0.821,16/31,9.83%,NEIL3;RAD51AP1;CLSPN;RAD51B;GEN1;RAD18;HMGB2;XRCC2;RBBP8;LIN54;BLM;MAPT;RAD51C;HMGB3;HMGB1;KMT2A
prerank,"DNA binding, bending (GO:0008301)",0.878113107650542,1.7643842963971421,0.009655172413793104,0.1857966862453518,0.883,3/14,1.68%,TOP2A;HMGB2;TERF1
prerank,cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538),0.7782779804422779,1.763293314244477,0.004509582863585118,0.17661847878062817,0.885,10/42,6.37%,CCNF;CCNB1;CCNE2;CKS2;CCNB2;CDKN2D;CDKN2C;CCNA2;CCNA1;CCNE1
prerank,monocarboxylic acid transmembrane transporter activity (GO:0008028),-0.5204915842904148,-1.7543730603144467,0.0056179775280898875,0.7254595919289797,0.568,10/26,15.78%,SLC6A6;SLC16A12;SLC6A1;MPC1;SLC27A1;ABCG2;SLC5A6;SLC16A1;SLC16A4;SLC6A11
prerank,tubulin binding (GO:0015631),0.7343533511777163,1.7460873400788293,0.0,0.2190201435365767,0.929,39/296,2.52%,PRC1;KIF18B;TPX2;KIF15;KIF20B;CENPE;KIF14;BRCA1;KIF23;KIF2C;NUSAP1;DLGAP5;KIFC1;SKA1;PLK1;BIRC5;FAM83D;SPAG5;RACGAP1;GTSE1;KIF18A;CEP295;KIF20A;KIF22;CDK5RAP2;CKAP5;GAS2L3;VASH2;BRCA2;SKA2;HAUS8;TERF1;CEP57;STMN1;MAST2;PSRC1;MAP4K4;CCDC61;HAUS6
prerank,GABA-A receptor activity (GO:0004890),-0.5886532425125076,-1.740983180954163,0.0040650406504065045,0.5410719456470305,0.605,8/18,15.05%,GABRB1;GABRB3;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2;GABRG1
