Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.6843036359847219,-2.2927367399959375,0.0,0.0,0.0,44/53,26.46%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18;RPL18A;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL14;RPL8;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL36A;RPL36AL;RPL31;RPL7A;RPL35;RPL28;RPLP0
prerank,large ribosomal subunit (GO:0015934),-0.6599026185051065,-2.2692799138329613,0.0,0.0,0.0,40/57,22.61%,RPL38;RPLP1;RPL21;RPL41;RPL37A;RPLP2;RPL27A;RPL34;RPL13;RPL9;RPL30;RPL37;RPL19;RPL18;RPL18A;RPL23;RPL17;RPL22;RPL23A;RPL26;RPL35A;RPL11;RPL13A;RPL7;RPL36;RPL32;RPL39;RPL14;RPL8;RPL24;RPL29;RPL10A;RPL3;RPL12;RPL27;RPL5;RPL4;RPL36A;RPL36AL;RPL31
prerank,small ribosomal subunit (GO:0015935),-0.5988415923302518,-1.9295079913253275,0.0,0.011541802837876971,0.028,28/41,19.40%,RPS14;RPS9;RPS13;RPS21;RPS29;RPS19;RPS3;RPS8;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RACK1;RPS27A;RPS12;RPS28;RPS10
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.6166322133351179,-1.8993231240826414,0.006993006993006993,0.014520332602490384,0.047,27/36,19.40%,RPS14;RPS9;RPS13;RPS21;RPS29;RPS19;RPS3;RPS8;RPS23;RPS5;RPS4X;RPS16;RPS15;RPS27;RPS11;RPS24;RPS7;RPS20;RPS25;RPS18;RPS17;RPS2;MRPS11;RPS27A;RPS12;RPS28;RPS10
prerank,connexin complex (GO:0005922),-0.6842124897974639,-1.832601735606997,0.007556675062972292,0.037976254498821,0.137,5/19,4.99%,GJB6;GJB2;GJC1;GJD3;GJA1
prerank,integral component of postsynaptic specialization membrane (GO:0099060),-0.7247323258021184,-1.8319504251484193,0.0027247956403269754,0.032205353079882516,0.14,8/15,13.52%,CDH2;LRRC4C;LRFN2;LRFN5;LRRC4B;SORCS3;GSG1L;ADAM22
prerank,ribosome (GO:0005840),-0.5518795086378036,-1.8292863202143421,0.0,0.027764152448717876,0.14,40/61,22.61%,RPL38;RPS9;RPS13;RPL41;RPS21;RPS29;RPS19;RPS3;RPS23;RPS5;RPS4X;RPL9;RPS27;RPL30;RPS11;RPL19;RPL18;RPL18A;RPS7;RPL23;RPS25;RPS18;RPL11;RPL13A;RPL36;RPS17;RPL32;RPL39;RPL8;RPL24;SF1;BTF3;RPL10A;RPL27;RPS28;RPS10;SERP1;MRPS12;RPL36A;RPL31
prerank,spanning component of membrane (GO:0089717),0.8252518151241715,1.8267220435640907,0.0034129692832764505,0.23761463438303654,0.183,3/18,0.69%,SLC4A4;SLC12A2;SLC24A3
prerank,basolateral plasma membrane (GO:0016323),0.6170635115516813,1.7709081051039959,0.0,0.3096624452100215,0.405,27/143,6.71%,SLC4A10;SLC47A1;SLC26A7;SLC4A4;SLC23A2;EGFR;SLC38A1;SLC5A6;PKD1;ANK2;EZR;DISP1;ANXA2;SLC16A1;CNNM2;PLPP3;CXADR;CD44;SLC26A6;SLC39A14;DLG2;LDLR;SLC4A2;LRP1;B4GALT1;IDE;DLG1
prerank,spanning component of plasma membrane (GO:0044214),0.8069885292047693,1.6865750088833829,0.020036429872495445,0.6590863754238978,0.809,3/13,4.96%,SLC4A4;SLC24A3;TRPM4
