Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,glutamate receptor activity (GO:0008066),-0.7812733987302268,-1.9892708361893525,0.0,0.022238464768362283,0.021,13/19,13.75%,GRM7;GRIA2;GRM5;GRIA1;GRM1;GRM3;GRIK4;GRIA4;GRIK2;GRIK5;GRID2;GRIK1;GRIN2D
prerank,L-glutamate transmembrane transporter activity (GO:0005313),-0.7720882159873108,-1.865502867509749,0.0,0.10815980591885292,0.18,7/14,15.94%,SLC7A11;SLC1A3;SLC1A2;SLC25A12;SLC25A13;SLC1A1;SLC25A18
prerank,aldehyde dehydrogenase [NAD(P)+] activity (GO:0004030),-0.745082893121783,-1.8382738763411322,0.0,0.10377950225235733,0.248,6/15,8.99%,ALDH1A1;ALDH1A2;ALDH4A1;ALDH2;ALDH7A1;ALDH1L1
prerank,adenylate cyclase binding (GO:0008179),-0.8236659169618544,-1.8381796307466263,0.0,0.077834626689268,0.248,5/10,5.97%,ADCY5;ADCY2;AKAP12;AKAP6;CAP2
prerank,acidic amino acid transmembrane transporter activity (GO:0015172),-0.7289064645626637,-1.8191555708288267,0.0,0.08147364819681818,0.299,7/15,15.94%,SLC1A3;SLC1A5;SLC1A2;SLC25A12;SLC25A13;SLC1A1;SLC25A18
prerank,platelet-derived growth factor binding (GO:0048407),-0.80434663839965,-1.8147530509510674,0.0,0.07278043015100384,0.319,7/11,2.27%,COL1A2;COL3A1;COL1A1;PDGFRB;PDGFRA;COL5A1;COL6A1
prerank,retinoid binding (GO:0005501),-0.6781022762367451,-1.813338655711574,0.0,0.06426049884364426,0.325,7/22,8.27%,ALDH1A2;PTGDS;RBP1;ABCA4;RBP4;CYP26B1;CRABP2
prerank,transmembrane receptor protein serine/threonine kinase binding (GO:0070696),-0.759070183563673,-1.8036014965553413,0.0022172949002217295,0.06229297233410572,0.354,5/13,9.04%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,aldehyde dehydrogenase (NAD+) activity (GO:0004029),-0.7643566924172531,-1.8032174102396454,0.0,0.05559616192090571,0.355,6/13,8.99%,ALDH1A1;ALDH1A2;ALDH4A1;ALDH2;ALDH7A1;ALDH1L1
prerank,metalloendopeptidase activity (GO:0004222),-0.5258028492561493,-1.7948504545007382,0.0,0.055393994059375146,0.376,22/76,12.48%,TRABD2B;ADAMTS12;ADAMTS2;THSD4;ADAMTSL3;ADAMTS6;ADAMTSL5;ADAMTS10;ADAMTS5;ADAMTSL1;MMP14;ADAMTS17;ADAMTSL4;MMP16;ADAM19;ADAMTS15;ADAMTS1;ADAM33;MMP2;ADAMTS14;ADAM9;MMP11
prerank,pre-mRNA binding (GO:0036002),-0.621167384693382,-1.7738915354678293,0.0,0.06745055016519799,0.468,9/28,15.57%,CELF2;DDX5;CELF4;U2AF2;RBM4;CELF1;HNRNPU;HNRNPA1;RNPC3
prerank,BMP receptor binding (GO:0070700),-0.7590758380490807,-1.7460510652830492,0.0045351473922902496,0.08870114924653592,0.584,5/12,9.04%,BMP6;BMP5;BMP7;BMP4;SRC
prerank,sialyltransferase activity (GO:0008373),0.7399116463913287,1.7094253935275832,0.01206896551724138,1.0,0.898,6/20,7.31%,ST3GAL6;ST6GALNAC3;ST6GAL1;ST3GAL1;ST8SIA4;ST6GALNAC2
prerank,amino acid:sodium symporter activity (GO:0005283),-0.7549127747868098,-1.7086682855458257,0.00641025641025641,0.12728799589443726,0.753,6/11,7.50%,SLC6A13;SLC1A3;SLC6A1;SLC6A12;SLC6A15;SLC1A2
prerank,sulfuric ester hydrolase activity (GO:0008484),-0.7246640536749076,-1.7033647229219897,0.002173913043478261,0.1275823611873252,0.782,5/12,8.72%,SULF1;SULF2;ARSI;ARSB;ARSG
prerank,death receptor activity (GO:0005035),0.8397676749408381,1.696997802209574,0.02010968921389397,1.0,0.932,6/11,7.31%,TNFRSF19;FAS;TNFRSF11A;TNFRSF1B;TNFRSF25;TNFRSF1A
prerank,phospholipid transfer activity (GO:0120014),0.7333681797938472,1.6959113374850603,0.010084033613445379,1.0,0.936,10/21,13.86%,CERT1;PLTP;PRELID2;PITPNM2;GLTP;ABCA3;PLEKHA8;PITPNC1;C2CD2L;PITPNB
prerank,leak channel activity (GO:0022840),-0.6658031933769092,-1.6848096991235566,0.009345794392523364,0.14744776034295962,0.857,3/18,2.75%,KCNK2;NALCN;KCNK5
prerank,transmitter-gated ion channel activity (GO:0022824),-0.5882547233459932,-1.681502849901621,0.007246376811594203,0.143539181686702,0.865,13/29,13.75%,GRIA2;GABRG2;GABRA2;GRIK4;GRIA4;GABRB1;GRIK2;GRIK5;GABRB3;GRID2;GRIK1;GABRG3;GRIN2D
