Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,retinoid binding (GO:0005501),-0.7786072309149135,-2.2778646026540814,0.0,0.0,0.0,9/22,13.51%,ALDH1A2;PTGDS;NR2F2;ABCA4;RBP4;RXRA;RBP1;RARA;CYP26B1
prerank,retinoic acid binding (GO:0001972),-0.815964864932825,-2.0006861176749706,0.0,0.012879108477923543,0.021,4/12,13.51%,NR2F2;RXRA;RARA;CYP26B1
prerank,cation channel activity (GO:0005261),-0.49234952695916456,-1.9998501235669046,0.0,0.008586072318615696,0.021,42/94,28.98%,TRPM3;SLC24A3;HCN1;NALCN;MCU;CACNA1D;PKD1;UNC80;ANXA2;TRPM6;TRPC5;SEC61A1;PIEZO2;KCNK5;TRPC1;KCNA1;SLC24A2;ANO1;KCNK10;TMEM63A;ABCC9;TMCO1;ANO6;TMEM63B;TMEM38A;KCNQ4;ANO10;KCNA2;GRIN1;TRPC6;MCOLN1;ANXA6;PANX1;CALHM5;KCNK9;CHRNA7;TRPV2;SLC24A4;KCNK1;TRPC3;TMEM63C;CACNA1E
prerank,transmembrane receptor protein tyrosine kinase activity (GO:0004714),-0.5417820721017359,-1.9743338466548173,0.0,0.009366624347580758,0.031,23/60,10.93%,ERBB4;NTRK3;FGFR2;EGFR;EPHA6;PDGFRB;EPHB1;NTRK2;NRP1;AXL;RYK;EPHA7;ROR1;EFEMP1;KIT;CRIM1;DDR1;PDGFRA;EPHB4;NRP2;EPHB2;EPHA3;IGF2R
prerank,voltage-gated cation channel activity (GO:0022843),-0.4769768122032659,-1.959005322269213,0.0,0.00913245873889124,0.037,40/97,28.98%,CACNA2D3;KCNQ3;KCNB2;CACNA1C;HCN1;KCNH7;KCNQ5;KCNMA1;CACNA1D;CACNB4;GRIN2B;KCNC2;KCND2;CACNA1B;KCNH5;KCNA1;CACNG7;CACNG4;KCNS3;OPRM1;KCNQ4;CACNG2;NCS1;KCNA6;KCNA2;GRIN2D;GRIN1;CACNA2D1;KCNC1;CACNG3;CACNG8;CACNB1;KCNC3;HCN2;KCNQ1;CACNA2D2;KCNQ2;KCNK1;LRRC38;CACNA1E
prerank,platelet-derived growth factor binding (GO:0048407),-0.8239077257645482,-1.955481347969316,0.0,0.008000658296891899,0.038,7/11,6.19%,COL1A2;COL1A1;PDGFRB;COL3A1;COL5A1;COL6A1;PDGFRA
prerank,nucleotidyltransferase activity (GO:0016779),0.6898867885503103,1.8119692155469354,0.0036231884057971015,0.6617146082858826,0.487,9/19,15.07%,THG1L;MOCS3;NUDT5;TENT4A;TERT;CRPPA;TUT7;PAPSS1;TUT4
prerank,delayed rectifier potassium channel activity (GO:0005251),-0.5593248323693514,-1.7737614875661163,0.004975124378109453,0.12845656248110757,0.492,13/32,28.09%,KCNQ3;KCNB2;KCNQ5;KCNC2;KCNA1;KCNS3;KCNQ4;KCNA6;KCNA2;KCNC1;KCNC3;KCNQ1;KCNQ2
prerank,transmembrane receptor protein kinase activity (GO:0019199),-0.48219174959421873,-1.7620678447865137,0.0,0.1317181548878544,0.548,21/60,12.18%,ERBB4;NTRK3;FGFR2;EGFR;EPHA6;PDGFRB;EPHB1;NTRK2;TGFBR2;AXL;RYK;EPHA7;ROR1;KIT;DDR1;PDGFRA;EPHB4;ACVR1;EPHB2;EPHA3;ACVR1B
prerank,glycine binding (GO:0016594),-0.7192605945450805,-1.7575349557577278,0.004246284501061571,0.12540869265372015,0.574,5/11,7.73%,GRIN2B;GLRB;SRR;GLRA3;GLRA1
