Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,apical junction complex (GO:0043296),0.6888392329902258,2.048779199436942,0.0,0.01145929610468305,0.009,14/88,4.74%,CDH1;CXADR;SORBS1;CLDN11;FRMD4B;NECTIN3;POF1B;TJP2;TJP1;OCLN;MAGI2;YBX3;CCDC85C;MTDH
prerank,platelet dense granule (GO:0042827),-0.6819465135221281,-1.992256388509611,0.0,0.02624593097980805,0.022,7/20,8.94%,ITPR1;TIMP3;ABCC4;CLEC3B;LAMP2;ECM1;CDC37L1
prerank,bicellular tight junction (GO:0005923),0.676445120581155,1.95100499916805,0.0,0.04774706710284604,0.077,13/69,8.30%,CXADR;CLDN11;FRMD4B;POF1B;TJP2;TJP1;OCLN;MAGI2;YBX3;MTDH;ANK3;PATJ;PARD6B
prerank,tight junction (GO:0070160),0.6630634284072867,1.9086232242254724,0.0,0.06238950101438548,0.14,15/76,9.27%,CXADR;CLDN11;FRMD4B;POF1B;TJP2;TJP1;OCLN;MAGI2;YBX3;MTDH;ANK3;LSR;PATJ;PARD6B;ACTB
prerank,cornified envelope (GO:0001533),0.7696735376602468,1.8952298453444771,0.001445086705202312,0.059683833878557545,0.178,6/25,7.46%,DSG2;SCEL;PKP4;KAZN;DSC3;DSC2
prerank,brush border membrane (GO:0031526),0.7183436729972681,1.8850668744797716,0.001314060446780552,0.05634153918135832,0.204,2/36,0.17%,CUBN;PLB1
prerank,ionotropic glutamate receptor complex (GO:0008328),-0.5362063338338289,-1.7972781313572137,0.0,0.18486264429256105,0.238,12/32,11.93%,GRIK2;GRID2;VWC2;GRIN2A;GRIA3;GRIA2;SHISA6;GRIN2B;GRIK3;CACNG8;SHISA9;GRIK4
prerank,desmosome (GO:0030057),0.8055471942949806,1.7910096822838615,0.006289308176100629,0.16982040199578904,0.547,6/15,10.10%,DSG2;PKP4;KAZN;DSC3;DSC2;KLHL24
prerank,adherens junction (GO:0005912),0.5781805614539438,1.7601432119600613,0.0010845986984815619,0.1995827404898964,0.669,25/131,7.31%,CDH1;CXADR;SORBS1;PGM5;BAIAP2L1;FRMD4B;NECTIN3;POF1B;PDLIM5;TJP1;JCAD;STXBP6;TMOD3;NIBAN2;PKP4;NDRG1;FAT2;CDC42EP4;CTNNA1;CCDC85C;FLOT2;S100A11;ADD1;ANXA2;PVR
prerank,ion channel complex (GO:0034702),-0.5165504774569875,-1.7194884960333874,0.008064516129032258,0.24306014342170063,0.408,10/35,11.50%,LRRC8C;GRID2;TRPC3;PKD2;TRPC4;TRPC6;UNC80;LRRC8A;TRPC5;SHISA9
