Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,transmitter-gated ion channel activity (GO:0022824),-0.6323589276274507,-2.0433187599913363,0.0,0.012214048170916054,0.012,20/29,22.74%,GRIK2;GRID2;GABRG3;GRIA2;GABRB1;GRIK3;GABRG2;GABRG1;GRIK1;GABRA3;GRIK4;GLRA3;GLRA2;GABRB2;GABRA1;GABRE;GRIA4;GRIK5;GABRB3;CHRNB1
prerank,"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",-0.7990219231488179,-1.9842098565170538,0.0028089887640449437,0.029517283079713796,0.051,9/12,9.95%,PDE7B;PDE3A;PDE8B;PDE8A;PDE4D;PDE3B;PDE4A;PDE4B;PDE2A
prerank,amino acid:sodium symporter activity (GO:0005283),-0.8101703119815429,-1.981937975159937,0.0,0.020696026067385537,0.053,7/11,14.33%,SLC1A3;SLC6A13;SLC6A12;SLC1A2;SLC1A1;SLC6A1;SLC6A15
prerank,phosphatidate phosphatase activity (GO:0008195),0.8649702190680186,1.9180323183523775,0.0032679738562091504,0.3891826044585211,0.278,1/13,0.01%,PLPPR2
prerank,lipid phosphatase activity (GO:0042577),0.8477726183438675,1.8951486998055438,0.003236245954692557,0.30826836399074187,0.384,1/14,0.01%,PLPPR2
prerank,platelet-derived growth factor binding (GO:0048407),-0.766929919851275,-1.8861054384166565,0.0,0.06361483422352111,0.199,6/11,3.97%,PDGFRB;COL1A2;COL1A1;COL5A1;PDGFRA;COL4A1
prerank,inhibitory extracellular ligand-gated ion channel activity (GO:0005237),-0.7167762961060484,-1.864485898080519,0.005305039787798408,0.06880580469616043,0.26,10/13,19.24%,GABRG3;GLRA1;GABRG2;GABRG1;GABRA3;GLRA3;GLRA2;GABRA1;GLRB;GABRE
prerank,cAMP binding (GO:0030552),-0.7671443057418621,-1.8598649553127107,0.0,0.06174879908629783,0.273,7/11,9.95%,RAPGEF2;PDE4D;PDE4A;PDE10A;PDE4B;CNBD2;PDE2A
prerank,mitogen-activated protein kinase kinase kinase binding (GO:0031435),-0.7386436985999846,-1.8471791581020736,0.0,0.060779430183844164,0.311,4/11,10.65%,SASH1;DAB2IP;ROR2;TRAF6
prerank,outward rectifier potassium channel activity (GO:0015271),-0.7353648824638196,-1.822479720789831,0.002652519893899204,0.07315705935704928,0.404,4/11,4.78%,KCNK2;KCNT2;KCND2;PKD2
