Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,maintenance of blood-brain barrier (GO:0035633),-0.6606500791333559,-2.236388871470106,0.0,0.011449993997987016,0.008,15/30,7.61%,TJP1;CDH5;GJB6;OCLN;PECAM1;DMD;CLDN5;LAMA2;ESAM;SLC12A2;F11R;LSR;TJP2;ACTB;GJA1
prerank,superoxide anion generation (GO:0042554),0.8971669905174063,1.925664283168218,0.0,0.07854705134773585,0.069,3/13,0.87%,NOX4;DUOX1;NCF4
prerank,dopaminergic neuron differentiation (GO:0071542),0.8363500280043938,1.8914741346137982,0.0,0.1052142601386338,0.165,5/19,3.91%,LMX1A;LRP6;WNT2;VEGFA;LMX1B
prerank,collagen fibril organization (GO:0030199),0.6827181647451753,1.8780939720559007,0.0,0.10117377395819473,0.224,35/88,10.87%,COL14A1;PLOD2;COL3A1;P4HA3;COL5A2;COL6A3;COL1A2;DDR2;COL1A1;LOXL2;COL17A1;COL5A1;BMP1;COL8A1;COL11A1;COL5A3;ADAMTS2;COL6A2;TGFB2;COL8A2;P4HA1;ADAMTS3;DPT;DST;COL12A1;COL6A1;P4HA2;TLL1;COL15A1;PLOD3;COL9A3;LOXL1;COL2A1;COLGALT1;SERPINH1
prerank,regulation of bicellular tight junction assembly (GO:2000810),-0.6189756304124537,-1.8731119335759263,0.008583690987124463,1.0,0.805,6/19,4.00%,TJP1;PRKCH;OCLN;CLDN5;F11R;NPHP1
prerank,protein localization to cell-cell junction (GO:0150105),-0.6657632286922598,-1.8728911523623306,0.00392156862745098,0.7621879337993358,0.806,7/15,5.82%,TJP1;CGNL1;CDH5;F11R;LSR;TJP2;ACTB
prerank,ethanol metabolic process (GO:0006067),-0.7133170501864768,-1.8566065108643717,0.003787878787878788,0.6726871473817373,0.861,5/12,15.32%,ALDH1A1;ACSS1;ACSS2;ADH1A;SULT1A1
prerank,regulation of cell junction assembly (GO:1901888),-0.5559096172096487,-1.824564423883506,0.0,0.7279906183920145,0.932,8/27,3.21%,TJP1;RAPGEF2;PRKCH;OCLN;PDLIM5;CLDN5;MEF2C;F11R
prerank,protein homotrimerization (GO:0070207),0.8357518017950095,1.805998238399832,0.0,0.30003034181468474,0.681,5/14,4.28%,SCARA5;SLC1A5;DISP1;MIF;P2RX3
prerank,protein trimerization (GO:0070206),0.8357518017950095,1.805998238399832,0.0,0.30003034181468474,0.681,5/14,4.28%,SCARA5;SLC1A5;DISP1;MIF;P2RX3
prerank,nucleotide-sugar biosynthetic process (GO:0009226),0.7938686044026233,1.8054194054158934,0.0,0.25196471821218147,0.683,9/19,11.48%,GFPT2;UAP1;UGDH;UGP2;GFPT1;GNPNAT1;NAGK;GMPPB;SLC35D1
prerank,positive regulation of sodium ion transmembrane transport (GO:1902307),-0.6775007305190893,-1.8046187679239885,0.011764705882352941,0.7320362829379701,0.952,9/12,21.82%,ATP1B3;DMD;WNK4;FXYD1;NOS1;ATP1B1;GLRX;ANK3;ATP1B2
prerank,midbrain dopaminergic neuron differentiation (GO:1904948),0.8689463916401814,1.788583996523182,0.0013831258644536654,0.306846064788774,0.808,3/11,1.22%,LMX1A;LRP6;WNT2
prerank,regulation of transmembrane transport (GO:0034762),-0.5124158732563006,-1.7852720449821802,0.0,0.7457217519546115,0.966,8/31,5.82%,NEDD4L;OCLN;SLC2A1;BCL2;CTTNBP2NL;SNCA;WWP2;ACTB
prerank,UDP-N-acetylglucosamine metabolic process (GO:0006047),0.8365700667438274,1.7836527904700177,0.001349527665317139,0.29503630089566213,0.838,5/13,6.60%,GFPT2;UAP1;GFPT1;GNPNAT1;NAGK
prerank,amino sugar biosynthetic process (GO:0046349),0.8426320450383035,1.771743164019677,0.0,0.32668677597576823,0.891,5/12,6.60%,GFPT2;UAP1;GFPT1;GNPNAT1;NAGK
prerank,smooth muscle cell differentiation (GO:0051145),-0.6516735574000064,-1.771689380776386,0.011857707509881422,0.7329427407961439,0.978,9/12,23.48%,MEF2C;TBX18;MRTFB;TMEM204;EDNRB;MYOCD;APLNR;HEY1;HEY2
prerank,regulation of multicellular organismal development (GO:2000026),-0.553276488079152,-1.769951179687281,0.006172839506172839,0.6602829872172513,0.98,10/25,18.82%,PTN;INSR;TRIP12;MYSM1;SOX17;OAS2;SPAAR;TDG;DUSP6;RACGAP1
prerank,positive regulation of protein processing (GO:0010954),0.7738343151333569,1.7625067601443747,0.0,0.34531611092504605,0.923,6/19,7.12%,GSN;CCBE1;HPN;CLEC3B;KLKB1;MELTF
prerank,B cell homeostasis (GO:0001782),-0.6760395780524366,-1.7584098781689694,0.016778523489932886,0.6605501537438709,0.989,2/10,2.00%,LYN;MEF2C
prerank,transport across blood-brain barrier (GO:0150104),-0.4000921693889572,-1.7537277048873503,0.0,0.6235042186176567,0.993,22/83,5.75%,ATP1A2;SLC24A3;SLC7A2;SLC6A13;SLC1A3;SLC16A12;ABCC4;SLC13A3;SLC22A8;SLC16A2;INSR;ABCG2;SLCO2B1;SLC2A1;SLCO1C1;SLC12A2;SLC6A1;SLC5A3;SLC7A5;ABCC9;SLC6A9;SLC5A5
prerank,UDP-N-acetylglucosamine biosynthetic process (GO:0006048),0.85047307190631,1.7536808292527033,0.0,0.3729882988240969,0.952,5/11,6.60%,GFPT2;UAP1;GFPT1;GNPNAT1;NAGK
prerank,cyclic-nucleotide-mediated signaling (GO:0019935),-0.49486168227351546,-1.7522986232401572,0.0,0.5792742796814931,0.993,13/35,7.48%,PDE7B;IRAG1;RAPGEF2;ADCY1;RAPGEF3;PDE3A;ADGRG6;APOE;NUDT4;KSR1;GUCY1B1;AHR;CAP2
prerank,amino acid import (GO:0043090),-0.5618252233193549,-1.7496442262082899,0.019417475728155338,0.5470454824730567,0.996,6/21,4.70%,SLC6A13;SLC1A3;SLC16A2;SLC6A1;SLC7A5;SLC22A4
prerank,skin development (GO:0043588),0.651727648435646,1.7494967587178696,0.0,0.3676034326963481,0.963,13/65,4.91%,COL3A1;COL5A2;COL1A2;COL1A1;LORICRIN;COL5A1;ANXA1;COL5A3;SCEL;ADAM9;PKD1;KRT10;DACT2
prerank,cGMP-mediated signaling (GO:0019934),-0.6383700281043128,-1.7463125175664969,0.014814814814814815,0.5222015119796222,0.996,5/13,9.63%,IRAG1;PDE3A;APOE;GUCY1B1;PDE2A
prerank,macrophage activation involved in immune response (GO:0002281),0.8193792113018719,1.7454407661351004,0.0026954177897574125,0.3631216011023533,0.97,2/13,0.28%,SYK;LBP
