Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,retinoid binding (GO:0005501),-0.8271720825745689,-2.6532849652239974,0.0,0.0,0.0,8/22,7.46%,NR2F2;ALDH1A2;PTGDS;RBP4;CYP26B1;RBP1;CRABP2;ABCA4
prerank,retinoic acid binding (GO:0001972),-0.7528991148501416,-1.9976759485287299,0.0,0.063081464932578,0.104,2/12,3.87%,NR2F2;CYP26B1
prerank,intracellular ligand-gated ion channel activity (GO:0005217),-0.7719299042871584,-1.9804132181439256,0.0033003300330033004,0.04882576664272987,0.121,4/11,11.15%,ITPR1;RASA3;ITPR3;RYR2
prerank,transmembrane receptor protein phosphatase activity (GO:0019198),-0.6921866883233795,-1.9564044540916306,0.0,0.039345727279980855,0.157,9/16,11.04%,PTPRK;PTPRG;PTPRB;PTPRD;PTPRM;PTPRN2;PTPRZ1;PTPRO;PTPRT
prerank,transmembrane receptor protein tyrosine phosphatase activity (GO:0005001),-0.6921866883233795,-1.9564044540916306,0.0,0.039345727279980855,0.157,9/16,11.04%,PTPRK;PTPRG;PTPRB;PTPRD;PTPRM;PTPRN2;PTPRZ1;PTPRO;PTPRT
prerank,monocarboxylic acid transmembrane transporter activity (GO:0008028),-0.5844318131170062,-1.927279047274544,0.0,0.043479879784036814,0.203,9/26,7.81%,SLC6A13;SLC16A12;SLC16A2;ABCG2;SLC16A6;SLC6A12;SLC6A1;SLC16A11;SLC16A4
prerank,monocarboxylic acid binding (GO:0033293),-0.6369220383811586,-1.9160217499491923,0.010101010101010102,0.04093421937513536,0.218,3/18,6.33%,NR2F2;CYP26B1;NAPEPLD
prerank,"oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor (GO:0050664)",0.8723643099251446,1.8813563880677364,0.0,0.04923365212933335,0.046,3/14,0.87%,NOX4;DUOX1;NCF4
prerank,"inositol 1,4,5 trisphosphate binding (GO:0070679)",-0.723368485770419,-1.8593459175411833,0.0036363636363636364,0.06187864038937206,0.336,7/11,14.13%,ITPR1;TRPC5;ITPR3;TRPC6;TRPC4;TRPC7;TRPC3
prerank,superoxide-generating NAD(P)H oxidase activity (GO:0016175),0.9199474702531701,1.8442748630855441,0.0,0.0689271129810667,0.113,3/10,0.87%,NOX4;DUOX1;NCF4
prerank,store-operated calcium channel activity (GO:0015279),-0.7182390059985213,-1.8429992679204914,0.012987012987012988,0.06438823727581407,0.389,6/10,14.13%,TRPC5;TRPC6;TRPC4;ORAI2;TRPC7;TRPC3
prerank,CoA-ligase activity (GO:0016405),-0.6678652294062531,-1.8231323588364965,0.004132231404958678,0.06949652916300966,0.442,5/14,12.68%,ACSL1;ACSS3;AACS;ACSS1;ACSS2
prerank,semaphorin receptor activity (GO:0017154),-0.7224497885948472,-1.7868318674744739,0.011029411764705883,0.0875753465396807,0.549,6/11,8.64%,PLXNA2;NRP2;PLXNA4;PLXND1;NRP1;PLXNB1
prerank,carboxylic acid transmembrane transporter activity (GO:0046943),-0.46142034498433226,-1.7756219249376728,0.0,0.08829623128274688,0.589,12/55,4.70%,SLC7A2;SLC6A13;SLC16A12;SLC13A3;SLC16A2;SLC16A6;SLC6A12;PDPN;SLC38A11;SLC7A5;SLC16A11;SLC22A4
prerank,amino acid:sodium symporter activity (GO:0005283),-0.6997422653194942,-1.7626990253220634,0.020905923344947737,0.09038661011851788,0.622,4/11,3.01%,SLC6A13;SLC1A3;SLC6A12;SLC6A1
prerank,acid-thiol ligase activity (GO:0016878),-0.6753451803945459,-1.7590187167127016,0.008,0.08637425767402628,0.637,5/13,12.68%,ACSL1;ACSS3;AACS;ACSS1;ACSS2
