Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,negative regulation of androgen receptor signaling pathway (GO:0060766),-0.7931295563083957,-2.054975871643429,0.0,0.11973829700211037,0.112,3/12,2.24%,FOXP1;SMARCA4;NCOR1
prerank,positive regulation of BMP signaling pathway (GO:0030513),-0.5971009868308851,-2.0052468142245745,0.0,0.12410830784160344,0.223,10/25,13.87%,CDH5;BMPR1A;FOXD1;BMP4;SULF1;ZNF423;ACVRL1;SMAD4;CCN1;UBE2O
prerank,positive regulation of T cell proliferation (GO:0042102),0.8108510216963155,2.0005663221980403,0.0,0.0010259844431380436,0.001,17/55,9.75%,NCKAP1L;PTPRC;CD86;CD3E;SYK;CCR2;PDCD1LG2;NCK2;PYCARD;CCDC88B;IL18;HMGB1;ANXA1;AIF1;CD80;PNP;CD274
prerank,neutrophil chemotaxis (GO:0030593),0.8109350412451332,1.991465882637583,0.0,0.0005129922215690218,0.001,12/53,3.98%,NCKAP1L;PF4;LGALS3;PIK3CG;SYK;ITGB2;CXCL5;PIK3CD;CXCL2;CCL8;FCER1G;PIP5K1C
prerank,regulation of immune response (GO:0050776),0.7758508206157498,1.9910269999109615,0.0,0.00034199481437934784,0.001,33/135,6.55%,SLAMF7;CD300LB;CD22;CD226;LILRB1;TREM2;ITGAL;TREML2;FGR;LYN;SLAMF6;KLRK1;IRF4;NCR1;TREML4;CD3E;SYK;ITGB2;FCGR2B;ADCY7;PDCD1;TREML1;ITGA4;CD300A;CD200R1;CRTAM;FCGR1A;LAIR1;CD300LF;TRAF3;SAMHD1;TYROBP;RAET1E
prerank,regulation of T cell proliferation (GO:0042129),0.8082969484156179,1.987435937129165,0.0,0.0002564961107845109,0.001,19/61,11.69%,NCKAP1L;PTPRC;CD86;LILRB1;GPNMB;LGALS3;CD3E;PDCD1LG2;NCK2;TNFSF8;CCDC88B;ANXA1;AIF1;CD80;CEBPB;PNP;CD274;TNFRSF21;TNFRSF1B
prerank,regulation of natural killer cell mediated cytotoxicity (GO:0042269),0.8847544108977755,1.985346116033996,0.0,0.00020519688862760872,0.001,7/23,2.20%,ARRB2;CD226;LILRB1;SLAMF6;KLRK1;NCR1;CRTAM
prerank,positive regulation of T cell activation (GO:0050870),0.7977331530569318,1.9792583490086175,0.0,0.00017099740718967392,0.001,19/62,8.29%,NCKAP1L;PTPRC;CD86;DOCK8;CD3E;CCR2;PDCD1LG2;SIRPA;CYRIB;THY1;MDK;NCK2;PYCARD;CCDC88B;ANXA1;AIF1;CD80;PRKCQ;PNP
prerank,negative regulation of antigen receptor-mediated signaling pathway (GO:0050858),0.894880101330924,1.9705715072412595,0.0,0.00014656920616257766,0.001,9/22,2.44%,CD22;LGALS3;FCGR2B;DGKZ;CD300A;LAPTM5;PTPRJ;THY1;DUSP3
prerank,B cell receptor signaling pathway (GO:0050853),0.8544816973653399,1.9663785567893992,0.0,0.00012824805539225545,0.001,13/32,6.13%,NCKAP1L;PTPRC;BTK;BLNK;SYK;RFTN1;PIK3CD;PLCG2;TEC;LAT2;VAV3;NFAM1;PRKCB
prerank,regulation of interleukin-2 production (GO:0032663),0.8130553452022022,1.9631586376262997,0.0,0.0001139982714597826,0.001,18/43,8.56%,PTPRC;CD86;RUNX1;CARD11;IRF4;CCR2;IL1A;LAPTM5;HAVCR2;PLCG2;PRKD2;TRAF2;TNFAIP3;ANXA1;CD80;MALT1;PNP;TRIM27
prerank,positive regulation of phagocytosis (GO:0050766),0.7993660925358721,1.9597760447292163,0.0,0.00010259844431380436,0.001,14/47,5.11%,NCKAP1L;PTPRC;DOCK2;TREM2;SLC11A1;FCGR2B;STAP1;SIRPA;PTPRJ;CAMK1D;TNF;FCER1G;PYCARD;CD300LF
prerank,negative regulation of T cell activation (GO:0050868),0.8378751476868388,1.9595091085780347,0.0,9.327131301254941e-05,0.001,15/35,10.64%,NCKAP1L;CD86;LILRB1;GPNMB;LGALS3;FCGR2B;PDCD1LG2;LAPTM5;HAVCR2;DUSP3;RIPOR2;CD80;CEBPB;CD274;TNFRSF21
prerank,neutrophil migration (GO:1990266),0.7932888394889411,1.9589774067645573,0.0,8.549870359483696e-05,0.001,12/58,3.98%,NCKAP1L;PF4;LGALS3;PIK3CG;SYK;ITGB2;CXCL5;PIK3CD;CXCL2;CCL8;FCER1G;PIP5K1C
prerank,dendritic cell differentiation (GO:0097028),0.8729063927890361,1.9516136925503618,0.0,7.892188024138796e-05,0.001,6/22,1.15%,BATF3;LILRB1;TREM2;LYN;IRF8;FLT3
prerank,regulation of phagocytosis (GO:0050764),0.7976650715983784,1.948187255857851,0.0,0.0002198538092438665,0.002,14/53,4.78%,PTPRC;DOCK2;TREM2;FGR;HCK;SLC11A1;SYK;FCGR2B;SIRPA;TLR2;CAMK1D;TNF;FCER1G;PYCARD
