Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,phagocytic vesicle (GO:0045335),0.7469422000697996,1.8881362591091837,0.0,0.002856920151962396,0.003,30/93,5.43%,CTSS;PLD4;SCIMP;ATP6V0D2;CYBB;SLC11A1;SYK;RAB8B;NCF4;ABCA1;CORO1A;MPEG1;VAMP3;ATP6V0E1;RAB39A;RAB34;UNC93B1;ITGB5;ADAM8;TCIRG1;NCF2;MTOR;RAB32;TLR7;ATP7A;RAB14;ATP6V0A2;DMBT1;RAB7A;RAB7B
prerank,tertiary granule membrane (GO:0070821),0.7576391555931749,1.871302232790082,0.0,0.0023807667933019964,0.005,26/64,11.80%,CLEC4D;PTAFR;CYBB;MGAM;ITGAX;SLC11A1;ITGB2;CLEC5A;TMC6;ATP8B4;SIRPA;CD300A;ADAM8;FCER1G;SLC2A3;LAIR1;RAB14;NBEAL2;SVIP;RAP2B;TSPAN14;ITGAM;ATP6AP2;TMEM63A;CD53;CD93
prerank,ficolin-1-rich granule membrane (GO:0101003),0.7711193452488438,1.8695492546665256,0.0,0.001587177862201331,0.005,22/48,11.80%,NCKAP1L;CLEC4D;LGALS3;MGAM;ITGAX;SLC11A1;ITGB2;SIRPA;CD300A;TBC1D10C;ADAM8;TCIRG1;FCER1G;SLC2A3;NBEAL2;ARL8A;VPS35L;TMEM179B;ATP6AP2;ATP6V0A1;DIAPH1;CD93
prerank,spanning component of membrane (GO:0089717),-0.5961967959480148,-1.8211593354582958,0.00909090909090909,0.2549512539088847,0.156,7/18,22.76%,SLC12A2;NLGN1;SLC24A2;SLC24A4;TM2D3;SLC24A3;BMPR2
prerank,azurophil granule lumen (GO:0035578),0.7194782132360122,1.796793543175692,0.0,0.01404652408048178,0.051,30/75,12.41%,ARHGAP45;TUBB;HEXB;GUSB;UNC13D;CTSC;CTSA;PRKCD;ARSB;GNS;GM2A;NPC2;TTR;DNAJC3;PYCARD;CPPED1;FUCA1;FABP5;CAP1;ACTR10;CCT8;MAN2B1;FTL;ACTR2;GRN;GGH;PRDX6;DYNC1H1;SDCBP;ARSA
prerank,mRNA cleavage and polyadenylation specificity factor complex (GO:0005847),-0.664161431521835,-1.7957033819286192,0.0,0.15902262554417806,0.192,5/14,6.34%,WDR33;CPSF6;FIP1L1;CPSF7;CSTF2
prerank,postsynaptic density membrane (GO:0098839),-0.5778620564284188,-1.7834306355164204,0.0,0.117174566190447,0.212,8/20,15.24%,DLG2;SYNJ2BP;SYNDIG1;GRIN2B;GRM5;DLG1;GRM1;CACNG8
prerank,T cell receptor complex (GO:0042101),0.9203079458898928,1.768843922472017,0.0014641288433382138,0.021903054498378365,0.093,2/10,0.95%,CD3E;SYK
prerank,endolysosome (GO:0036019),0.7939864777399996,1.760481786030569,0.0012062726176115801,0.021268183353497835,0.109,9/24,2.91%,CTSS;CTSB;PCSK9;LGMN;PRKCD;CTSK;CTSL;TLR8;TLR7
prerank,lysosomal lumen (GO:0043202),0.7073729198995949,1.7520277135148867,0.0,0.02135887923133791,0.127,28/81,9.51%,CTSS;HPSE;CTSB;HEXB;LGMN;GUSB;CD74;CTSD;PRELP;CTSA;ARSB;CTSK;CTSL;GNS;GM2A;IDS;PSAP;NPC2;LIPA;HEXA;GYG1;PLD3;FUCA1;FMOD;AGRN;BCAN;MAN2B1;MAN2B2
prerank,tertiary granule (GO:0070820),0.675619687173263,1.7418956195085202,0.0,0.024521897971010564,0.166,45/140,14.06%,NCKAP1L;CTSS;CLEC4D;LGALS3;PTAFR;CYBB;MGAM;ITGAX;SLC11A1;ITGB2;CLEC5A;TMC6;ATP8B4;SIRPA;CD300A;CTSD;TBC1D10C;ADAM8;TCIRG1;FCER1G;SLC2A3;LAIR1;RAB14;NBEAL2;ARL8A;CDA;VPS35L;STXBP3;SVIP;RAP2B;TSPAN14;TMEM179B;ITGAM;ATP6AP2;TMEM63A;ATP6V0A1;DIAPH1;CD53;CYFIP1;CD93;GGH;SNAP23;B2M;LAMTOR3;FTH1
prerank,postsynaptic specialization membrane (GO:0099634),-0.5526397294018996,-1.7382290472561495,0.00966183574879227,0.13101661659206576,0.295,8/21,15.24%,DLG2;SYNJ2BP;SYNDIG1;GRIN2B;GRM5;DLG1;GRM1;CACNG8
prerank,secretory granule membrane (GO:0030667),0.6753584160025213,1.7287586052067136,0.0,0.030156379381825287,0.216,76/247,11.80%,NCKAP1L;PTPRC;CLEC4D;LILRB3;ITGAL;LGALS3;PTAFR;ITGA2B;P2RX1;CYBB;MGAM;ITGAX;SLC11A1;LY6G6F;ITGB2;CLEC5A;TMC6;ATP8B4;SIRPA;CD300A;IQGAP2;ITGB3;TBC1D10C;TMEM95;ADAM8;PTPRJ;TLR2;TCIRG1;LPCAT1;ADGRE5;CD9;ATP8A1;PSAP;SNCA;FCER1G;SLC2A3;LAIR1;CYB5R1;RAB14;CD68;NBEAL2;DMBT1;CD14;RAP1B;RAB7A;NFAM1;CD44;ADGRG3;ARL8A;B4GALT1;LHFPL2;TYROBP;STK10;VPS35L;IRAG2;SVIP;RAP2B;FABP5;DNAJC13;TSPAN14;TMEM179B;RAB31;SLC44A2;ITPR2;SYTL4;SNAP29;ITGAM;ATP6AP2;SYNGR1;TMEM63A;ATP6V0A1;DIAPH1;CD53;CD63;TNFRSF1B;CD93
prerank,vacuolar lumen (GO:0005775),0.679909177543265,1.7282994950979946,0.0,0.027426433458838998,0.219,48/141,12.41%,ARHGAP45;CTSS;TUBB;HPSE;HEXB;LGMN;GUSB;CD74;UNC13D;CTSD;CTSC;PRELP;CTSA;PRKCD;ARSB;CTSK;CTSL;GNS;GM2A;IDS;PSAP;NPC2;TTR;DNAJC3;LIPA;HEXA;PYCARD;GYG1;CPPED1;PLD3;FUCA1;FMOD;AGRN;FABP5;CAP1;ACTR10;CCT8;BCAN;MAN2B1;FTL;MAN2B2;ACTR2;GRN;GGH;PRDX6;DYNC1H1;SDCBP;ARSA
prerank,ficolin-1-rich granule (GO:0101002),0.6672198553637148,1.7224549145487067,0.0,0.02804976149199443,0.245,50/164,11.80%,NCKAP1L;CTSS;HK3;CLEC4D;LGALS3;GMFG;MGAM;ITGAX;SLC11A1;BIN2;ITGB2;CTSB;GUSB;SIRPA;CD300A;CTSD;TBC1D10C;ADAM8;TCIRG1;OSTF1;ARSB;MAPK14;GNS;PFKL;ATG7;FCER1G;SLC2A3;PPIE;GYG1;NBEAL2;HMGB1;APAF1;ARL8A;CDA;VPS35L;PNP;ACTR10;TMEM179B;PAFAH1B2;CCT8;CTSZ;ATP6AP2;VCL;FGL2;ACTR2;ATP6V0A1;DIAPH1;PSMA2;GPI;CD93
prerank,NADPH oxidase complex (GO:0043020),0.849853761966269,1.7101712804210725,0.0027359781121751026,0.033013299533787684,0.302,3/12,2.52%,CYBB;NCF4;NCF2
prerank,podosome (GO:0002102),0.8425798124260343,1.7097016417217668,0.0,0.03062032368000722,0.304,6/13,3.96%,FERMT3;BIN2;LCP1;SH3PXD2B;ADAM8;ASAP1
prerank,membrane raft (GO:0045121),0.6729130145792085,1.7092281068767434,0.0,0.028637223428004017,0.306,34/158,8.02%,PTPRC;LCP2;SLC6A3;CD226;BTK;TREM2;SLC6A4;LYN;CD48;SHH;CARD11;RFTN1;ITGB2;LAT;CTSD;ABCA1;CBL;TLR1;TGFBR1;THY1;TLR2;MS4A4A;LAT2;TNF;CLN3;PI4K2A;AKAP5;CD14;RAP1B;NFAM1;ERLIN2;TGFBR2;SLC9A1;RAP2B
prerank,specific granule membrane (GO:0035579),0.6666752261451301,1.6650157836849953,0.0010256410256410256,0.06094762990853111,0.527,32/87,16.55%,CLEC4D;ITGAL;P2RX1;CYBB;ITGB2;CLEC5A;TMC6;ATP8B4;ADAM8;PTPRJ;ATP8A1;SLC2A3;LAIR1;ADGRG3;STK10;RAP2B;TSPAN14;SLC44A2;ITGAM;TMEM63A;CD53;TNFRSF1B;CD93;SNAP23;C3AR1;LAMTOR3;RAP1A;CD33;DEGS1;DNAJC5;CD36;CD47
prerank,azurophil granule (GO:0042582),0.6608315309049742,1.6620851357769648,0.0,0.060233399870540515,0.541,49/137,13.99%,ARHGAP45;TUBB;HEXB;GUSB;UNC13D;CTSC;CTSA;PRKCD;LPCAT1;ARSB;GNS;ATP8A1;GM2A;PSAP;NPC2;TTR;DNAJC3;HEXA;PYCARD;CD68;CPPED1;RAP1B;NFAM1;ARL8A;B4GALT1;FUCA1;IRAG2;FABP5;DNAJC13;CAP1;ACTR10;TMEM179B;CCT8;MAN2B1;FTL;SNAP29;SYNGR1;ACTR2;CD63;GRN;GGH;PRDX6;DYNC1H1;SDCBP;ARSA;STX3;SNAP23;MGST1;C3AR1
prerank,phagocytic vesicle membrane (GO:0030670),0.7071751366234735,1.6600155922741933,0.0,0.05870690822071747,0.551,21/39,17.31%,ATP6V0D2;CYBB;SLC11A1;VAMP3;ATP6V0E1;TCIRG1;ATP7A;ATP6V0A2;DMBT1;RAB7A;ATP6V0D1;RAB31;TAP1;ATP6V0A1;PIP4P1;SNAP23;B2M;ATP6V0B;TAP2;APPL2;PIK3R4
prerank,endosome lumen (GO:0031904),0.7615021317465561,1.6515364871536564,0.0049079754601227,0.06279933741443265,0.592,6/21,2.62%,CTSS;CTSB;LGMN;RAB32;CTSK;CTSL
prerank,vacuolar proton-transporting V-type ATPase complex (GO:0016471),0.7781350182333558,1.6425345662891244,0.0,0.06886681208414616,0.645,8/18,10.51%,ATP6V0D2;TCIRG1;ATP6V1C1;ATP6V1E1;ATP6V0A2;ATP6V0D1;ATP6AP2;ATP6V0A1
prerank,lamellar body (GO:0042599),0.8192718243719753,1.6358193369593879,0.014144271570014143,0.07356569391303168,0.696,3/12,3.47%,NAPSA;SFTPA1;SFTPA2
prerank,platelet alpha granule (GO:0031091),0.652127103711665,1.6218326260226146,0.0,0.08661456333727265,0.768,26/84,13.41%,FERMT3;PF4;MMRN1;ITGA2B;LY6G6F;TGFB1;SRGN;ITGB3;CYRIB;F13A1;CD9;SNCA;CYB5R1;TIMP1;LHFPL2;ACTN4;STXBP3;VEGFB;TMSB4X;SYTL4;ACTN1;THBS1;F5;TEX264;NHLRC2;GAS6
prerank,intrinsic component of nuclear inner membrane (GO:0031229),0.7952305133632429,1.6192611606639384,0.01422475106685633,0.08127730809133599,0.779,3/12,5.57%,P2RX1;P2RX7;P2RX4
prerank,integral component of nuclear inner membrane (GO:0005639),0.7952305133632429,1.6192611606639384,0.01422475106685633,0.08127730809133599,0.779,3/12,5.57%,P2RX1;P2RX7;P2RX4
prerank,secretory granule lumen (GO:0034774),0.6239895466672687,1.6164936870832525,0.0,0.08102542986537795,0.792,76/280,13.46%,ARHGAP45;HK3;DOCK2;TUBB;FERMT3;FGR;PF4;GMFG;MMRN1;HPSE;ARHGAP9;TGFB1;BIN2;HEXB;GUSB;UNC13D;SRGN;CTSD;CYRIB;CTSC;F13A1;CTSA;PRKCD;OSTF1;ARSB;MAPK14;GNS;PFKL;GM2A;NPC2;ATG7;TTR;PPIE;DNAJC3;PYCARD;GYG1;TIMP1;CPPED1;HMGB1;XRCC5;APAF1;CDA;FUCA1;ACTN4;VEGFB;TMSB4X;EPX;FABP5;CAP1;PNP;ACTR10;PAFAH1B2;CCT8;CTSZ;MAN2B1;FTL;VCL;ACTR2;ACTN1;PSMA2;CYFIP1;THBS1;GPI;GRN;GGH;PRDX6;DYNC1H1;F5;SDCBP;ARSA;COTL1;TEX264;NHLRC2;B2M;GAS6;NFKB1
prerank,platelet alpha granule membrane (GO:0031092),0.7582507118358478,1.6071961786383773,0.017902813299232736,0.0883740633673701,0.827,8/17,8.72%,ITGA2B;LY6G6F;ITGB3;CD9;SNCA;CYB5R1;LHFPL2;SYTL4
prerank,cytoplasmic vesicle lumen (GO:0060205),0.6215814042182729,1.5965425903081425,0.0,0.09812421906547768,0.868,25/104,11.40%,ARHGAP45;HK3;FGR;GMFG;ARHGAP9;BIN2;OSTF1;MAPK14;PFKL;ATG7;PPIE;PYCARD;GYG1;HMGB1;XRCC5;APAF1;CDA;EPX;PNP;PAFAH1B2;CCT8;VCL;PSMA2;CYFIP1;GPI
prerank,platelet alpha granule lumen (GO:0031093),0.6503562124470071,1.5893858893099335,0.0010471204188481676,0.10376616156880701,0.891,17/62,13.41%,FERMT3;PF4;MMRN1;TGFB1;SRGN;CYRIB;F13A1;TIMP1;ACTN4;VEGFB;TMSB4X;ACTN1;THBS1;F5;TEX264;NHLRC2;GAS6
prerank,lytic vacuole (GO:0000323),0.6160026430388404,1.5787480469786517,0.0,0.11366460890307532,0.916,51/201,9.58%,CTSS;HCK;HPSE;SLC11A1;CTSB;PCSK9;NAPSA;LGMN;UNC13D;CTSD;LAPTM5;CTSC;VMA21;UNC93B1;DRAM2;CTSA;MYO5A;MTOR;ARSB;CTSK;CTSL;RFFL;TLR7;IDS;CST7;PSAP;NPC2;SNCA;LIPA;CLN3;PIP4K2A;CXCR4;RAB14;CD68;VPS18;RPS6KC1;PLEKHM1;RAB7A;RAB7B;NPC1;FUCA1;TMEM192;OCIAD1;VPS11;FLCN;CTSZ;MAN2B1;UVRAG;MAN2B2;TINAGL1;ATP6AP2
