Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,rRNA binding (GO:0019843),0.7932754284092806,2.0648528173788336,0.0,0.0,0.0,17/42,7.76%,RPL23;RPS3;RPS9;RPL11;RPS14;RPS5;RPL5;RPS13;RPLP0;RPL12;CAVIN1;ANG;DDX28;EMG1;SBDS;MRPS11;MRPL11
prerank,oxidoreduction-driven active transmembrane transporter activity (GO:0015453),0.7638877958793931,2.0607289580269557,0.0,0.0,0.0,39/57,15.41%,COX4I1;UQCR11;UQCR10;NDUFA2;COX6B1;COX5B;NDUFA13;NDUFB7;COX8A;NDUFB10;NDUFA4;NDUFV3;NDUFS7;NDUFB4;COX6A1;NDUFA6;NDUFS6;COX7A2L;UQCRH;NDUFA3;UQCRQ;NDUFA4L2;NDUFA5;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;NDUFS2;UQCRC1;NDUFB9;NDUFS5;NDUFB5;NDUFA7;NDUFS8;NDUFA9;UQCRFS1;COX5A
prerank,MHC protein binding (GO:0042287),0.855686617128878,2.0285109922541493,0.0,0.00028038859958963463,0.001,8/20,6.05%,CD74;TUBB;CD81;ATP5F1B;TUBB4B;ATP5F1A;TAPBP;TAP2
prerank,NADH dehydrogenase (ubiquinone) activity (GO:0008137),0.7729865293340934,1.9775232409885999,0.0,0.0003364663195075616,0.001,28/34,18.06%,NDUFA2;NDUFA13;NDUFB7;NDUFB10;NDUFA4;NDUFV3;NDUFS7;NDUFB4;NDUFA6;NDUFS6;NDUFA3;NDUFA5;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;NDUFS2;NDUFB9;NDUFS5;NDUFB5;NDUFA7;NDUFS8;NDUFA9;NDUFS3;NDUFV1;NDUFB2
prerank,NADH dehydrogenase (quinone) activity (GO:0050136),0.7729865293340934,1.9775232409885999,0.0,0.0003364663195075616,0.001,28/34,18.06%,NDUFA2;NDUFA13;NDUFB7;NDUFB10;NDUFA4;NDUFV3;NDUFS7;NDUFB4;NDUFA6;NDUFS6;NDUFA3;NDUFA5;NDUFB3;NDUFC2;NDUFC1;NDUFA8;NDUFA1;NDUFB8;NDUFS2;NDUFB9;NDUFS5;NDUFB5;NDUFA7;NDUFS8;NDUFA9;NDUFS3;NDUFV1;NDUFB2
prerank,nucleotidyltransferase activity (GO:0016779),-0.6479715139616068,-1.9391644517223372,0.0,0.34905369819979365,0.169,13/19,20.66%,REV1;NUDT5;TENT4B;CRPPA;TUT7;PAPSS2;TERT;PAPSS1;TUT1;CGAS;TUT4;TENT2;YRDC
prerank,histone demethylase activity (GO:0032452),-0.5771411728400198,-1.9334209264196989,0.0,0.18127184809892666,0.174,12/27,14.04%,KDM3B;KDM2A;KDM7A;JMJD1C;KDM5B;JARID2;KDM3A;FBXL19;KDM5C;KDM4C;PHF8;KDM4D
prerank,mRNA 5'-UTR binding (GO:0048027),0.7869478453563377,1.9107320324880748,0.0,0.0016823315975378077,0.011,6/24,0.56%,RPL41;RPL26;RPS14;RPS7;RPL5;RPS13
prerank,amyloid-beta binding (GO:0001540),0.6730947887106271,1.893143622574949,0.0,0.002283164310944168,0.018,40/79,18.26%,APOE;CST3;CD74;CLU;PFDN5;ITM2A;C1QA;ITM2C;ITM2B;PGRMC1;NLGN1;PRNP;ITGB2;TREM2;CRYAB;GRIA2;PFDN6;SORL1;GRIN1;CACNA1A;LRPAP1;ATP1A3;GSAP;GRIA4;GRIN2A;APBB1;RAMP3;GRIA1;MSR1;LILRB3;LILRB1;VBP1;TLR6;PFDN1;MAPK8IP2;ACHE;BACE1;CLSTN1;APBA2;GRIN2B
prerank,proton transmembrane transporter activity (GO:0015078),0.7384396690724867,1.8896156216144449,0.0,0.00210291449692226,0.019,16/39,10.32%,COX4I1;UQCR11;UQCR10;COX6B1;COX5B;COX8A;NDUFA4;ATP6V1F;COX6A1;COX7A2L;UQCRH;UQCRQ;NDUFA4L2;UQCRC1;SLC33A1;MFSD3
prerank,I-SMAD binding (GO:0070411),-0.7198799121416697,-1.8868573818114653,0.0,0.20010163697121827,0.273,11/13,13.79%,SMAD3;SMAD6;AXIN1;SMAD9;TGFBR1;SMURF1;SMAD1;SMAD7;SMAD4;TGFB1I1;SMAD2
prerank,MHC class II protein complex binding (GO:0023026),0.8931461297837684,1.882989957123274,0.0,0.002149645930187199,0.022,7/11,5.43%,HSPA8;CD74;CD81;HSP90AA1;HSP90AB1;PKM;YWHAE
prerank,MHC class I protein binding (GO:0042288),0.8555523905511847,1.87257641364523,0.0,0.003364663195075616,0.037,6/13,6.05%,TUBB;ATP5F1B;TUBB4B;ATP5F1A;TAPBP;TAP2
prerank,histone-lysine N-methyltransferase activity (GO:0018024),-0.5247275902478425,-1.86081391110879,0.0,0.18717372222307777,0.326,21/44,15.66%,NSD1;KMT2C;SETD5;ASH1L;SETD2;SMYD3;EHMT1;KMT2A;KMT5C;KMT5B;ASH2L;NSD3;SETDB1;KMT2D;WDR82;SETD7;EHMT2;EZH2;SETD4;PRDM9;SETD1B
prerank,cytochrome-c oxidase activity (GO:0004129),0.851288975288315,1.8516967669282238,0.0,0.0044352378480542205,0.052,8/15,4.90%,COX4I1;COX6B1;COX5B;COX8A;NDUFA4;COX6A1;COX7A2L;NDUFA4L2
prerank,R-SMAD binding (GO:0070412),-0.625793849771247,-1.8444900063187233,0.004366812227074236,0.17132297457535764,0.361,8/18,13.79%,LDLRAD4;SMAD3;SMAD6;SMURF1;PMEPA1;DROSHA;SMAD4;SMAD2
prerank,signaling receptor complex adaptor activity (GO:0030159),-0.505760681489149,-1.828485353277222,0.006896551724137931,0.16384726735143293,0.397,11/38,11.62%,SORBS1;GAB2;LRRK2;FRS2;IRS1;AXIN1;DLG5;SPAG9;MMS19;NCK1;SAV1
prerank,tau-protein kinase activity (GO:0050321),-0.6054407664501502,-1.827175012158314,0.009216589861751152,0.1416449789796264,0.4,9/20,14.72%,ROCK2;ROCK1;SIK3;MARK1;DYRK1A;MARK3;GSK3B;MARK2;TAOK1
prerank,ligand-gated ion channel activity (GO:0015276),0.7211286478106449,1.7954408964346622,0.0,0.015631664427122133,0.177,19/30,22.37%,GABRB1;GRIA2;GRID2;GRIK5;GRIK2;GRIN1;GRIN3A;CNGA3;GRIA4;GRIN2A;GRID1;GRIA1;CHRNA4;CNGB1;GRIN2B;ANXA6;GRIA3;GRIK1;CHRNA3
prerank,glutamate receptor activity (GO:0008066),0.7749778971853587,1.7941173149915495,0.0012626262626262627,0.015140984377840271,0.184,11/19,11.80%,GRM5;GRIA2;GRID2;GRIK5;GRIK2;GRM8;GRM7;GRIA4;GRID1;GRM1;GRIA1
prerank,ligand-gated channel activity (GO:0022834),0.7242755224166328,1.7936656479109259,0.0,0.01411956876504946,0.185,19/29,22.37%,GABRB1;GRIA2;GRID2;GRIK5;GRIK2;GRIN1;GRIN3A;CNGA3;GRIA4;GRIN2A;GRID1;GRIA1;CHRNA4;CNGB1;GRIN2B;ANXA6;GRIA3;GRIK1;CHRNA3
prerank,low-density lipoprotein particle receptor binding (GO:0050750),0.7583131709019484,1.7930382707946009,0.0012285012285012285,0.013290419620548683,0.186,10/22,11.32%,APOE;CLU;SNX17;HSP90B1;AP2M1;SYT1;LRPAP1;CLTC;APBB1;DNAJA1
prerank,active ion transmembrane transporter activity (GO:0022853),0.7051868490258602,1.7880080202578756,0.0,0.013458652780302463,0.201,15/37,9.48%,COX4I1;UQCR11;UQCR10;COX6B1;COX5B;COX8A;NDUFA4;COX6A1;COX7A2L;SLCO1C1;UQCRH;UQCRQ;NDUFA4L2;UQCRC1;SLCO4C1
prerank,lipoprotein particle receptor binding (GO:0070325),0.7290326560251328,1.786158067002981,0.0011918951132300357,0.013359692098094357,0.211,10/27,11.32%,APOE;CLU;SNX17;HSP90B1;AP2M1;SYT1;LRPAP1;CLTC;APBB1;DNAJA1
prerank,histone methyltransferase activity (H3-K36 specific) (GO:0046975),-0.7412850538677556,-1.7769222898865464,0.006688963210702341,0.20129606387729646,0.565,7/10,18.12%,NSD1;SETD5;ASH1L;SETD2;NSD3;PRDM9;SETD3
