Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)",-0.4266065939383522,-1.9955881544059493,0.0,0.33867742910631804,0.236,59/110,21.66%,DCP1A;EIF3E;RPS24;RPL11;SMG5;RPS15A;RPS23;RPL5;RPL37A;RPL6;RPL18A;RPL24;RPS19;NCBP1;RPS20;RPL38;RPL8;RPL19;RPL21;RPL3;RPS16;RPS6;RPS18;RPL28;RPL22;RPL34;RPS13;RPLP0;UPF3B;RPL36;RPL10;RPL32;RPS28;UPF1;RPS5;RPL15;RPS2;PYM1;RNPS1;RPL39;RPL12;RPL27;RPS17;UPF3A;SMG9;RPS26;RPS27;RPL10A;RPS10;SMG6;ETF1;RPL7A;EIF4A3;RPL31;NCBP2;PPP2CA;RBM8A;HELZ2;RPL36A
prerank,cellular response to copper ion (GO:0071280),-0.6907074303085385,-1.9662221148020271,0.0,0.26438689627009343,0.346,9/16,10.34%,HSF1;MT1G;MT1F;MT1E;MT1B;MT1A;MT1X;MT1M;MT1H
prerank,response to copper ion (GO:0046688),-0.6144268466888427,-1.9160945523258088,0.0,0.338677429106318,0.562,9/20,10.34%,HSF1;MT1G;MT1F;MT1E;MT1B;MT1A;MT1X;MT1M;MT1H
prerank,skeletal muscle contraction (GO:0003009),0.7749477491192751,1.8258953087525744,0.0,1.0,0.657,4/19,4.00%,TNNI3;TNNC1;TNNI1;MYH14
prerank,body fluid secretion (GO:0007589),0.7873428246409013,1.823437681262759,0.0,0.7384570562716429,0.678,6/15,10.20%,APLN;GUCA1B;SLC22A4;GPAT4;ZBTB7B;PRLR
prerank,clathrin-dependent endocytosis (GO:0072583),-0.5369405931915832,-1.8155970123923155,0.0,0.7693986433810467,0.89,13/26,15.94%,ITSN2;GAK;PICALM;INPP5F;AP2A2;CLTA;GPR107;SGIP1;CLTB;ITSN1;FNBP1L;AP2M1;PIP5K1C
prerank,positive regulation of macrophage derived foam cell differentiation (GO:0010744),0.7992837205319134,1.804971023055211,0.002793296089385475,0.6909196972700291,0.801,4/15,2.19%,PLA2G5;MAPK9;LPL;NFKB1
prerank,sodium-independent organic anion transport (GO:0043252),-0.7192014686408328,-1.8002158962937533,0.0029069767441860465,0.7162481371680711,0.929,4/10,5.80%,SLCO3A1;SLC16A2;SLCO1C1;SLCO2A1
prerank,cytoplasmic translation (GO:0002181),-0.40004206220055016,-1.7996203556877652,0.0,0.5997868018689309,0.929,44/91,17.70%,RPS24;RPL11;RPS15A;RPS23;RPL5;RPL37A;RPL6;RPL18A;RPL24;RPS19;RPS20;RPL38;RPL8;RPL19;RPL21;RPL3;RPS16;RPS6;RPS18;EIF4A2;RPL28;RPL22;RPL34;RPS13;RPLP0;RPL36;RPL10;RPL32;RPS28;RPS5;RPL15;RPS2;FTSJ1;RPL39;RPL12;RPL27;RPS17;TMA7;RPS26;RPS27;RPL10A;RPS10;ETF1;RPL7A
prerank,G protein-coupled glutamate receptor signaling pathway (GO:0007216),-0.6201532318465616,-1.7958144073432214,0.007194244604316547,0.5332998964314694,0.936,6/15,17.60%,GRM7;GRM1;GRM3;DAGLB;HOMER3;GRIK3
prerank,gonad development (GO:0008406),0.6561564126329548,1.7856748903455542,0.001142857142857143,0.7394338513196212,0.892,8/41,8.35%,FSHR;FGF9;WNT2B;WNT5A;MAMLD1;NR2F2;WNT4;SOX9
prerank,negative regulation of vascular permeability (GO:0043116),-0.6825254493884146,-1.7826860743259467,0.0030959752321981426,0.5316416256092322,0.947,9/12,25.92%,FERMT2;ANGPT1;SLIT2;CLDN5;RAMP2;PTPRJ;VEGFA;PDE2A;CEACAM1
prerank,retina homeostasis (GO:0001895),-0.5408590565093225,-1.7642759888079427,0.01276595744680851,0.5640982125652544,0.97,8/23,17.73%,POTEF;ACTB;CCDC66;POC1B;WHRN;BBS4;ACTG1;HSPB1
prerank,negative regulation of actin filament polymerization (GO:0030837),-0.5481328136157957,-1.7602428316163883,0.0045871559633027525,0.5271350307864465,0.974,12/22,18.68%,CYRIB;SLIT2;PRKCD;TMSB4X;KANK3;MYADM;KANK4;TWF2;PFN1;KANK1;TWF1;TMSB10
prerank,hepatocyte growth factor receptor signaling pathway (GO:0048012),0.8343667999725775,1.7595508679842087,0.0,0.920336294205214,0.969,4/11,4.87%,MST1R;SIRT2;RAC1;NRP1
