Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,polysomal ribosome (GO:0042788),-0.5932872294314313,-2.1156148612305956,0.0,0.002398574561403509,0.002,17/29,21.66%,RPL11;RPS23;RPL6;RPL18A;RPL24;RPL38;RPL8;RPL19;RPL36;RPL32;RPS28;RPL39;RPS26;RPL10A;RPL7A;RPL31;RPL36A
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.48297710726558934,-1.797563428347547,0.0,0.1637027138157895,0.203,17/36,16.97%,EIF2A;RPS24;RPS15A;RPS23;RPS19;RPS20;RPS16;RPS6;RPS18;RPS13;RPS28;RPS5;RPS2;RPS17;RPS26;RPS27;RPS10
prerank,supramolecular fiber (GO:0099512),0.74589936574683,1.7523272535957604,0.0,0.38658833744118304,0.281,9/17,13.06%,FBN2;MFAP4;ADAMTS10;FBLN1;MFAP2;LTBP1;MFAP5;FBN1;FBLN5
prerank,ribosome (GO:0005840),-0.41354331609953693,-1.7157581924965672,0.0,0.2230674342105263,0.371,28/61,17.70%,RPL11;NCK1;RPS23;EIF2AK2;RPL6;RPL18A;RPL24;RPS19;RPL38;RPL8;RPL19;RPS18;RPS13;SF1;RPL36;RPL32;RPS28;RPS5;RPL15;RPL39;HSPA14;RPL27;RPS17;RPS26;RPS27;RPL10A;RPS10;RPL7A
prerank,small ribosomal subunit (GO:0015935),-0.4361921748419895,-1.6913142959999163,0.008264462809917356,0.1981822231359649,0.42,18/41,16.97%,MRPS9;EIF2A;RPS24;RPS15A;RPS23;RPS19;RPS20;RPS16;RPS6;RPS18;RPS13;RPS28;RPS5;RPS2;RPS17;RPS26;RPS27;RPS10
prerank,intracellular vesicle (GO:0097708),-0.6577644273319672,-1.6613079427223632,0.009316770186335404,0.20555783991228072,0.508,5/11,9.55%,ITSN2;EGFR;APPL1;ITSN1;PLCG2
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.40174591958673284,-1.6244374937268926,0.017241379310344827,0.23086280153508773,0.62,24/53,17.70%,RPL11;RPL5;RPL37A;RPL6;RPL18A;RPL24;RPL38;RPL8;RPL19;RPL21;RPL3;RPL28;RPL22;RPL34;RPLP0;RPL36;RPL10;RPL32;RPL15;RPL39;RPL12;RPL27;RPL10A;RPL7A
prerank,microfibril (GO:0001527),0.7618266386699303,1.6096160147901162,0.013975155279503106,1.0,0.859,7/10,12.67%,FBN2;MFAP4;ADAMTS10;MFAP2;LTBP1;MFAP5;FBN1
prerank,spanning component of plasma membrane (GO:0044214),0.7021012779456861,1.5460643374892704,0.03890489913544669,1.0,0.978,3/13,8.64%,SLC4A4;AJAP1;SLC24A4
prerank,lamellar body (GO:0042599),0.6958900065160434,1.5189429277221254,0.044797687861271675,1.0,0.991,5/12,21.50%,CKAP4;SFTPA1;SFTPA2;CTSH;NAPSA
prerank,cornified envelope (GO:0001533),0.601627983932842,1.488552651669323,0.05520702634880803,1.0,0.998,5/25,10.86%,SCEL;ANXA1;KAZN;PPL;JUP
prerank,very-low-density lipoprotein particle (GO:0034361),0.7014004022939757,1.4882216495130114,0.047407407407407405,1.0,0.998,3/11,17.19%,SELENOS;PCYOX1;APOE
prerank,triglyceride-rich plasma lipoprotein particle (GO:0034385),0.7014004022939757,1.4882216495130114,0.047407407407407405,1.0,0.998,3/11,17.19%,SELENOS;PCYOX1;APOE
prerank,intrinsic component of mitochondrial outer membrane (GO:0031306),0.597936715175539,1.4782825675196734,0.04621309370988447,1.0,0.998,10/22,18.22%,DMPK;FIS1;FUNDC2;TOMM20;FUNDC1;MFN1;MFN2;GDAP1;SPIRE1;SYNJ2BP
prerank,anchored component of external side of plasma membrane (GO:0031362),0.6450643473142363,1.4609298823158374,0.07883817427385892,1.0,0.999,3/16,7.55%,IGSF21;THY1;CD24
prerank,secretory vesicle (GO:0099503),0.5746443911111222,1.4579660012939093,0.04363636363636364,1.0,0.999,4/28,1.18%,UNC13D;SYT3;SYT10;IGF1
