Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytoplasmic translation (GO:0002181),-0.6280632343710457,-2.25358288433806,0.0,0.0,0.0,63/91,25.74%,RPLP1;RPS14;RPL9;RPS12;RPL41;RPS20;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;EIF4A1;RPL13;RPL18;RPS9;RPL34;RPL32;RPL27A;RPS8;RPL12;RPL37;RPL11;RPS18;RPL39;RPS5;RPS16;RPL24;RPS15A;RPL28;RPS24;RPS27;RPL14;RWDD1;RPL26;EIF4A2;RPL10;RPL7;RPL10A;RPL22;RPS15;RPS6;RPL23;RPL17;RPL31;RPS25;RPL15;RPSA;RPS7;RPL38;RPLP0;RPL27;RPL36A;DRG2;FTSJ1;RPS26;RPL35A;RPS29;RPL8;RPL36;TMA7;RPS3;RPL13A
prerank,SRP-dependent cotranslational protein targeting to membrane (GO:0006614),-0.6132796355892699,-2.171100911329374,0.0,0.0,0.0,60/87,25.74%,RPLP1;RPS14;RPL9;RPS12;RPL41;RPS20;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;RPL13;RPL18;RPS9;RPL34;RPL32;RPL27A;RPS8;RPL12;RPL37;RPL11;RPS18;RPL39;RPS5;RPS16;RPL24;RPS15A;RPLP2;RPL28;RPS24;RPS27;RPL14;RPL26;RPL10;RPL7;RPL10A;RPL22;RPS15;RPS6;RPL23;RPL17;RPL31;RPS25;RPL15;RPSA;RPS7;RPL38;RPLP0;RPL27;SEC61A1;RPL36A;SEC61B;RPS26;RPL35A;RPS29;RPL8;RPL36;RPS3;RPL13A
prerank,cotranslational protein targeting to membrane (GO:0006613),-0.6018557558726856,-2.1570498821368393,0.0,0.0007460129511318145,0.002,68/91,31.89%,RPLP1;RPS14;RPL9;RPS12;RPL41;RPS20;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;RPL13;RPL18;RPS9;RPL34;RPL32;RPL27A;RPS8;RPL12;RPL37;RPL11;RPS18;RPL39;RPS5;RPS16;RPL24;RPS15A;RPLP2;RPL28;RPS24;RPS27;RPL14;RPL26;RPL10;RPL7;RPL10A;RPL22;RPS15;RPS6;RPL23;RPL17;RPL31;RPS25;RPL15;RPSA;RPS7;RPL38;RPLP0;RPL27;SEC61A1;RPL36A;RPS26;RPL35A;RPS29;RPL8;RPL36;RPS3;RPL13A;TRAM1;RPS2;RPL21;RPL29;SRP14;SEC63;RPL19;RPL23A;RPS21
prerank,muscle contraction (GO:0006936),0.6666381160915925,2.11172274457143,0.0,0.04740639145251209,0.046,20/126,3.94%,SNTB1;ITGA1;GJC1;EDNRA;CALD1;CASQ2;UTRN;DMD;DYSF;KCNJ12;UTS2;MYLK;CACNA1H;VCL;MYH11;ROCK1;TACR2;MYL9;ITGB5;TMOD1
prerank,transition metal ion transport (GO:0000041),0.8010005125508831,2.110192579055307,0.0,0.024150425834298613,0.047,7/35,3.71%,TRPC3;TRPC4;TRPC6;SLC30A10;TRPC1;ATP2C1;ATP7A
prerank,manganese ion transport (GO:0006828),0.9276242861317925,2.1036220886498667,0.0,0.01967812475387294,0.054,6/14,2.39%,TRPC3;TRPC4;TRPC6;SLC30A10;TRPC1;ATP2C1
prerank,embryonic skeletal system development (GO:0048706),-0.685921852469522,-2.0923108703780127,0.0,0.0030773034234187345,0.01,13/35,6.26%,SULF1;COL1A1;PDGFRA;PCSK5;OSR1;KIAA1217;HOXB3;RBP4;WNT9A;HOXA3;SULF2;SIX1;WNT5A
prerank,response to ATP (GO:0033198),0.8932818098932079,2.090570292646753,0.0,0.022361505402128345,0.073,2/18,0.02%,ABCC9;TRPC3
prerank,bone development (GO:0060348),-0.682054369542707,-2.0604249993393093,0.0,0.004699881592130431,0.017,16/39,11.93%,RANBP3L;SULF1;AKAP13;CYP26B1;TGM2;FGFR2;GJA1;LRP6;SKI;SULF2;SFRP4;RPL13;GNAS;NOTUM;MYOC;DYM
prerank,regulation of cytosolic calcium ion concentration (GO:0051480),0.6399727737546721,2.055030912381141,0.0,0.04150295402635021,0.17,16/142,4.05%,TRPC3;TRPC4;TRPC6;EDNRA;CACNA1C;PLCE1;S1PR3;TBXA2R;ATP1A2;TRPC1;GPER1;CCRL2;ADCY8;ACKR3;ATP2B3;TACR1
