Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cation channel complex (GO:0034703),0.6963621143578483,2.082495233045018,0.0,0.008987139094055059,0.009,12/72,6.40%,TRPC3;TRPC4;TRPC6;PDE4D;CASQ2;TRPC1;CACNG7;UNC80;AKAP6;SCN2A;GRIA2;RYR2
prerank,ion channel complex (GO:0034702),0.8099802428768221,2.0762941569382467,0.0,0.004942926501730283,0.01,6/35,3.51%,TRPC3;TRPC4;TRPC6;TRPC1;CHRNA3;UNC80
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.6146073743913656,-1.9909043266047763,0.0,0.006782365848793138,0.006,37/53,25.74%,RPLP1;RPL9;RPL41;RPL18A;RPL13;RPL18;RPL34;RPL32;RPL27A;RPL12;RPL37;RPL11;RPL39;RPL24;RPLP2;RPL28;RPL14;RPL26;RPL10;RPL7;FXR2;RPL10A;RPL22;RPL23;RPL17;RPL31;RPL15;RPL38;RPLP0;RPL27;RPL36A;RPL36AL;MRPL1;RPL35A;RPL8;RPL36;RPL13A
prerank,large ribosomal subunit (GO:0015934),-0.6008176820510835,-1.9589396820613476,0.0,0.006217168694727043,0.011,38/57,25.74%,RPLP1;RPL9;RPL41;RPL18A;RPL13;RPL18;RPL34;RPL32;RPL27A;RPL12;RPL37;RPL11;RPL39;RPL24;RPLP2;RPL28;RPL14;RPL26;RPL10;RPL7;FXR2;RPL10A;RPL22;RPL23;RPL17;RPL31;RPL15;RPL38;RPLP0;RPL27;MRPL17;RPL36A;RPL36AL;MRPL1;RPL35A;RPL8;RPL36;RPL13A
prerank,potassium channel complex (GO:0034705),0.6476692271909534,1.9536220482848583,0.0,0.05482154847373587,0.133,23/80,12.96%,ABCC9;KCNJ8;KCNMB1;KCNV2;KCNQ4;KCND2;CNTNAP2;DPP10;KCNH4;KCNAB3;KCNQ5;HCN2;KCNE5;KCNA4;KCNQ3;KCNJ3;KCNJ6;KCNIP1;KCNIP4;KCNC4;GRIK2;KCNG2;KCNMA1
prerank,platelet alpha granule (GO:0031091),-0.5503596146476692,-1.9429956548678113,0.0,0.005651971540660949,0.014,32/84,18.45%,IGF1;FN1;LHFPL2;SERPING1;VWF;PECAM1;ACTN2;APP;SPARC;PCDH7;THBS2;THBS1;ISLR;CD9;VEGFD;VEGFC;IGF2;GAS6;SRGN;TMSB4X;ITGB3;TGFB1;ACTN1;F5;APOOL;SERPINE1;APLP2;SYTL4;CD109;QSOX1;CYRIB;MAGED2
prerank,cation-transporting ATPase complex (GO:0090533),0.8461918507867752,1.9296590365732496,0.0020325203252032522,0.05639429781519549,0.172,6/16,4.90%,ABCC9;KCNJ8;ATP1A2;ATP1A4;FXYD2;ATP1B2
prerank,small ribosomal subunit (GO:0015935),-0.6386324346389471,-1.928389306270835,0.0,0.005651971540660949,0.019,27/41,25.47%,RPS14;RPS12;RPS20;RPS13;RPS19;RPS23;RPS4X;RPS11;RPS9;RPS8;RPS18;RPS5;RPS16;RPS15A;RPS24;RPS27;MRPS6;RPS15;RPS6;RPS25;RPSA;RPS7;RPS26;RPS27L;RPS29;RPS3;RACK1
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.6453935332900712,-1.9086687771717847,0.0,0.00542589267903451,0.022,25/36,25.15%,RPS14;RPS12;RPS20;RPS13;RPS19;RPS23;RPS4X;RPS11;RPS9;RPS8;RPS18;RPS5;RPS16;RPS15A;RPS24;RPS27;RPS15;RPS6;RPS25;RPSA;RPS7;RPS26;RPS27L;RPS29;RPS3
prerank,supramolecular fiber (GO:0099512),-0.738776120757967,-1.8969156971222252,0.0,0.006782365848793138,0.034,12/17,17.32%,ADAMTS10;FBN1;ELN;FBLN1;MFAP5;FBLN5;LTBP4;FBN2;MFAP4;LTBP1;ADAMTSL5;MFAP2
prerank,platelet alpha granule lumen (GO:0031093),-0.5636084315151259,-1.8779102027764865,0.0022624434389140274,0.009850578970866225,0.058,23/62,18.45%,IGF1;FN1;SERPING1;VWF;ACTN2;APP;SPARC;THBS1;ISLR;VEGFD;VEGFC;IGF2;GAS6;SRGN;TMSB4X;TGFB1;ACTN1;F5;APOOL;SERPINE1;QSOX1;CYRIB;MAGED2
prerank,ribosome (GO:0005840),-0.5519525175989686,-1.837620642886198,0.0,0.016673316044949798,0.103,37/61,25.74%,LARP4B;RPL9;RPL41;RPL18A;RPS13;RPS19;RPS23;RPS4X;RPS11;RPL18;RPS9;RPL32;RPL11;RPS18;RPL39;RPS5;RPL24;RPS27;LARP1;MRPS7;RPL10A;RPL23;RPL31;RPS25;RPL15;RPS7;RPL38;RPL27;RRBP1;RPL36A;RPS26;DNAJC21;RPS29;RPL8;RPL36;RPS3;RPL13A
prerank,glial cell projection (GO:0097386),0.8157551187238434,1.7715416247046043,0.020876826722338204,0.35517173699705595,0.754,3/14,5.53%,GRM3;ATP1B2;ITGB1
prerank,calcium channel complex (GO:0034704),0.649716811674615,1.7686326246292319,0.008944543828264758,0.30496358659160167,0.768,11/45,7.39%,TRPC4;PDE4D;CACNA1C;CASQ2;CACNB2;CACNG7;CACNA2D1;AKAP6;PDE4B;RYR2;CACNA1D
prerank,microvillus membrane (GO:0031528),-0.7721177778519654,-1.7602683877486274,0.00392156862745098,0.04358298054687443,0.261,5/10,11.21%,PDPN;SLC6A6;PODXL;SLC7A5;ITGB3
prerank,microfibril (GO:0001527),-0.775335529482947,-1.7380951536888425,0.007827788649706457,0.05222421703570716,0.327,9/10,17.32%,ADAMTS10;FBN1;MFAP5;LTBP4;FBN2;MFAP4;LTBP1;ADAMTSL5;MFAP2
prerank,lamellar body (GO:0042599),-0.7370417425261264,-1.7211487485183,0.00931098696461825,0.05857497778503164,0.373,5/12,11.92%,CTSH;ABCA3;SFTPA2;SFTPA1;CKAP4
prerank,polysomal ribosome (GO:0042788),-0.5935105220707271,-1.7046720509125448,0.006423982869379015,0.06650486512844382,0.441,18/29,24.46%,LARP4B;RPL41;RPL18A;RPS23;RPL18;RPL32;RPL11;RPL39;RPL24;LARP1;RPL10A;RPL31;RPL38;RPL36A;RPS26;RPS29;RPL8;RPL36
prerank,sarcoplasmic reticulum membrane (GO:0033017),0.6919494782908726,1.6944741445116387,0.024714828897338403,0.48415002176688043,0.916,13/25,12.90%,CASQ2;ATP2A3;ITPR2;AKAP6;TMEM38B;RYR2;ATP2A2;STIM1;TMEM38A;RYR3;CHERP;CASQ1;JPH4
prerank,collagen-containing extracellular matrix (GO:0062023),-0.39513817273840046,-1.6917504191212314,0.0,0.0728669561703673,0.497,118/345,12.53%,SULF1;TIMP3;ATRNL1;ADAMTS10;FBN1;COL1A2;SMOC1;FN1;AEBP1;COL3A1;ITIH5;COL5A2;COL1A1;EFEMP1;DCN;THSD4;ELN;COL12A1;CTSH;LAMA1;COL5A1;FBLN1;HMCN1;ABI3BP;SCARA3;SERPING1;CCN2;VWF;LOXL1;OGN;FMOD;COL6A3;APOE;ADAMTS9;SPARC;F3;COL25A1;COL6A1;COL8A2;CDON;ANXA4;PODN;ANXA5;VIT;MFAP5;ANXA2;TGM2;FGFR2;COL4A5;THBS2;COL6A2;THBS1;COL11A1;ANGPT1;CLEC3B;TIMP2;SEMA7A;NID2;ITIH2;PRG4;ANXA1;FBLN5;CTSC;COL23A1;COL4A6;LTBP4;HTRA1;HSPG2;COL13A1;CLEC14A;CXCL12;BGN;LGALS9;MATN2;VWA1;SERPINH1;ADAMTS1;FGL2;WNT5A;TNC;ICAM1;FBN2;S100A6;PRELP;COL18A1;SERPINF1;S100A10;ADAMTSL4;TMEFF1;FBLN2;TGFBI;COL14A1;CTSB;ECM1;DPT;CDH13;LAMA5;PSAP;EMILIN1;COL15A1;COL16A1;LUM;ANXA7;MYOC;LMAN1;LGALS3BP;MFAP4;LAMA3;ANXA11;TGFB1;SEMA3B;CTSS;ADAMTS3;MXRA7;WNT5B;COL20A1;SMOC2;COL9A2
prerank,cytoplasmic dynein complex (GO:0005868),0.7276102414332285,1.6645723335246725,0.03636363636363636,0.5235008522287072,0.955,1/18,0.06%,DYNLL1
prerank,podosome (GO:0002102),-0.6960831086220588,-1.6371550740907281,0.007476635514018692,0.12547376820267306,0.729,4/13,4.18%,GSN;SH3PXD2A;ASAP1;VCAM1
prerank,mitochondrial respiratory chain complex IV (GO:0005751),0.7810191703983111,1.6360485827258733,0.027842227378190254,0.5695849043610006,0.979,6/10,11.86%,COX4I2;NDUFA4L2;UQCRFS1;UQCRC2;COX4I1;COX5A
prerank,voltage-gated calcium channel complex (GO:0005891),0.6491221847545717,1.6313984334465987,0.04046242774566474,0.5304209493311296,0.984,7/29,7.39%,PDE4D;CACNA1C;CACNB2;CACNG7;CACNA2D1;PDE4B;CACNA1D
prerank,beta-catenin-TCF complex (GO:1990907),-0.6773267263510672,-1.6257260648935175,0.021937842778793418,0.131653257087129,0.769,10/13,27.00%,TCF4;TCF7L2;TLE4;LEF1;TLE1;BCL9L;PYGO2;TCF7;CTNNB1;BCL9
prerank,connexin complex (GO:0005922),0.7005892654289991,1.6019812226210581,0.04294478527607362,0.5829385221462076,0.989,4/19,6.36%,GJD3;GJC1;GJA4;GJC2
prerank,platelet dense tubular network (GO:0031094),0.7601882224757773,1.5899039888776112,0.07311320754716981,0.5751769020195238,0.991,5/10,6.59%,ATP2A3;ITPR2;IRAG1;ITPR1;ATP2A2
prerank,endocytic vesicle lumen (GO:0071682),-0.6204335515118129,-1.588408807512914,0.02766798418972332,0.17867295032914424,0.865,6/17,18.59%,APOE;SPARC;HGS;PGLYRP1;CALR;HSP90B1
prerank,muscle myosin complex (GO:0005859),0.7447087131232567,1.586251737955494,0.0407725321888412,0.543583651511961,0.991,4/13,14.18%,MYH11;MYL9;MYL3;MYL1
prerank,gap junction (GO:0005921),0.6680475114581114,1.5844392686321893,0.052123552123552123,0.5100201435876246,0.991,4/22,6.36%,GJD3;GJC1;GJA4;GJC2
prerank,integral component of postsynaptic specialization membrane (GO:0099060),0.700973425806902,1.580395306370092,0.07538802660753881,0.48680336759464904,0.992,3/15,3.14%,CDH2;LRRC4C;LRFN5
prerank,multivesicular body (GO:0005771),-0.525517344088422,-1.5781813533967375,0.011086474501108648,0.18485271627102867,0.893,10/42,10.72%,CTSH;STEAP3;RAB11A;LRRK2;RAB27A;TPT1;SFTPA2;SFTPA1;CHMP4B;CHMP4A
prerank,integral component of Golgi membrane (GO:0030173),-0.48758267665711796,-1.5671026679243178,0.01488833746898263,0.1911622374419103,0.905,31/53,31.04%,LARGE1;MAN1C1;PCSK5;SGMS1;SGMS2;ERGIC1;CSGALNACT1;A4GALT;ACER2;SLC39A13;ACER3;SLC35A2;RER1;SLC35A4;QSOX1;TPST1;PCSK7;SLC35B1;UNC50;ZDHHC15;TVP23B;YIF1B;TBC1D20;UBIAD1;SLC35B4;STEAP2;ERGIC3;YIF1A;CASD1;POMGNT1;TEX261
prerank,CD40 receptor complex (GO:0035631),0.7345150564182532,1.5567015765606849,0.0774487471526196,0.5187826042043283,0.998,5/11,13.71%,TRAF5;TRAF3;HTRA2;TRAF6;TRAF2
