Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,insulin-like growth factor I binding (GO:0031994),-0.8632279361115219,-2.055707375295502,0.0,0.0021094531013546355,0.002,9/13,11.21%,IGFBP2;IGFBP5;ITGA6;IGF1R;IGFBP6;IGFBP4;IGFBP3;ITGB4;ITGB3
prerank,cyclic-nucleotide phosphodiesterase activity (GO:0004112),0.8545633858084489,2.0296986235670964,0.0,0.0713106037081514,0.058,7/23,2.42%,PDE8B;PDE4D;PDE4C;PDE3A;PDE5A;PDE7B;PDE9A
prerank,"3',5'-cyclic-nucleotide phosphodiesterase activity (GO:0004114)",0.8621085288666023,2.013148948863246,0.0,0.05324525076875305,0.085,7/21,2.42%,PDE8B;PDE4D;PDE4C;PDE3A;PDE5A;PDE7B;PDE9A
prerank,store-operated calcium channel activity (GO:0015279),0.9327709443185194,2.0005741749334454,0.0,0.045638786373216896,0.105,4/10,1.23%,TRPC3;TRPC4;TRPC6;TRPC1
prerank,retinoid binding (GO:0005501),-0.7526049008188224,-1.9989258662095724,0.0,0.0052736327533865895,0.009,7/22,9.70%,ALDH1A2;RBP1;PTGDS;CYP26B1;RBP4;ABCA4;CRABP2
prerank,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen (GO:0016709)",-0.7235775339539727,-1.9883626837812685,0.0,0.00492205723649415,0.013,8/25,6.03%,MICAL3;POR;MICAL2;CYP26B1;NOS3;FMO1;FMO2;CYP27A1
prerank,inward rectifier potassium channel activity (GO:0005242),0.8275803723547446,1.9758826454786587,0.0,0.05490916485527657,0.166,3/24,1.12%,ABCC9;KCNJ8;KCNJ12
prerank,glutamate receptor activity (GO:0008066),0.8420920057046324,1.9646157166711857,0.004149377593360996,0.054766543647860266,0.2,7/19,5.80%,GRM3;GRM7;GRIK1;GRM5;GRM1;GRID1;GRIA2
prerank,"3',5'-cyclic-AMP phosphodiesterase activity (GO:0004115)",0.9260205730925605,1.9627493481679712,0.0,0.04690653043913959,0.206,5/12,2.18%,PDE8B;PDE4D;PDE4C;PDE3A;PDE7B
prerank,cation channel activity (GO:0005261),0.6510208987626238,1.949628529160459,0.003067484662576687,0.052430272440659884,0.258,17/94,7.60%,ABCC9;TRPC3;ANO1;TRPC6;CACNB2;TRPC1;KCNG1;TRPV2;KCNQ4;UNC80;SLC24A4;SLC24A2;TMEM38B;RYR2;CHRNA7;CACNA1D;TMEM38A
prerank,"inositol 1,4,5 trisphosphate binding (GO:0070679)",0.9136435752479,1.9418512813346427,0.0,0.052650995737851786,0.293,7/11,5.56%,TRPC3;TRPC4;TRPC6;TRPC1;ITPR2;ITPR1;RPH3A
prerank,calcium channel activity (GO:0005262),0.6555359814875316,1.9230003848504134,0.0015772870662460567,0.06666220879976818,0.388,12/84,4.64%,TRPC3;TRPC4;TRPC6;CACNA1C;CACNB2;TRPC1;TRPV2;CACNG7;CACNA2D1;STIM2;SLC24A4;SLC24A2
prerank,transforming growth factor beta-activated receptor activity (GO:0005024),-0.8144137943235258,-1.9114114965172397,0.0,0.022149257564223673,0.074,7/12,6.10%,TGFBR3;TGFBR2;BMPR2;TGFBR1;ACVR1;LTBP4;ACVRL1
prerank,potassium ion transmembrane transporter activity (GO:0015079),0.7350658472380318,1.900493347096401,0.00558659217877095,0.08890055262282873,0.51,9/31,9.95%,ABCC9;SLC12A2;KCNG1;KCNQ4;SLC12A6;TMEM38B;TMEM38A;PKD2;SLC12A5
prerank,cyclic nucleotide binding (GO:0030551),0.8284173587425364,1.896198002162515,0.0,0.0852269760681664,0.53,7/21,6.49%,PDE4D;RAPGEF2;RAPGEF4;PDE5A;SLC19A1;PDE4B;POPDC3
prerank,glucuronosyltransferase activity (GO:0015020),-0.7242287864441799,-1.8960593382899218,0.0,0.023414929425036455,0.094,4/19,5.32%,EXT1;LARGE1;CSGALNACT1;CHSY1
