Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,cytosolic large ribosomal subunit (GO:0022625),-0.6033890133954923,-2.305540387911985,0.0,0.0051314031180400895,0.001,34/53,20.93%,RPL13;RPL37A;RPL38;RPL21;RPL35A;RPL17;RPL23;RPL3;RPL18A;RPL14;RPLP1;RPL9;RPL37;RPL8;RPL10;RPL32;RPL18;RPL15;RPL27;RPL39;RPL24;RPL12;RPL27A;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;RPL29;RPLP2;RPLP0;RPL10A;RPL35
prerank,small ribosomal subunit (GO:0015935),-0.6125739570285916,-2.241973375233581,0.0,0.0025657015590200448,0.001,29/41,23.55%,RPS8;RPS23;RPS29;RPS21;RPS11;RPS15;RPS7;RPS20;RPS6;RPS18;RPS13;RPS14;RPS28;RPSA;RPS5;RPS24;RPS19;RPS12;RPS4X;RPS27;RPS9;DHX29;MRPS6;RPS10;RPS26;RACK1;RPS27A;RPS3;MRPS14
prerank,large ribosomal subunit (GO:0015934),-0.5780501896979944,-2.2352943039928848,0.0,0.001710467706013363,0.001,34/57,20.93%,RPL13;RPL37A;RPL38;RPL21;RPL35A;RPL17;RPL23;RPL3;RPL18A;RPL14;RPLP1;RPL9;RPL37;RPL8;RPL10;RPL32;RPL18;RPL15;RPL27;RPL39;RPL24;RPL12;RPL27A;RPL30;RPL19;RPL28;RPL31;RPL13A;RPL36A;RPL29;RPLP2;RPLP0;RPL10A;RPL35
prerank,cytosolic small ribosomal subunit (GO:0022627),-0.6365460089665961,-2.2285021454278016,0.0,0.0012828507795100224,0.001,22/36,13.76%,RPS8;RPS23;RPS29;RPS21;RPS11;RPS15;RPS7;RPS20;RPS6;RPS18;RPS13;RPS14;RPS28;RPSA;RPS5;RPS24;RPS19;RPS12;RPS4X;RPS27;RPS9;DHX29
prerank,spindle microtubule (GO:0005876),0.8875915413599725,2.0567619714762064,0.0,0.0,0.0,20/60,2.81%,KIF11;PRC1;KIF18B;KIF4A;CENPE;KNTC1;SKA3;CDK1;PLK1;SKA1;BIRC5;KIF18A;CEP295;AURKB;SKA2;HAUS8;PSRC1;HAUS4;HAUS6;AURKA
prerank,postsynaptic density membrane (GO:0098839),-0.6500645833704313,-2.0203246668899384,0.0043859649122807015,0.010262806236080177,0.016,14/20,16.75%,GRIN2A;SYNDIG1;GRIN2B;CACNG7;NETO1;CACNG4;SYNJ2BP;GRM5;CACNG2;GRM1;ATP2B2;DLG4;CACNG3;CACNG8
prerank,mitotic spindle (GO:0072686),0.8404473272763217,2.0198362930677414,0.0,0.0,0.0,33/116,5.75%,KIF11;TPX2;KIF18B;CKAP2L;KIF23;ECT2;NUSAP1;SKA3;CDK1;KIFC1;SKA1;FAM83D;SPAG5;RACGAP1;ESPL1;KNSTRN;KIF18A;CEP295;KIF22;HAUS8;HAUS4;HAUS6;NIN;CDC6;CDC27;TACC3;FAM161A;WAPL;DIAPH1;NUMA1;PHLPP2;TBL1XR1;HAUS7
prerank,spindle (GO:0005819),0.8346171540084498,2.006701274602386,0.0,0.0,0.0,45/180,4.95%,KIF11;PRC1;CENPF;TPX2;KIF4A;CKAP2L;KIF23;KIF2C;ECT2;NUSAP1;SKA3;CDK1;KIFC1;INCENP;TTK;BUB1B;PLK1;SKA1;BIRC5;FAM83D;SPAG5;RACGAP1;ESPL1;KNSTRN;CDC20;KIF20A;AURKB;KIF22;KATNAL2;SKA2;PSRC1;HASPIN;FBXO5;ANAPC7;NIN;AURKA;CSPP1;CDC6;CDC27;TACC3;FAM161A;WAPL;DIAPH1;NUMA1;PHLPP2
prerank,condensed chromosome (GO:0000793),0.862757700426426,1.9990998127759259,0.0,0.0,0.0,20/54,3.65%,CENPE;MKI67;NCAPG;CENPA;INCENP;SGO1;SMC2;FANCD2;RAD51;AURKB;NCAPD3;NCAPD2;HMGB2;DMC1;SMC1A;RGS12;SMC6;EID3;CTCF;SMC5
prerank,ionotropic glutamate receptor complex (GO:0008328),-0.5589883733827875,-1.9792624178716776,0.0,0.012828507795100223,0.023,22/32,25.12%,GRIN3A;GRIN2A;GRID2;GRIN2B;VWC2L;VWC2;SHISA6;GRIK4;CACNG7;CACNG4;OLFM2;GRIA1;CACNG2;DLG4;GRIN1;CACNG3;CACNG8;GRIA2;GRIK2;SHISA9;PTK2B;SHISA7
