Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,motor activity (GO:0003774),0.89390524264753,2.0464831917160935,0.0,0.0,0.0,14/60,1.09%,KIF11;KIF18B;KIF15;KIF20B;KIF4A;CENPE;KIF14;KIF23;KIF2C;KIF24;KIFC1;KIF18A;KIF20A;KIF22
prerank,microtubule motor activity (GO:0003777),0.9080194821886608,2.0463843448166075,0.0,0.0,0.0,14/51,1.09%,KIF11;KIF18B;KIF15;KIF20B;KIF4A;CENPE;KIF14;KIF23;KIF2C;KIF24;KIFC1;KIF18A;KIF20A;KIF22
prerank,single-stranded DNA helicase activity (GO:0017116),0.9058687482333696,1.8873483115489473,0.0,0.03635636095141637,0.105,13/19,6.49%,POLQ;PIF1;RAD51;MCM5;DSCC1;RFC4;MCM6;MCM7;MCM2;DNA2;DHX9;RFC2;RFC3
prerank,microtubule binding (GO:0008017),0.7853835703159094,1.877215025997013,0.0,0.03861045533040418,0.144,48/222,5.68%,PRC1;KIF18B;TPX2;KIF15;KIF20B;CENPE;KIF14;KIF23;KIF2C;NUSAP1;DLGAP5;KIFC1;SKA1;PLK1;BIRC5;FAM83D;SPAG5;RACGAP1;KNSTRN;GTSE1;KIF18A;CEP295;KIF20A;KIF22;CDK5RAP2;CKAP5;GAS2L3;VASH2;SKA2;HAUS8;TERF1;CEP57;MAST2;PSRC1;MAP4K4;CCDC61;HAUS4;HAUS6;MACF1;FAM161A;KIF27;TUBGCP5;SPEF1;CEP57L1;NUMA1;PRNP;MAPT;HAUS7
prerank,single-stranded DNA binding (GO:0003697),0.7780529975942595,1.843153169946591,0.0,0.08516113989259769,0.343,34/93,7.38%,NEIL3;RAD51AP1;RAD51B;RAD51;MCM5;POLA1;DDX11;RAD51AP2;HMGB2;BRCA2;MCM8;CDC45;DMC1;SMC6;FAM111A;MCM10;MCM6;MCM7;MCM2;RBBP8;RPA1;STN1;MSH3;ERCC4;TDP2;DHX9;HNRNPA1;BLM;MAPT;MCM3;RPA2;MCM4;MLH1;NUCKS1
prerank,DNA replication origin binding (GO:0003688),0.8758858106930882,1.8348197810044988,0.0,0.09060005149092958,0.409,16/23,7.66%,MCM5;POLA1;ORC1;DDX11;MCM8;CDC45;MCM10;MCM6;MCM7;MCM2;CDC6;DHX9;MCM3;MCM4;ORC2;ORC3
prerank,DNA secondary structure binding (GO:0000217),0.8224688428660785,1.8323532054069125,0.0011961722488038277,0.0826432022084196,0.429,16/31,9.85%,NEIL3;RAD51AP1;CLSPN;RAD51B;GEN1;RAD18;HMGB2;XRCC2;RBBP8;LIN54;BLM;MAPT;RAD51C;HMGB3;HMGB1;KMT2A
prerank,kinesin binding (GO:0019894),0.8323072896235885,1.819665862874402,0.0,0.10077983255732617,0.537,3/27,0.71%,PRC1;KIF18B;FAM83D
prerank,DNA-directed DNA polymerase activity (GO:0003887),0.8479483476594273,1.7939823056342294,0.009102730819245773,0.15647777753489603,0.72,8/21,5.94%,POLK;POLQ;POLE;POLA1;POLH;PRIMPOL;POLD3;POLD1
prerank,DNA polymerase activity (GO:0034061),0.8411586082572118,1.7880126072721103,0.009079118028534372,0.15967713729862068,0.762,8/22,5.94%,POLK;POLQ;POLE;POLA1;POLH;PRIMPOL;POLD3;POLD1
prerank,ligand-gated anion channel activity (GO:0099095),-0.6114418643337285,-1.7728017500682893,0.008,1.0,0.494,11/17,15.05%,GABRB1;GABRB3;GABRA2;GLRB;GLRA1;GABRA3;GLRA3;GABRA5;GABRB2;GABRG2;GABRG1
prerank,cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538),0.7781601528242331,1.7704573639220014,0.0034403669724770644,0.20282883262422904,0.857,10/42,6.38%,CCNF;CCNB1;CCNE2;CKS2;CCNB2;CDKN2D;CDKN2C;CCNA2;CCNA1;CCNE1
prerank,GABA-A receptor activity (GO:0004890),-0.5886092986937905,-1.7589475896507234,0.0,0.6880790785434678,0.541,8/18,15.05%,GABRB1;GABRB3;GABRA2;GABRA3;GABRA5;GABRB2;GABRG2;GABRG1
prerank,"DNA binding, bending (GO:0008301)",0.878115196722393,1.7561851974099543,0.011412268188302425,0.24067910949837634,0.908,3/14,1.68%,TOP2A;HMGB2;TERF1
prerank,monocarboxylic acid transmembrane transporter activity (GO:0008028),-0.5204485279163097,-1.752569780457795,0.0,0.48558581392510813,0.562,10/26,15.78%,SLC6A6;SLC16A12;SLC6A1;MPC1;SLC27A1;ABCG2;SLC5A6;SLC16A1;SLC16A4;SLC6A11
prerank,tubulin binding (GO:0015631),0.7360691816689421,1.751578982208758,0.0,0.24069029607097675,0.931,39/295,2.52%,PRC1;KIF18B;TPX2;KIF15;KIF20B;CENPE;KIF14;BRCA1;KIF23;KIF2C;NUSAP1;DLGAP5;KIFC1;SKA1;PLK1;BIRC5;FAM83D;SPAG5;RACGAP1;GTSE1;KIF18A;CEP295;KIF20A;KIF22;CDK5RAP2;CKAP5;GAS2L3;VASH2;BRCA2;SKA2;HAUS8;TERF1;CEP57;STMN1;MAST2;PSRC1;MAP4K4;CCDC61;HAUS6
prerank,damaged DNA binding (GO:0003684),0.7538778648385187,1.7494841632093217,0.004454342984409799,0.23072785412938868,0.934,18/44,11.90%,NEIL3;POLQ;RAD18;HMGB2;AUNIP;SMC6;RBBP8;RPA1;ERCC4;RAD1;POLD1;RPA2;ERCC3;CUL4B;HMGB1;XPA;PCNA;FANCG
prerank,3'-5' DNA helicase activity (GO:0043138),0.8684898876811367,1.7444966624782932,0.008310249307479225,0.23279705044410928,0.952,9/16,6.10%,NAV2;MCM5;MCM6;MCM7;MCM2;DHX9;BLM;RECQL;ERCC3
prerank,"endodeoxyribonuclease activity, producing 5'-phosphomonoesters (GO:0016888)",0.8944479292985212,1.736582944787781,0.005891016200294551,0.24709600720630134,0.966,4/13,4.70%,EXO1;ZGRF1;GEN1;DNA2
prerank,glycine binding (GO:0016594),-0.6740380864869876,-1.7215858661789916,0.012461059190031152,0.4895660255146583,0.662,6/11,14.10%,GRIN3A;GLRB;GLRA1;GRIN2B;GLRA3;GRIN1
prerank,DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0003906),0.8758810337149424,1.7140466252875532,0.011764705882352941,0.3216639728223902,0.991,2/11,3.97%,NEIL3;APEX2
prerank,MHC class II protein complex binding (GO:0023026),-0.6823427853994453,-1.713902101005589,0.01524390243902439,0.41732518516432454,0.687,5/11,10.73%,HSP90AB1;ATP1B1;ANXA11;PKM;CD81
prerank,endodeoxyribonuclease activity (GO:0004520),0.8010120533233658,1.7001511124295265,0.0215633423180593,0.3663751680944065,0.997,6/20,5.32%,EXO1;ZRANB3;RBBP8;ERCC4;DNA2;MRE11
prerank,ubiquitin conjugating enzyme binding (GO:0031624),-0.5176086705821434,-1.699946831610786,0.010752688172043012,0.39976250152543485,0.744,15/27,17.84%,PRKN;DCUN1D3;RNF180;RNF144B;ZMYM2;RNF19B;DCUN1D5;SIAH1;DCUN1D4;RNF217;ARIH2;RNF125;DCUN1D2;UBE3D;AUP1
prerank,amino acid binding (GO:0016597),-0.4713064229762321,-1.69265934474425,0.012048192771084338,0.36845387286120623,0.771,8/31,7.45%,GRM7;GRIN3A;GLRB;GLRA1;GRIN2B;NOS3;GLRA3;AARS1
