Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,myofibril (GO:0030016),0.9326387500896969,2.1937412240754313,0.0,0.0,0.0,10/27,2.49%,LMOD1;MYL1;MYBPC1;OBSCN;MYH2;LMOD2;MYL2;PDE4DIP;LMOD3;DES
prerank,sarcoplasmic reticulum (GO:0016529),0.8514006554306387,2.1427267923849174,0.0,0.0,0.0,18/41,5.53%,JPH2;PLN;TRDN;RYR1;ATP2A1;RYR2;TMEM38B;AKAP6;CASQ1;HRC;ATP2A2;ITPR1;FSD2;CMYA5;STIM1;RTN2;JPH1;SYNE2
prerank,sarcoplasmic reticulum membrane (GO:0033017),0.8810434634306777,2.0708539485469024,0.0,0.0,0.0,11/25,3.42%,JPH2;PLN;TRDN;RYR1;ATP2A1;RYR2;TMEM38B;AKAP6;CASQ1;ATP2A2;STIM1
prerank,muscle myosin complex (GO:0005859),0.9703605483629174,2.069935896658974,0.0,0.0,0.0,6/13,2.58%,MYH11;MYL1;MYL9;MYH2;MYH1;MYL3
prerank,actin filament (GO:0005884),0.7315454499588643,2.0125296082637876,0.0,0.0006761733418659971,0.004,15/71,4.86%,LMOD1;TPM2;PALLD;TPM1;ACTN1;PLS3;LMOD2;ACTA1;ANXA1;MYO9B;LCP1;ACTG1;MYO1B;ACTB;ARHGAP6
prerank,actin-based cell projection (GO:0098858),0.723221877787874,1.9887979921893906,0.0,0.002535650031997489,0.018,15/80,4.90%,ACTA2;DMD;FGF13;AOC3;ACTG2;ACTA1;ANGPT1;MYO1E;MYO1D;LCP1;ITGB1;MYO1B;ERMN;UTRN;JAM3
prerank,calcium channel complex (GO:0034704),0.7592026251874109,1.9657811006157972,0.0013157894736842105,0.005795771501708545,0.044,8/45,1.47%,CACNB2;RYR1;ATP2A1;RYR2;CACNA1S;CACNA1C;AKAP6;CACNA2D1
prerank,actin cytoskeleton (GO:0015629),0.6430812769292237,1.9430736769417511,0.0,0.00940303553532402,0.075,50/302,5.53%,LMOD1;SYNPO2;TPM2;NEXN;FLNA;SORBS2;MYLK;NOTCH3;PALLD;TPM1;MYOT;NEB;PPP1R12A;MYOZ2;ACTN1;SMTN;FILIP1;ABRA;PLS3;PDLIM5;DSTN;DLC1;CALD1;STK38L;LMOD2;ACTN4;ACTA1;MYO1E;MYL2;MYO1D;KALRN;SYNPO2L;CDC42EP3;ABCB4;MYH9;WDR1;ANXA1;MYO9B;LCP1;ACTG1;H1-0;MYO1B;ARHGAP21;PDLIM7;PEAK1;ACTB;ACTR3;ARHGAP6;KPTN;MYO5C
prerank,endocytic vesicle lumen (GO:0071682),-0.7236549891359003,-1.919575540576858,0.002631578947368421,0.05469788472206232,0.033,7/17,15.59%,SPARC;APOE;CTSL;HSP90B1;CALR;PGLYRP1;HGS
prerank,beta-catenin-TCF complex (GO:1990907),-0.7607950534256136,-1.9142736257085582,0.0,0.034361491684372476,0.041,6/13,7.11%,TCF4;LEF1;TLE1;TCF7L2;BCL9L;CTNNB1
prerank,sarcolemma (GO:0042383),0.7302406191439856,1.9131213101717606,0.0,0.015307813156132987,0.127,17/51,6.08%,DMD;RYR1;RYR2;SLC2A4;SGCG;VCL;DYSF;MLIP;DES;SLC8A2;SLC8A1;SNTA1;SSPN;ITGB1;FLNC;ATP1B1;CAV1
prerank,tight junction (GO:0070160),-0.49017365765528587,-1.9014585462032976,0.0,0.02618018414047427,0.047,19/76,7.05%,AFDN;SHROOM2;TJP1;CLMP;TJP2;GJA1;DLG1;YBX3;CDH5;JAM2;CXADR;MAGI2;WNK4;OCLN;AMOTL1;CLDN5;LSR;CLDN11;WNK3
prerank,filopodium (GO:0030175),0.7204861644766118,1.8910116354363182,0.0,0.021722068607445154,0.184,12/58,5.53%,ACTA2;DMD;FGF13;ACTG2;ACTA1;ITGA3;LCP1;ITGB1;MYO1B;ERMN;UTRN;SYNE2
prerank,cation channel complex (GO:0034703),0.6830552073012938,1.8868132783969755,0.0,0.021821957851129902,0.204,14/72,8.89%,KCNAB1;RYR1;ATP2A1;RYR2;AKAP6;TRPC6;GRIN2C;KCNA5;SHISA9;PKD1L3;CNIH2;CALM1;TRPM4;TRPC5
prerank,smooth endoplasmic reticulum (GO:0005790),0.8225397628467215,1.8183513226887635,0.009523809523809525,0.056911256273721414,0.439,4/19,1.44%,RYR1;RYR2;MYO1D;CASQ1
prerank,voltage-gated calcium channel complex (GO:0005891),0.7313604828472946,1.7861580832706636,0.005738880918220947,0.07788996764956387,0.574,6/29,6.29%,CACNB2;CACNA1S;CACNA1C;CACNA2D1;CACNB4;STAC3
prerank,voltage-gated potassium channel complex (GO:0008076),0.6393690426512957,1.7600130935005023,0.0037128712871287127,0.09677730955457081,0.667,9/73,5.58%,KCNAB1;KCNMA1;KCNMB1;KCNQ5;KCNA5;KCNQ4;KCNB1;KCNIP3;KCNH1
prerank,polymeric cytoskeletal fiber (GO:0099513),0.5812937152252051,1.758040693707582,0.0,0.09212861782924209,0.674,50/236,11.10%,LMOD1;TPM2;PALLD;TPM1;FGF13;ACTN1;PLS3;LMOD2;TRIM54;TUBA1C;ACTA1;TRIM55;TRIM63;KIF27;VIM;CLASP2;ANXA1;MYO9B;KIF2A;LCP1;ACTG1;RTN2;MAP1B;MYO1B;DST;KIF3B;ACTB;ARHGAP6;ARHGEF2;KIF1A;MAPT;NDRG1;TPPP;TUBB2B;TOGARAM1;KIF5B;RCSD1;TPM4;AKNA;SIRT2;CENPE;ACTN2;KIF1C;PAWR;DNM1L;CCT3;DYNC1I2;FHDC1;TBCD;KIF5C
